,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Southern,Stanley,Lung Tak Court,Block B,2000-08-08,L,,,2,8,559,421,3880000,2020-12-31,,0,0.0,22.220115,114.2086309
1,Hong Kong Island,Southern,Stanley,Tung Tau Wan Road 37A-37F,Tung Tau Wan Road 37B,1978-08-09,,,,,,0,2491,85000000,2020-12-02,,0,0.0,,
2,Hong Kong Island,Southern,Stanley,Lung Tak Court,Block C,2000-08-08,H,,,7,10,283,214,3280000,2020-12-02,2010-12-01,1468000,123.43,22.219649999999998,114.208208
3,Hong Kong Island,Southern,Stanley,Regalia Bay,Wong Ma Kok Road (House),2004-01-20,,,,,,4082,2781,68800000,2020-11-27,2006-02-22,38800000,77.32000000000001,22.207033,114.21285
4,Hong Kong Island,Southern,Stanley,Stanford Villa,Block 6,1995-05-15,,3,,2,A,1052,855,22000000,2020-11-19,2014-04-17,17650000,24.650000000000002,22.2234,114.21326
5,Hong Kong Island,Southern,Stanley,U-C Court,U-C Court,1981-10-13,L,,,1,,0,955,31500000,2020-11-06,2002-09-02,4850000,549.48,22.218653,114.21175
6,Hong Kong Island,Southern,Stanley,Lung Tak Court,Block A,2000-08-08,L,,,4,1,283,214,3200000,2020-11-02,2018-07-16,3300000,-3.0300000000000002,22.220648,114.2077
7,Hong Kong Island,Southern,Stanley,Lung Tak Court,Block B,2000-08-08,L,,,2,31,559,421,4150000,2020-11-02,,0,0.0,22.220115,114.2086309
8,Hong Kong Island,Southern,Stanley,Lung Tak Court,Block C,2000-08-08,L,,,3,28,559,421,3730000,2020-10-20,2009-09-08,1380000,170.29,22.219649999999998,114.208208
9,Hong Kong Island,Southern,Stanley,Lung Yan Court,Block A,1993-12-16,M,1,2,7,8,632,431,5480000,2020-10-19,2011-11-29,3360000,63.1,22.221883,114.2054664
10,Hong Kong Island,Southern,Stanley,Lung Tak Court,Block D,2000-08-08,M,,,4,14,283,214,2000000,2020-10-19,,0,0.0,22.218915,114.208697
