,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 7,1992-07-31,H,3,2,10,A,2143,1567,43888888.0,2020-12-28,2016-08-09,34290400,27.990000000000002,22.237526,114.226668
1,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 5,1989-11-13,M,2,2,11,41,1308,1042,27100000.0,2020-12-23,,0,0.0,22.2581481,114.2005124
2,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 6,1992-07-31,M,2,2,9,B,1391,1013,24750000.0,2020-12-14,2016-10-20,21698300,14.06,22.23745,114.226928
3,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Cedar Drive House J142,1991-09-25,,4,2,,,0,3136,100000000.0,2020-11-27,2001-06-30,26000000,284.62,22.23398,114.22877
4,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 5,1989-11-13,H,2,2,23,41,1308,1042,28180000.0,2020-11-24,2007-05-10,12038000,134.09,22.2581481,114.2005124
5,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 4,1992-07-31,L,3,2,2,A,2143,1567,34800000.0,2020-11-24,1996-12-16,18800000,85.11,22.236746999999998,114.227562
6,Hong Kong Island,Southern,Tai Tam / Shek O,Pacific View,Block 3,1991-01-25,M,4,,23,A,2054,1674,39150000.0,2020-11-16,2008-09-12,32145100,21.79,22.229599,114.218414
7,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 13,1989-11-13,M,4,2,9,73,2787,2308,61380000.0,2020-11-11,,0,0.0,22.256840999999998,114.198744
8,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 3,1992-07-31,M,2,2,10,A,1401,1017,24700000.0,2020-11-04,,0,0.0,22.236487,114.227583
9,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 11,1989-11-13,M,3,2,9,67,2540,2049,60500000.0,2020-10-14,,0,0.0,22.256899,114.199415
10,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 1,1992-07-31,M,3,2,9,B,2153,1575,38000000.0,2020-09-07,2015-03-11,36861800,3.09,22.235910999999998,114.227499
11,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 5,1992-07-31,H,3,2,10,B,2143,1567,30000000.0,2020-08-25,2004-10-21,14800000,102.7,22.237351999999998,114.227168
12,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 7,1989-11-13,L,3,2,6,51,1925,1505,41000000.0,2020-08-21,,0,0.0,22.2572873,114.200662
13,Hong Kong Island,Southern,Tai Tam / Shek O,Faber Villa,Faber Villa,1975-02-19,H,,,7,,0,2631,86000000.0,2020-08-07,2010-10-07,45000000,91.11,22.225863,114.21569
14,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 1,1992-07-31,H,3,2,12,A,2143,1582,42800000.0,2020-07-31,,0,0.0,22.235910999999998,114.227499
15,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 9,1989-11-13,L,3,2,3,59,2628,2049,61000000.0,2020-07-27,,0,0.0,22.2569516,114.2001156
16,Hong Kong Island,Southern,Tai Tam / Shek O,Pacific View,Block 4,1991-01-25,L,4,,12,A,2054,1674,33900000.0,2020-07-16,2007-01-12,20500000,65.37,22.2297415,114.2185825
17,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 5,1989-11-13,M,2,2,12,35,1299,1031,25300000.0,2020-07-15,1998-05-19,14700000,72.11,22.2581481,114.2005124
18,Hong Kong Island,Southern,Tai Tam / Shek O,Pacific View,Block 3,1991-01-25,M,4,,20,A,2054,1674,37380000.0,2020-07-10,2009-08-04,26291200,42.18,22.229599,114.218414
19,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Palm Drive House A087,1990-11-23,,4,2,,,0,2623,68280000.0,2020-06-30,,0,0.0,22.231937,114.22856
20,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Cedar Drive House E064,1990-11-22,,4,2,,,0,4010,112800000.0,2020-06-22,,0,0.0,22.230446,114.2287
21,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Palm Drive House I133,1991-09-24,,4,2,,,0,2836,68688888.0,2020-06-17,,0,0.0,22.233881,114.228165
22,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 10,1992-07-30,,2,2,3,A,1301,946,23750000.0,2020-06-15,2015-09-21,19795900,19.97,22.237491,114.225517
23,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Cedar Drive House J150,1991-09-25,,4,2,,,0,3142,98500000.0,2020-06-11,,0,0.0,22.234415,114.22869
24,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 7,1989-11-13,M,3,2,12,49,2093,1624,36000000.0,2020-06-05,2014-09-29,32800000,9.76,22.2572873,114.200662
25,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 4,1989-11-13,M,3,2,10,31,2105,1622,36000000.0,2020-06-05,,0,0.0,22.2584354,114.200489
26,Hong Kong Island,Southern,Tai Tam / Shek O,Hong Kong Parkview,Block 5,1989-11-13,L,2,2,6,37,1263,1001,27365000.0,2020-06-04,2004-11-05,10380000,163.63,22.2581481,114.2005124
27,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 1,1992-07-31,H,3,2,16,B,0,2450,75000000.0,2020-06-02,2016-11-07,73838500,1.57,22.235910999999998,114.227499
28,Hong Kong Island,Southern,Tai Tam / Shek O,Redhill Peninsula,Block 1,1992-07-31,H,3,2,12,B,2153,1575,43000000.0,2020-05-29,,0,0.0,22.235910999999998,114.227499
