,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Central And Western,The Peak,Vivian Court,Vivian Court,1961-01-25,M,,,4,A,0,1749,39800000,2020-12-31,1997-02-21,19500000,104.10000000000001,22.263742999999998,114.149261
1,Hong Kong Island,Central And Western,The Peak,28 Barker Road,House 5,2013-03-19,,,,,,7922,5700,530000000,2020-12-18,2015-12-15,542000000,-2.21,22.272001,114.15756999999999
2,Hong Kong Island,Central And Western,The Peak,La Hacienda,Upper Town House 03,1986-06-03,,,,,,0,3457,235000000,2020-12-08,2010-09-17,135000000,74.07000000000001,22.260984999999998,114.15011799999999
3,Hong Kong Island,Central And Western,The Peak,Severn 8,House 19,2005-08-25,,,,,,3330,2363,175000000,2020-10-15,2007-06-25,100800000,73.61,22.269769999999998,114.159546
4,Hong Kong Island,Central And Western,The Peak,Carolina Gardens,Block B,1964-05-27,H,,,7,B14,0,2448,143000000,2020-09-07,,0,0.0,22.26693,114.16689
5,Hong Kong Island,Central And Western,The Peak,Mountain Lodge,Mountain Lodge,1972-09-05,M,4,3,8,B,2600,2222,12780202,2020-08-24,2007-03-16,18992250,-32.71,22.260880999999998,114.149635
6,Hong Kong Island,Central And Western,The Peak,Mountain Lodge,Mountain Lodge,1972-09-05,H,4,3,9,B,2600,2222,12191807,2020-08-24,2007-03-16,18117856,-32.71,22.260880999999998,114.149635
7,Hong Kong Island,Central And Western,The Peak,Overthorpe,House M,1986-04-17,,3,,,,0,2387,171000000,2020-08-07,,0,0.0,22.275484,114.146965
8,Hong Kong Island,Central And Western,The Peak,Mountain Lodge,Mountain Lodge,1972-09-04,H,4,3,12,A,2600,2222,85000000,2020-04-19,2006-12-06,29050000,192.6,22.260880999999998,114.149635
9,Hong Kong Island,Central And Western,The Peak,Eredine,Eredine,1965-02-19,L,4,,2,2C,3300,2836,95000000,2020-02-17,2003-12-03,23600000,302.54,22.260548,114.14894
10,Hong Kong Island,Central And Western,The Peak,Mountain Lodge,Mountain Lodge,1972-09-05,H,4,3,9,A,2600,2222,85000000,2020-01-09,,0,0.0,22.260880999999998,114.149635
11,Hong Kong Island,Central And Western,The Peak,Villa Verde,Block C,1970-03-01,M,,,4,501,0,1070,35500000,2019-12-23,2009-11-26,17380000,104.26,22.267122,114.16256
12,Hong Kong Island,Central And Western,The Peak,Altadena House,Altadena House,1975-04-01,,,,1,,0,4073,245000000,2019-10-22,,0,0.0,22.271034,114.15662
13,Hong Kong Island,Central And Western,The Peak,Carolina Gardens,Block A,1964-05-27,M,,,4,7,0,2117,81000000,2019-10-15,,0,0.0,22.267189,114.166794
14,Hong Kong Island,Central And Western,The Peak,Coombe Road 9,House C,1980-11-17,,,,,,0,2791,147000000,2019-09-24,,0,0.0,22.267971,114.16709
15,Hong Kong Island,Central And Western,The Peak,Villa Verde,Block C,1970-03-01,H,,,8,902,0,1070,40000000,2019-07-14,2004-07-07,10350000,286.47,22.267122,114.16256
