,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Wan Chai,Tin Hau,Viking Villas,Viking Villas,1976-10-18,L,2,2,7,14,795,700,13030000,2021-01-05,2007-03-22,4428000,194.26,22.285826,114.194405
1,Hong Kong Island,Wan Chai,Tin Hau,Warrenwoods,Warrenwoods,2012-09-26,L,0,,18,E,359,273,5950000,2021-01-04,2010-04-08,4788000,24.27,22.278140999999998,114.191644
2,Hong Kong Island,Wan Chai,Tin Hau,Dragon Court,Block B,1980-06-10,M,3,2,10,1,1275,1143,21680000,2021-01-04,2001-06-28,4660000,365.24,22.281467,114.1931
3,Hong Kong Island,Wan Chai,Tin Hau,Fook Wah Mansion,Fook Wah Mansion,1966-01-19,L,,,,C,450,308,4180000,2021-01-01,2008-02-25,1330000,214.29,22.284651,114.192128
4,Hong Kong Island,Wan Chai,Tin Hau,Sai See Mansion,Sai See Mansion,1964-05-22,M,,,3,C,0,360,4466000,2020-12-31,2006-07-12,500000,793.2,22.278494,114.19259
5,Hong Kong Island,Wan Chai,Tin Hau,Kanfield Mansion,Kanfield Mansion,1977-07-20,M,,,12,C,0,404,6000000,2020-12-29,2007-08-22,2250000,166.67000000000002,22.277784999999998,114.192469
6,Hong Kong Island,Wan Chai,Tin Hau,Dragon Centre,Block 2,1989-02-04,L,2,1,9,E,618,520,7480000,2020-12-29,,0,0.0,22.278667,114.19305
7,Hong Kong Island,Wan Chai,Tin Hau,Hoi Sun Building,Hoi Sun Building,1990-03-13,L,2,,2,D,477,326,5900000,2020-12-29,2006-11-06,150000,3833.33,22.286051999999998,114.192392
8,Hong Kong Island,Wan Chai,Tin Hau,Dragon Heart Court,Dragon Heart Court,1984-04-19,M,3,,13,C,898,761,12800000,2020-12-28,2000-10-25,3590000,256.55,22.281309999999998,114.19255
9,Hong Kong Island,Wan Chai,Tin Hau,Viking Garden,Block A,1977-03-23,L,3,,5,1,620,523,10300000,2020-12-24,2002-07-19,2450000,320.41,22.284039999999997,114.19152
10,Hong Kong Island,Wan Chai,Tin Hau,Viking Villas,Viking Villas,1976-10-18,M,2,2,9,8,795,700,11000000,2020-12-23,2006-07-06,4168000,163.92000000000002,22.285826,114.194405
11,Hong Kong Island,Wan Chai,Tin Hau,Viking Villas,Viking Villas,1976-10-18,M,2,2,13,6,795,700,14000000,2020-12-22,1999-02-25,3780000,270.37,22.285826,114.194405
12,Hong Kong Island,Wan Chai,Tin Hau,Grand Seaview Heights,Grand Seaview Heights,2002-05-08,M,2,,,C,544,356,8180000,2020-12-18,,0,0.0,22.283396999999997,114.192109
13,Hong Kong Island,Wan Chai,Tin Hau,The Consonance,The Consonance,2020-06-24,M,0,,16,H,0,200,5888100,2020-12-16,,0,0.0,22.286237999999997,114.19209
14,Hong Kong Island,Wan Chai,Tin Hau,Dragon Court,Block C,1980-06-10,M,3,2,17,3,962,857,14500000,2020-12-15,,0,0.0,22.281166,114.19300000000001
15,Hong Kong Island,Wan Chai,Tin Hau,Mayson Garden Building,Mayson Garden Building,1973-07-09,M,3,,15,A,0,634,12580000,2020-12-14,2009-05-05,4950000,154.14000000000001,22.28503,114.19120000000001
16,Hong Kong Island,Wan Chai,Tin Hau,Victoria Centre,Block 1,1981-09-16,H,2,,34,E,0,461,8700000,2020-12-14,2003-04-22,1400000,521.4300000000001,22.287502,114.19014
17,Hong Kong Island,Wan Chai,Tin Hau,The Pavilia Hill,Block 5,2015-12-09,L,1,,11,D,0,597,15500000,2020-12-10,,0,0.0,22.282604,114.193535
18,Hong Kong Island,Wan Chai,Tin Hau,Dragon Centre,Block 1,1989-02-04,M,2,1,16,E,618,515,8300000,2020-12-10,2010-11-19,4130000,100.97,22.278927,114.192856
19,Hong Kong Island,Wan Chai,Tin Hau,The Consonance,The Consonance,2020-06-24,M,1,,21,F,0,277,7766400,2020-12-09,,0,0.0,22.286237999999997,114.19209
20,Hong Kong Island,Wan Chai,Tin Hau,Wunsha Court,Wunsha Court,1992-05-06,L,1,,7,C,0,325,6650000,2020-12-09,2005-09-17,800000,731.25,22.279215,114.19256
21,Hong Kong Island,Wan Chai,Tin Hau,The Hemispheres,The Hemispheres,2015-03-12,M,1,,19,B,0,280,6880000,2020-12-09,2013-12-12,6767200,1.67,22.286009999999997,114.19124
22,Hong Kong Island,Wan Chai,Tin Hau,Park Towers,Tower I,1989-03-21,M,3,,36,A,1276,998,35800000,2020-12-08,2012-03-20,23990000,49.230000000000004,22.282387999999997,114.19151600000001
23,Hong Kong Island,Wan Chai,Tin Hau,Jupiter Terrace,Block 2,1993-05-06,H,,,28,C,628,420,8000000,2020-12-08,2005-04-07,2660000,200.75,22.286564,114.19211
24,Hong Kong Island,Wan Chai,Tin Hau,Dragon Court,Block C,1980-06-10,M,3,2,10,2,962,857,15000000,2020-12-07,2009-07-27,7100000,111.27,22.281166,114.19300000000001
25,Hong Kong Island,Wan Chai,Tin Hau,The Consonance,The Consonance,2020-06-24,L,1,,10,A,0,267,7200000,2020-12-07,2020-04-29,7770240,-7.34,22.286237999999997,114.19209
26,Hong Kong Island,Wan Chai,Tin Hau,DIVA,DIVA,2015-03-17,L,1,,8,C,0,493,9800000,2020-12-03,2014-01-30,9175000,6.8100000000000005,22.286063,114.191304
27,Hong Kong Island,Wan Chai,Tin Hau,Dragon Court,Block B,1980-06-10,M,3,2,12,2,962,857,14100000,2020-12-02,2008-07-29,7250000,94.48,22.281467,114.1931
28,Hong Kong Island,Wan Chai,Tin Hau,Cheong Shing Mansion,Cheong Shing Mansion,1979-03-21,M,2,,10,D,424,335,5750000,2020-11-27,2015-04-01,4930000,16.63,22.285497,114.192676
29,Hong Kong Island,Wan Chai,Tin Hau,Rhenish Mansion,Rhenish Mansion,1978-09-13,L,,,8,D,0,276,5300000,2020-11-27,,0,0.0,22.280041999999998,114.192787
