,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,Well-Found Building,Well-Found Building,2001-02-28,H,1,,21,,0,306,5950000.0,2021-01-06,2010-01-29,2200000,170.45000000000002,22.280917,114.182821
1,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,44-46 Johnston Road,44-46 Johnston Road,1974-08-27,,,,4,46,0,335,4300000.0,2021-01-06,,0,0.0,22.276519999999998,114.1709
2,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,Elizabeth House,Block A,1978-11-27,,,,25,A6,623,540,8580000.0,2021-01-06,2018-01-10,7800000,10.0,22.280851,114.18132
3,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,Yue King Building,Yue King Building,1971-12-31,L,3,,8,G,0,958,13000000.0,2021-01-06,2005-06-10,3500000,271.43,22.276806,114.18075
4,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,Tai Wo Mansion,Tai Wo Mansion,1988-07-08,M,,,15,A,0,388,5900000.0,2021-01-05,2015-05-19,5000000,18.0,22.27589,114.173939
5,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,Lee Shun Building,Lee Shun Building,1964-04-25,L,,,1,C,0,343,4880000.0,2021-01-05,2017-06-14,4520000,7.96,22.278406999999998,114.173554
6,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,The Avenue,Tower 1,2015-04-21,L,1,,6,C,0,431,10350000.0,2021-01-05,2013-12-20,7892700,31.13,22.276245,114.172424
7,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,Galway Court,Galway Court,1997-09-29,M,,,,,560,311,5800000.0,2021-01-05,1996-11-11,2268000,155.73,22.275499,114.17338
8,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,Sam Yuen Mansion,Sam Yuen Mansion,1987-10-05,H,,,20,A,0,389,6000000.0,2021-01-05,2010-04-16,2950000,103.39,22.278204,114.174904
9,Hong Kong Island,Wan Chai,Wan Chai / Causeway Bay,The Avenue,Tower 2,2015-04-21,M,1,,,C,0,443,11700000.0,2021-01-05,,0,0.0,22.275406,114.172104
