,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Hong Kong Island,Central And Western,Western Mid-Levels,The Belcher's,Block 3,2000-12-29,M,2,,42,A,957,755,20340000.0,2021-01-06,2003-01-25,4200000,384.29,22.284713999999997,114.133842
1,Hong Kong Island,Central And Western,Western Mid-Levels,Park Height,Park Height,1995-01-30,M,2,,15,A,0,385,9100000.0,2021-01-06,2012-10-09,6330000,43.76,22.284146999999997,114.143209
2,Hong Kong Island,Central And Western,Western Mid-Levels,Robinson Place,Block 1,1994-12-23,L,3,,6,D,1353,1117,21800000.0,2021-01-06,,0,0.0,22.281841999999997,114.14916099999999
3,Hong Kong Island,Central And Western,Western Mid-Levels,Botanic Terrace,Block A,1967-01-06,M,,,5,A1,0,1893,35380000.0,2021-01-06,1997-04-28,10300000,243.5,22.278361,114.15132
4,Hong Kong Island,Central And Western,Western Mid-Levels,Ryan Mansion,Ryan Mansion,1986-12-24,H,1,,16,B,359,249,5320000.0,2021-01-06,2007-03-26,1980000,168.69,22.280244,114.151228
5,Hong Kong Island,Central And Western,Western Mid-Levels,Vantage Park,Block 2,1994-06-07,M,3,,11,B,988,751,20000000.0,2021-01-05,,0,0.0,22.279541,114.150502
6,Hong Kong Island,Central And Western,Western Mid-Levels,Golden Phoenix Court,Golden Phoenix Court,1981-01-05,M,3,,12,D,0,534,9600000.0,2021-01-05,2012-03-09,6150000,56.1,22.284294,114.142166
7,Hong Kong Island,Central And Western,Western Mid-Levels,Bella Vista,Bella Vista,2000-05-06,L,3,,3,D,0,456,8980000.0,2021-01-05,2008-02-14,4880000,84.02,22.281496,114.151089
8,Hong Kong Island,Central And Western,Western Mid-Levels,Vantage Park,Block 2,1994-06-07,H,2,,21,D,540,396,9800000.0,2021-01-05,1997-03-27,5360000,82.84,22.279541,114.150502
9,Hong Kong Island,Central And Western,Western Mid-Levels,Ying Piu Mansion,Ying Piu Mansion,1996-03-12,H,3,,,B,569,404,9800000.0,2021-01-04,2010-03-03,5120000,91.41,22.283718,114.14574
