,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Hin Fai Building,Hin Fai Building,1980-06-25,H,,,11,F,0,210,3380000.0,2021-01-06,2017-04-27,2500000.0,35.2,22.334509999999998,114.16112
1,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,L,,,6,D,0,224,5500000.0,2021-01-06,,0.0,0.0,22.33643,114.15865
2,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,L,2,,12,B,0,439,10174000.0,2021-01-06,,0.0,0.0,22.33643,114.15865
3,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Park One,Park One,2019-04-09,L,3,,7,D,0,417,7180000.0,2021-01-06,2017-01-24,6313700.0,13.72,22.326532,114.16064
4,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Wing Ning Building,Wing Ning Building,1989-06-28,,,,18,B,0,259,4530000.0,2021-01-05,2017-11-09,3800000.0,19.21,22.338946999999997,114.15636
5,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Sparkle,Block 2,2008-07-25,H,2,,41,D,736,537,8400000.0,2021-01-05,2013-08-09,6200000.0,35.480000000000004,22.333122,114.152537
6,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Yuen Cheong Court,Yuen Cheong Court,1977-10-18,H,,,11,C,0,333,4030000.0,2021-01-04,2017-12-14,4020000.0,0.25,,
7,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,M,2,,22,F,0,408,9311000.0,2021-01-04,,0.0,0.0,22.33643,114.15865
8,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Yee Kok Court,Block A,1981-06-12,,2,,G,1,685,530,5550000.0,2021-01-04,2015-02-26,4300000.0,29.07,22.333467,114.158
9,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Lei Cheng Uk Estate,Wo Ping House,1984-12-01,M,,,,10,380,277,1720000.0,2021-01-04,,0.0,0.0,22.338928,114.158325
10,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,High One,High One,2016-03-02,L,1,,11,B,0,273,5200000.0,2020-12-31,2014-12-10,4494140.0,15.71,22.338749999999997,114.152756
11,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,M,2,,26,F,0,408,9452000.0,2020-12-31,,0.0,0.0,22.33643,114.15865
12,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Nam Cheong Estate,Cheong On House (Block 7),1989-04-01,H,,,12,10,0,428,3450000.0,2020-12-30,,0.0,0.0,22.325953,114.15783
13,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Sparkle,Block 1,2008-07-25,H,3,,37,A,994,725,13900000.0,2020-12-30,2012-10-31,8260000.0,68.28,22.333175999999998,114.152217
14,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Sevilla Crest,Sevilla Crest,2014-12-31,L,0,,6,B,317,217,4380000.0,2020-12-30,2013-05-15,3600000.0,21.67,22.330164,114.16656
15,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,137 Un Chau Street,137 Un Chau Street,1956-03-05,,,,2,,0,739,5350000.0,2020-12-30,2012-12-27,3000000.0,78.33,,
16,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Hang Chun Court,Block B,2001-02-09,M,2,,23,5,504,407,4500000.0,2020-12-29,,0.0,0.0,22.336354999999998,114.153175
17,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Yue Hing Building,Yue Hing Building,1990-03-27,M,,,9,B,0,212,3000000.0,2020-12-28,2017-10-27,2430000.0,23.46,22.32667,114.16268
18,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,M,2,,21,F,0,408,9265000.0,2020-12-28,,0.0,0.0,22.33643,114.15865
19,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,L,2,,15,B,0,439,9884000.0,2020-12-24,,0.0,0.0,22.33643,114.15865
20,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Seaside Sonata,Tower 3,,H,2,,33,F,0,506,9814000.0,2020-12-24,,0.0,0.0,22.327564,114.15935999999999
21,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,West Wing,,L,2,,12,A,0,446,10306000.0,2020-12-24,,0.0,0.0,22.336422,114.15856
22,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Fuk Wing Mansion,Fuk Wing Mansion,1963-07-09,L,,,2,155A,0,326,2680000.0,2020-12-24,,0.0,0.0,22.335041,114.15910000000001
23,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Manor Centre,Block 7,1986-11-17,H,2,,10,C,368,299,5180000.0,2020-12-24,2016-11-14,3900000.0,32.82,22.334802,114.15939
24,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,M,2,,22,E,0,517,11957000.0,2020-12-24,,0.0,0.0,22.33643,114.15865
25,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,West Wing,,H,,,26,D,0,238,6134000.0,2020-12-23,,0.0,0.0,22.336422,114.15856
26,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Fuk Lung Building,Fuk Lung Building,1992-10-07,L,2,,1,C,335,248,4160000.0,2020-12-23,2017-06-01,3850000.0,8.05,22.332573,114.16069
27,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Sunny Court,Sunny Court,1995-06-01,M,2,,7,C,0,288,4000000.0,2020-12-23,,0.0,0.0,22.33534,114.160645
28,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Hang Shun Building,Hang Shun Building,1981-09-24,M,2,,5,A,0,263,3650000.0,2020-12-23,2014-05-05,2650000.0,37.74,22.336886999999997,114.15903
29,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Manor Centre,Block 2,1986-11-17,M,2,,7,F,374,306,4580000.0,2020-12-23,,0.0,0.0,22.3345285,114.1601295
30,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,535-539 Fuk Wing Street,41 Kim Shin Lane,1959-01-31,H,,,7,C,0,320,2000000.0,2020-12-23,2006-09-29,100000.0,1900.0,,
31,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,High One Grand,High One Grand,2015-09-07,M,1,,18,B,0,296,5638000.0,2020-12-22,2017-11-10,5150000.0,9.48,22.333736,114.16065
32,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,On Fai Building,On Fai Building,1980-10-18,M,,,6,A,0,284,4080000.0,2020-12-22,,0.0,0.0,,
33,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Heya Green,Block 1,2013-10-15,L,3,,8,F,777,622,9980000.0,2020-12-22,2016-11-23,8100000.0,23.21,22.3367853,114.1605349
34,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Chi Fai Court,Chi Fai Court,1983-01-28,M,,,8,F,0,263,3500000.0,2020-12-22,2005-11-03,663000.0,427.90000000000003,22.329884999999997,114.165985
35,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Green Court,Green Court,1989-06-27,M,2,,14,A,0,293,4210000.0,2020-12-22,2006-06-23,880000.0,378.41,22.340048,114.15358
36,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,367-369 Ki Lung Street,367-369 Ki Lung Street,1962-03-28,M,,,4,367,0,548,3400000.0,2020-12-21,,0.0,0.0,,
37,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Astro,The Astro,2019-09-12,H,1,,25,A,0,297,9229000.0,2020-12-21,,0.0,0.0,22.336515,114.158104
38,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Merlin Centre,Block D,1985-05-22,M,2,,9,D7,358,280,4550000.0,2020-12-21,2004-01-06,680000.0,569.12,22.336983,114.159836
39,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,L,,,7,D,0,224,5517000.0,2020-12-21,,0.0,0.0,22.33643,114.15865
40,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Wing Ning Building,Block A,1984-08-03,L,2,,6,A4,341,222,3550000.0,2020-12-21,1999-10-20,725000.0,389.66,22.34041,114.154526
41,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,M,,,19,F,0,408,9489000.0,2020-12-21,,0.0,0.0,22.33643,114.15865
42,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Gardenia,Gardenia,2012-10-22,L,1,,16,D,372,270,5360000.0,2020-12-21,2012-06-27,3496350.0,53.300000000000004,22.3303255,114.1668051
43,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Villa Carlton,Block 1,2000-06-30,L,2,,1,B,1735,1337,15100000.0,2020-12-21,2010-02-11,8600000.0,75.58,22.3436504,114.1543955
44,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Seaside Sonata,Tower 3,,M,2,,22,J,0,485,9294000.0,2020-12-21,,0.0,0.0,22.327564,114.15935999999999
45,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Hong Fai Building,Block B,1984-12-03,L,2,,1,B1,0,210,3630000.0,2020-12-21,2006-11-14,660000.0,450.0,22.340723,114.153755
46,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,High One,High One,2016-03-02,L,,,3,B,0,273,4760000.0,2020-12-18,2015-09-24,4456450.0,6.8100000000000005,22.338749999999997,114.152756
47,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,AVA 61,AVA 61,2020-03-26,M,0,,20,D,0,150,3480000.0,2020-12-18,2017-07-24,3201000.0,8.72,22.331540999999998,114.164734
48,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Kam Moon Lau,Kam Moon Lau,1982-01-15,L,,,2,B,0,393,3530000.0,2020-12-18,2012-03-28,2400000.0,47.08,,
49,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Seaside Sonata,Tower 5,,H,2,,39,G,0,505,9575000.0,2020-12-18,,0.0,0.0,22.327358,114.15946
50,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Seaside Sonata,Tower 3,,H,2,,40,D,0,503,9489000.0,2020-12-18,,0.0,0.0,22.327564,114.15935999999999
51,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,28-30 Kim Shin Lane,28-30 Kim Shin Lane,1959-01-31,,,,M,30,0,454,3750000.0,2020-12-17,,0.0,0.0,22.339138,114.152885
52,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,One New York,One New York,2007-11-09,M,,,21,C,657,468,7580000.0,2020-12-17,2018-12-14,8000000.0,-5.25,22.34022,114.15297
53,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Yiu Fai Mansion,Yiu Fai Mansion,1989-04-27,H,2,,18,B,316,219,3700000.0,2020-12-17,2005-09-07,638000.0,479.94,22.340376,114.152824
54,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,High One,High One,2016-03-02,L,0,,7,C,0,193,3700000.0,2020-12-17,2014-12-18,3547560.0,4.3,22.338749999999997,114.152756
55,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Hong Fai Building,Block A,1984-12-03,H,2,,24,A2,0,253,4050000.0,2020-12-17,,0.0,0.0,22.34084,114.15395
56,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Sparkle,Block 1,2008-07-25,H,3,,47,B,1093,822,13800000.0,2020-12-16,2011-05-27,10328000.0,33.62,22.333175999999998,114.152217
57,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,The Vertex,East Wing,,M,,,23,F,0,408,9681000.0,2020-12-16,,0.0,0.0,22.33643,114.15865
58,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,High One Grand,High One Grand,2015-09-07,H,1,,31,B,0,296,5300000.0,2020-12-16,2015-03-04,5354200.0,-1.01,22.333736,114.16065
59,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Peace Building,Peace Building,1982-06-14,,,,3,C,0,213,2080000.0,2020-12-16,2009-03-09,688000.0,202.33,22.32979,114.159539
60,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Heya Aqua,Block 2,2016-09-12,L,2,,10,A,0,525,8928000.0,2020-12-16,2015-09-04,6735000.0,32.56,22.338661,114.15431
61,Kowloon,Sham Shui Po,Cheung Sha Wan / Sham Shui Po,Caldecott Hill,Tower 2,2004-11-01,M,2,,7,B,698,538,7880000.0,2020-12-16,2004-04-02,5155000.0,52.86,22.344766,114.149505
