,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Tropicana Gardens,Block A,1985-09-23,L,2,,3,F,515,333,5438000,2021-01-06,2008-05-30,1720000,216.16,22.342032,114.196843
1,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lung Poon Court,Block B,1987-02-17,H,1,,34,9,480,353,5150000,2021-01-06,,0,0.0,22.3423905,114.2007224
2,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Sun Lai Garden,Block A,1985-06-19,H,3,,25,3,581,503,7150000,2021-01-06,1998-08-12,2000000,257.5,22.340602,114.2095955
3,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Rhythm Garden,Block 12,2000-09-28,L,2,,3,K,527,449,5330000,2021-01-06,2014-12-08,3400000,56.76,22.336468999999997,114.202562
4,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lung Poon Court,Block E,1987-04-21,L,2,,12,7,579,426,6250000,2021-01-06,,0,0.0,22.3420374,114.199848
5,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Bay View Garden,Block 2,1989-11-23,M,2,,13,E,485,400,6200000,2021-01-06,2009-08-26,1900000,226.32,22.3367854,114.20855399999999
6,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lung Poon Court,Block F,1987-04-21,H,1,,,8,0,353,5500000,2021-01-05,,0,0.0,22.341693,114.200841
7,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lung Poon Court,Block E,1987-04-21,H,1,,36,4,521,383,5780000,2021-01-05,2012-10-30,3390000,70.5,22.3420374,114.199848
8,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lung Poon Court,Block F,1987-04-21,M,2,,22,7,579,426,6500000,2021-01-05,2012-12-04,3700000,75.68,22.341693,114.200841
9,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Po Fat Building,Po Fat Building,1979-06-08,M,2,,14,D,327,244,3500000,2021-01-05,2015-04-29,2770000,26.35,22.344378,114.19847899999999
10,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Scenic View,Block 5,1999-09-20,M,3,2,20,A,895,676,9000000,2021-01-04,2005-09-17,3900000,130.77,22.337166999999997,114.215679
11,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lung Poon Court,Block C,1987-02-17,L,1,,3,5,521,383,5510000,2021-01-04,2017-12-11,4800000,14.790000000000001,22.342443,114.2001886
12,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Bay View Garden,Block 1,1989-11-23,M,2,,17,F,486,401,6570000,2020-12-31,2010-10-28,2600000,152.69,22.337065,114.20847499999999
13,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,The Latitude,Block 7,2010-09-27,L,2,,15,E,691,533,9600000,2020-12-31,2012-01-04,5400000,77.78,22.333499,114.197036
14,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Galaxia,Block D,1998-03-31,M,3,2,23,5,751,593,10000000,2020-12-31,2007-08-21,3460000,189.02,22.341435999999998,114.20184
15,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,The Latitude,Block 6,2010-09-27,M,2,,32,E,695,535,9900000,2020-12-30,2009-11-09,4470000,121.48,22.333340999999997,114.196807
16,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Fung Chuen Court,Fung Chuen Court,1991-10-02,H,,,31,4,538,407,6000000,2020-12-30,2001-06-02,630000,852.38,22.344153,114.199534
17,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,King Shan Court,Block D,1983-03-14,H,3,,31,6,680,568,5820000,2020-12-29,,0,0.0,22.341458,114.209887
18,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,The Latitude,Block 7,2010-09-27,L,2,,19,F,663,511,9380000,2020-12-29,2014-06-26,6600000,42.12,22.333499,114.197036
19,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Wing Kin Mansion,Wing Kin Mansion,1970-01-27,,,,5,A,0,558,4950000,2020-12-28,2015-07-13,3380000,46.45,22.343517,114.19826499999999
20,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Fung Tak Estate,Pik Fung House ( Block 2 ),1991-04-01,L,,,2,20C,0,147,2430000,2020-12-28,2013-08-16,800000,203.75,22.344849999999997,114.20125
21,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lions Rise,Block 3B,2012-04-20,,2,,,D,685,526,9838000,2020-12-28,2011-07-12,7410000,32.77,22.3406156,114.1967966
22,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Kingsford Terrace,Block 3,2003-07-09,H,2,,30,J,568,484,5750000,2020-12-28,,0,0.0,22.340798,114.211567
23,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Galaxia,Block E,1998-03-31,L,3,2,,7,0,517,8380000,2020-12-28,1998-02-21,3499000,139.5,22.341535999999998,114.2015925
24,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Lung Poon Court,Block C,1987-02-17,L,2,,4,7,579,426,5850000,2020-12-28,2004-11-11,1300000,350.0,22.342443,114.2001886
25,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,San Po Kong Plaza,Block 1,1996-09-25,M,2,,19,D,622,470,6838000,2020-12-28,2009-06-08,2170000,215.12,22.3352244,114.1959943
26,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,Galaxia,Block A,1998-03-31,,3,2,,3,0,517,9703000,2020-12-28,1998-12-15,3271000,196.64000000000001,22.340901,114.2026904
27,Kowloon,Wong Tai Sin,Diamond Hill / San Po Kong / Ngau Chi Wan,The Latitude,Block 8,2010-09-27,M,3,,30,B,1075,827,13800000,2020-12-24,2011-05-18,10410000,32.56,22.333622,114.19719
