,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 5,1999-05-19,L,2,2,12,A,603,434,6633000,2021-01-06,2013-05-30,3980000,66.66,22.31423,114.26603
1,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Yuk Ming Court,Block A( Wai Ming House),1996-05-13,H,,,37,6,597,435,5750000,2021-01-06,2013-06-03,2500000,130.0,22.3148805,114.2679156
2,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 6,1999-05-19,H,2,2,43,D,606,436,7000000,2021-01-06,2000-01-14,2229000,214.04,22.3138814,114.2657935
3,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 1,1997-06-23,M,3,2,27,D,790,619,8930000,2021-01-06,2007-04-21,2650000,236.98000000000002,22.315595,114.265676
4,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 3,1999-05-19,M,2,2,21,A,604,436,6950000,2021-01-06,2017-12-06,6800000,2.21,22.3140594,114.2666506
5,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 1,1997-06-23,L,2,2,11,C,588,463,6900000,2021-01-06,2018-08-02,6800000,1.47,22.315595,114.265676
6,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Fu Ning Garden,Block 2,1990-04-02,M,2,,19,E,660,592,6300000,2021-01-06,2014-05-23,3900000,61.54,22.319634,114.267977
7,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Wo Ming Court,Block A( Wo Yat House ),1999-09-29,H,2,,33,8,851,634,5718000,2021-01-06,2010-08-13,1918000,198.12,22.315296999999997,114.2665374
8,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 5,1999-05-19,L,2,2,4,H,603,434,6780000,2021-01-05,2014-11-13,4600000,47.39,22.31423,114.26603
9,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 5,1997-06-23,L,2,2,10,C,592,466,6950000,2021-01-05,2017-11-17,6000000,15.83,22.316793,114.265822
10,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Nan Fung Plaza,Block 5,1999-06-08,L,3,,15,A,877,659,8650000,2021-01-04,1998-10-23,2468000,250.49,22.314625,114.26443499999999
11,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Residence Oasis,Block 7,2004-12-23,L,3,,7,H,1080,802,11400000,2021-01-04,2004-01-09,2780000,310.07,22.315098,114.265242
12,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Nan Fung Plaza,Block 5,1999-06-08,M,2,,20,F,512,375,6438000,2020-12-31,2012-01-19,2850000,125.89,22.314625,114.26443499999999
13,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Yu Ming Court,Block A( Yu Wing House ),1994-04-14,M,1,,19,2,826,603,7100000,2020-12-31,2009-12-31,1980000,258.59000000000003,22.318416,114.266264
14,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 6,1997-06-23,L,2,2,7,G,599,466,7080000,2020-12-31,2016-07-12,4750000,49.050000000000004,22.317045999999998,114.265434
15,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 2,1999-05-19,L,2,2,11,E,603,434,6880000,2020-12-31,2014-08-19,4508000,52.620000000000005,22.3138304,114.2663955
16,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 2,1997-06-23,L,2,2,8,B,595,463,7000000,2020-12-31,1998-04-01,3120000,124.36,22.316057,114.266058
17,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 2,1999-05-19,L,3,1,,F,0,548,7650000,2020-12-31,2004-12-24,1950000,292.31,22.3138304,114.2663955
18,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 7,1997-06-23,H,3,2,36,H,796,623,9500000,2020-12-30,2016-02-25,6060000,56.77,22.316999,114.264961
19,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Yu Ming Court,Block B( Yu Cheong House ),1994-03-31,H,2,,,9,884,635,5775000,2020-12-30,,0,0.0,22.318403999999997,114.266841
20,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Hin Ming Court,Hin Ming Court,1996-05-23,L,,,8,1,286,216,3370000,2020-12-30,2017-10-13,3080000,9.42,22.315717,114.268706
21,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Residence Oasis,Block 3,2004-12-23,H,2,,47,H,755,568,9450000,2020-12-29,2016-10-25,7200000,31.25,22.315901999999998,114.264905
22,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Residence Oasis,Block 3,2004-12-23,M,2,,36,F,657,490,7200000,2020-12-29,2008-12-08,2450000,193.88,22.315901999999998,114.264905
23,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 1,1999-05-19,M,2,1,22,F,527,377,6728000,2020-12-29,1998-07-29,2167000,210.48000000000002,22.3135776,114.2661355
24,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 1,1997-06-23,M,2,2,26,C,588,463,7250000,2020-12-28,2016-06-30,5020000,44.42,22.315595,114.265676
25,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 2,1999-05-19,L,2,2,8,H,606,436,7100000,2020-12-24,2015-07-17,5688000,24.82,22.3138304,114.2663955
26,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 5,1997-06-23,H,2,2,45,C,592,466,7250000,2020-12-24,2009-11-26,2590000,179.92000000000002,22.316793,114.265822
27,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 8,1997-06-23,M,3,2,29,H,796,623,9100000,2020-12-24,1997-02-17,4364400,108.51,22.316561999999998,114.264557
28,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 1,1999-05-19,M,3,2,26,H,884,644,9980000,2020-12-24,1998-10-20,3876420,157.45000000000002,22.3135776,114.2661355
29,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Wo Ming Court,Block B( Wo Fai House ),1999-09-29,H,1,,31,4,712,530,4930000,2020-12-23,,0,0.0,22.315701999999998,114.266954
30,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 3,1999-05-19,H,3,1,37,F,774,561,8450000,2020-12-23,2017-10-11,7700000,9.74,22.3140594,114.2666506
31,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Residence Oasis,Block 3,2004-12-23,M,2,,30,D,755,567,9200000,2020-12-23,2003-12-12,2293000,301.22,22.315901999999998,114.264905
32,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Residence Oasis,Block 5,2004-12-23,H,,,57,A,989,735,12000000,2020-12-22,2008-06-24,5950000,101.68,22.315680999999998,114.265167
33,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,East Point City,Block 3,1997-06-23,M,2,2,25,C,592,466,7200000,2020-12-22,2008-06-16,2350000,206.38,22.316430999999998,114.26622
34,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 6,1999-05-19,M,2,1,19,G,526,379,6680000,2020-12-22,2014-06-17,4400000,51.82,22.3138814,114.2657935
35,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,Maritime Bay,Block 1,1998-12-29,,4,2,37,G,892,672,9900000,2020-12-22,2012-05-04,5580000,77.42,22.314598,114.265355
36,Kowloon,Sai Kung (Tseung Kwan O),Hang Hau,La Cite Noble,Block 3,1999-05-19,L,2,2,13,E,603,434,6653800,2020-12-18,1998-06-12,2260000,194.42000000000002,22.3140594,114.2666506
