,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kowloon City,Ho Man Tin,Homantin Hillside,Block 1,2016-06-07,H,2,,,A,0,1259,29200000,2021-01-06,,0,0.0,22.312063,114.18517
1,Kowloon,Kowloon City,Ho Man Tin,Mantin Heights,Block 8,2017-03-24,L,2,,3,E,0,595,11980000,2021-01-06,2016-12-02,9829100,21.88,22.317593,114.18181
2,Kowloon,Kowloon City,Ho Man Tin,Homantin Hillside,Block 1,2016-06-07,H,2,,,A,0,1259,25300000,2021-01-05,,0,0.0,22.312063,114.18517
3,Kowloon,Kowloon City,Ho Man Tin,Celestial Heights,33 Celestial Avenue,2009-01-15,L,,,10,33,1636,1252,22300000,2021-01-05,2017-05-26,19000000,17.37,22.31869,114.185701
4,Kowloon,Kowloon City,Ho Man Tin,Mandarin Garden,Mandarin Garden,1966-05-06,H,3,,14,A,0,724,10700000,2021-01-05,2006-02-23,3570000,199.72,22.3195,114.177826
5,Kowloon,Kowloon City,Ho Man Tin,Mantin Heights,Block 9,2017-03-24,L,3,,2,A,0,0,32670000,2021-01-04,,0,0.0,22.317518,114.182045
6,Kowloon,Kowloon City,Ho Man Tin,One Homantin,Tower 3,2017-06-30,L,2,,,F,0,491,10300000,2021-01-04,,0,0.0,22.316954,114.1812
7,Kowloon,Kowloon City,Ho Man Tin,Imperial Court,Imperial Court,1960-06-25,,,,12,E,0,1037,9780000,2021-01-04,,0,0.0,22.320088,114.176308
8,Kowloon,Kowloon City,Ho Man Tin,Glorious Court,Glorious Court,1986-01-10,M,3,2,5,,1323,1039,16750000,2021-01-04,2014-07-24,13080000,28.060000000000002,22.326855,114.18311
9,Kowloon,Kowloon City,Ho Man Tin,Mantin Heights,Block 1,2017-03-24,H,2,,20,F,0,571,12470000,2020-12-31,2016-04-26,10454500,19.28,22.319423999999998,114.18163
10,Kowloon,Kowloon City,Ho Man Tin,Mantin Heights,Block 1,2017-03-24,H,2,,20,E,0,519,11330000,2020-12-31,2016-04-26,9750800,16.2,22.319423999999998,114.18163
11,Kowloon,Kowloon City,Ho Man Tin,Emma Place,Emma Place,2001-01-04,M,,,10,A,0,311,5360000,2020-12-30,2010-10-26,2600000,106.15,22.319353,114.17572
12,Kowloon,Kowloon City,Ho Man Tin,Helena Garden,Helena Garden,1991-08-09,H,3,2,15,B,1438,1145,20500000,2020-12-28,1997-09-27,12500000,64.0,22.32558,114.178795
13,Kowloon,Kowloon City,Ho Man Tin,Ultima,Tower 3,2016-04-29,H,4,,,D,0,1428,40880000,2020-12-28,,0,0.0,22.31186,114.18227
14,Kowloon,Kowloon City,Ho Man Tin,Grand Homm,Tower 2,,L,3,,3,B,0,1425,40413000,2020-12-24,,0,0.0,,
15,Kowloon,Kowloon City,Ho Man Tin,Lung Man Building,Lung Man Building,1963-04-18,M,,,7,F,0,651,6900000,2020-12-23,2007-11-28,4060000,69.95,22.316910999999998,114.175097
16,Kowloon,Kowloon City,Ho Man Tin,Greenfield Terrace,Block A,1978-11-20,M,3,,8,A3,769,689,11400000,2020-12-23,,0,0.0,22.313682999999997,114.176646
17,Kowloon,Kowloon City,Ho Man Tin,Fair Way Garden,Block C,1984-10-26,L,2,,8,C2,453,352,5500000,2020-12-23,,0,0.0,22.319134,114.17410000000001
18,Kowloon,Kowloon City,Ho Man Tin,Dragon View,Block 1,1998-06-12,H,2,,19,B,761,604,10000000,2020-12-23,2018-06-22,8800000,13.64,22.316087,114.1788755
19,Kowloon,Kowloon City,Ho Man Tin,Celestial Heights,18 Celestial Avenue,2009-05-15,M,,,33,18,2035,1567,30800000,2020-12-22,2010-06-22,25385000,21.330000000000002,22.319179,114.186142
20,Kowloon,Kowloon City,Ho Man Tin,Carmel On The Hill,Carmel On The Hill,2003-10-13,L,2,,10,C,656,482,7000000,2020-12-22,2008-08-13,3380000,107.10000000000001,22.313789,114.1792696
21,Kowloon,Kowloon City,Ho Man Tin,St. George's Mansions,Tower 1,,M,,,16,B,0,1841,90000000,2020-12-18,,0,0.0,,
22,Kowloon,Kowloon City,Ho Man Tin,Mantin Heights,Block 7,2017-03-24,M,3,,15,C,0,679,14000000,2020-12-16,2017-12-11,15647500,-10.53,22.318044999999998,114.18192
23,Kowloon,Kowloon City,Ho Man Tin,Chun Man Court,Block D,1981-04-13,M,,,10,6,715,596,4514286,2020-12-16,,0,0.0,22.315495,114.178911
24,Kowloon,Kowloon City,Ho Man Tin,Lomond Court,Lomond Court,1981-06-30,H,4,2,11,B,2616,2220,15650000,2020-12-15,,0,0.0,22.326221,114.185666
25,Kowloon,Kowloon City,Ho Man Tin,Chun Man Court,Block B,1980-04-15,L,,,4,7,582,485,6150000,2020-12-14,,0,0.0,22.315367,114.17958
26,Kowloon,Kowloon City,Ho Man Tin,Miami Mansion,Miami Mansion,1975-03-11,H,3,2,12,2,1202,1037,17330000,2020-12-14,2005-03-24,4900000,253.67000000000002,22.326632999999998,114.1781
27,Kowloon,Kowloon City,Ho Man Tin,Kingsland Villa,Block A,1966-05-27,M,3,2,8,A3,1050,741,10000000,2020-12-11,2018-02-20,10500000,-4.76,22.319733,114.178085
28,Kowloon,Kowloon City,Ho Man Tin,Harrison Court,Harrison Court VI,1972-01-28,L,,,5,B,0,1324,20600000,2020-12-11,,0,0.0,22.3185,114.17797
29,Kowloon,Kowloon City,Ho Man Tin,Seven Victory Avenue,Seven Victory Avenue,2018-11-21,L,1,,6,E,0,267,6000000,2020-12-11,2017-04-20,5487360,9.34,22.319485,114.17432
30,Kowloon,Kowloon City,Ho Man Tin,Mantin Heights,Block 5,2017-03-24,L,3,,7,B,0,698,14500000,2020-12-11,2017-12-14,19323600,-24.96,22.318907,114.18222
31,Kowloon,Kowloon City,Ho Man Tin,Peace Tower,Peace Tower,1998-11-03,M,,,18,D,0,320,6380000,2020-12-11,2012-02-23,3250000,96.31,22.318956,114.17373
32,Kowloon,Kowloon City,Ho Man Tin,Kwun Hei Court,Kwun Hei Court,2000-05-10,M,,,15,2,573,426,6700000,2020-12-09,,0,0.0,22.3144515,114.1832115
33,Kowloon,Kowloon City,Ho Man Tin,Happy Court,Happy Court,1966-01-03,M,,,11,B,0,1067,13200000,2020-12-09,2004-12-08,3800000,247.37,22.319777,114.17782
34,Kowloon,Kowloon City,Ho Man Tin,Princess Terrace,Princess Terrace,1967-05-19,M,,,7,C,0,1073,16200000,2020-12-09,2008-10-08,7800000,107.69,22.319447,114.178314
35,Kowloon,Kowloon City,Ho Man Tin,Chun Man Court,Block E,1981-01-14,L,,,1,7,582,485,5920000,2020-12-08,2012-09-12,3600000,64.44,22.315203999999998,114.178532
36,Kowloon,Kowloon City,Ho Man Tin,One Homantin,Tower 3,2017-06-30,L,2,,7,B,0,501,10000000,2020-12-08,2016-10-06,8901000,12.35,22.316954,114.1812
37,Kowloon,Kowloon City,Ho Man Tin,Carrie Court,Carrie Court,1966-01-11,H,,,12,D,0,606,9880000,2020-12-08,2015-11-18,8500000,16.240000000000002,22.319029,114.17829
38,Kowloon,Kowloon City,Ho Man Tin,Homantin Hillside,Block 2,2016-06-07,L,1,,7,F,0,347,7080000,2020-12-08,2015-11-27,6866375,3.11,22.312302,114.18533
39,Kowloon,Kowloon City,Ho Man Tin,Grandco Mansion,Grandco Mansion,1995-03-07,L,2,2,1,C,673,543,5650000,2020-12-07,2015-05-28,4800000,17.71,22.325853,114.180565
40,Kowloon,Kowloon City,Ho Man Tin,Mantin Heights,Block 9,2017-03-24,M,2,,10,F,0,581,11738000,2020-12-07,2017-02-15,12596400,-6.8100000000000005,22.317518,114.182045
41,Kowloon,Kowloon City,Ho Man Tin,Yee On Court,Block C,1977-03-21,L,3,,12,C4,0,707,9000000,2020-12-07,,0,0.0,22.320287999999998,114.176116
