,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kowloon City,Kai Tak,Vibe Centro,Tower 1B,2018-11-20,M,1,,18,D,0,358,8000000,2021-01-06,2017-04-21,7483500,6.9,22.328539,114.20156
1,Kowloon,Kowloon City,Kai Tak,Upper Riverbank,Tower 1,,L,3,,6,D,0,658,16059500,2021-01-06,,0,0.0,22.32808,114.19895
2,Kowloon,Kowloon City,Kai Tak,K.Summit,Urban Villa 2,,,2,,5,D,0,441,11111000,2021-01-05,,0,0.0,,
3,Kowloon,Kowloon City,Kai Tak,One Kai Tak (I),Tower 1,2017-06-22,L,3,,9,J,0,833,12900000,2021-01-04,2016-09-29,12140000,6.26,22.329871999999998,114.20027999999999
4,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1B,,H,,,33,E,0,289,7935000,2021-01-04,,0,0.0,,
5,Kowloon,Kowloon City,Kai Tak,Oasis Kai Tak,Tower 5,2018-12-21,L,2,,11,A,0,509,11550000,2021-01-04,2017-09-27,10762000,7.32,22.328833,114.20035
6,Kowloon,Kowloon City,Kai Tak,Victoria Skye,Ocean Waves Tower 2,2018-12-17,M,2,,22,C,0,461,10400000,2021-01-04,2017-06-27,8579500,21.22,22.32846,114.20200000000001
7,Kowloon,Kowloon City,Kai Tak,Upper Riverbank,Tower 2,,H,3,,32,F,0,752,20451200,2020-12-31,,0,0.0,22.327752999999998,114.19883
8,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1A,,L,2,,7,D,0,451,10501000,2020-12-31,,0,0.0,,
9,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,M,2,,23,D,0,514,12557000,2020-12-31,,0,0.0,,
10,Kowloon,Kowloon City,Kai Tak,Upper Riverbank,Tower 2,,H,2,,35,E,0,585,15574100,2020-12-30,,0,0.0,22.327752999999998,114.19883
11,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,H,2,,31,D,0,514,12744000,2020-12-30,,0,0.0,,
12,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,H,1,,35,F,0,325,9231000,2020-12-30,,0,0.0,,
13,Kowloon,Kowloon City,Kai Tak,Upper Riverbank,Tower 1,,L,3,,9,D,0,658,16464200,2020-12-30,,0,0.0,22.32808,114.19895
14,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,M,2,,25,C,0,460,10848000,2020-12-29,,0,0.0,,
15,Kowloon,Kowloon City,Kai Tak,K.Summit,Urban Villa 1,,,3,,1,F,0,718,18670000,2020-12-29,,0,0.0,,
16,Kowloon,Kowloon City,Kai Tak,Victoria Skye,Ocean Waves Tower 3,2018-12-17,,2,,35,E,0,433,9880000,2020-12-29,2017-08-04,8929900,10.64,22.32896,114.20170999999999
17,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,L,2,,5,C,0,460,10121000,2020-12-29,,0,0.0,,
18,Kowloon,Kowloon City,Kai Tak,Victoria Skye,Ocean Waves Tower 2,2018-12-17,M,2,,23,F,0,461,10000000,2020-12-28,2017-06-22,8114900,23.23,22.32846,114.20200000000001
19,Kowloon,Kowloon City,Kai Tak,K. City,Tower 6,2018-08-15,,1,,,B,0,358,7780000,2020-12-24,,0,0.0,22.328003,114.201706
20,Kowloon,Kowloon City,Kai Tak,K. City,Tower 2,2018-08-15,L,2,,9,F,0,500,9500000,2020-12-24,,0,0.0,22.32834,114.201035
21,Kowloon,Kowloon City,Kai Tak,Victoria Skye,Ocean Waves Tower 3,2018-12-17,,,,31,F,0,438,9800000,2020-12-23,2017-06-19,7919300,23.75,22.32896,114.20170999999999
22,Kowloon,Kowloon City,Kai Tak,Victoria Skye,Ocean Waves Tower 3,2018-12-17,L,,,8,B,0,266,5948000,2020-12-23,2017-07-11,5453100,9.08,22.32896,114.20170999999999
23,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,M,,,17,D,0,514,12398000,2020-12-22,,0,0.0,,
24,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1B,,H,,,31,E,0,289,7857000,2020-12-22,,0,0.0,,
25,Kowloon,Kowloon City,Kai Tak,K. City,Tower 8,2014-09-19,L,1,,12,E,0,349,8000000,2020-12-21,2017-03-16,6967000,14.83,22.327724,114.20200000000001
26,Kowloon,Kowloon City,Kai Tak,Victoria Skye,Ocean Waves Tower 3,2018-12-17,L,,,3,M,0,466,9300000,2020-12-21,2017-07-05,8649700,7.5200000000000005,22.32896,114.20170999999999
27,Kowloon,Kowloon City,Kai Tak,One Kai Tak (I),Tower 2,2017-06-22,L,,,10,B,0,516,10000000,2020-12-18,2016-09-29,7328000,36.46,22.329552,114.20078
28,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1B,,L,,,3,E,0,289,7055000,2020-12-18,,0,0.0,,
29,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1A,,H,,,31,G,0,459,11126000,2020-12-18,,0,0.0,,
30,Kowloon,Kowloon City,Kai Tak,K. City,Tower 9,2018-08-15,,2,,,B,0,447,9430000,2020-12-18,,0,0.0,22.327616,114.20168
31,Kowloon,Kowloon City,Kai Tak,One Kai Tak (I),Tower 2,2017-06-22,H,,,31,A,0,584,13000000,2020-12-18,2016-09-29,9815000,32.45,22.329552,114.20078
32,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1B,,L,,,12,C,0,778,18822000,2020-12-17,,0,0.0,,
33,Kowloon,Kowloon City,Kai Tak,Oasis Kai Tak,Tower 3,2018-12-21,H,1,,31,E,0,339,8200000,2020-12-17,2017-10-27,8089000,1.37,22.328882,114.20023
34,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2B,,M,,,25,B,0,766,21297000,2020-12-17,,0,0.0,,
35,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,L,,,10,D,0,514,12217000,2020-12-17,,0,0.0,,
36,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,M,,,28,D,0,514,12967000,2020-12-17,,0,0.0,,
37,Kowloon,Kowloon City,Kai Tak,Vibe Centro,Tower 1B,2018-11-20,M,0,,19,C,0,228,5380000,2020-12-17,2017-04-20,4698600,14.5,22.328539,114.20156
38,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1B,,H,,,36,E,0,289,7653000,2020-12-17,,0,0.0,,
39,Kowloon,Kowloon City,Kai Tak,Vibe Centro,Tower 1A,2018-11-20,H,1,,29,G,0,351,8000000,2020-12-17,2017-06-26,7277400,9.93,22.328518,114.2014
40,Kowloon,Kowloon City,Kai Tak,K.Summit,Urban Villa 1,,,3,,5,G,0,724,17152000,2020-12-17,,0,0.0,,
41,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,L,,,8,D,0,514,12348000,2020-12-16,,0,0.0,,
42,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2B,,M,,,26,A,0,459,11253000,2020-12-16,,0,0.0,,
43,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 1B,,H,,,32,E,0,289,7630000,2020-12-16,,0,0.0,,
44,Kowloon,Kowloon City,Kai Tak,K.Summit,Urban Villa 2,,,1,,2,A,0,324,8375000,2020-12-16,,0,0.0,,
45,Kowloon,Kowloon City,Kai Tak,K.Summit,Tower 2A,,H,,,32,D,0,514,13108000,2020-12-16,,0,0.0,,
46,Kowloon,Kowloon City,Kai Tak,K.Summit,Urban Villa 1,,,2,,5,C,0,518,13180000,2020-12-15,,0,0.0,,
