,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Yau Tsim Mong,Kingspark,11 Nanking Street,11 Nanking Street,1958-12-09,L,,,1,FP,0,560,13000000,2021-01-05,,0,0.0,,
1,Kowloon,Yau Tsim Mong,Kingspark,King's Park Villa,Block 5,1996-12-28,L,3,,8,C,1128,948,18800000,2021-01-05,2010-08-02,10900000,72.48,22.31066,114.175552
2,Kowloon,Yau Tsim Mong,Kingspark,King's Park Villa,Block 1,1996-12-28,M,3,,10,C,1128,948,14000000,2021-01-04,1997-01-03,9571900,46.26,22.3109176,114.17492
3,Kowloon,Yau Tsim Mong,Kingspark,Parc Palais,Block 9,2004-02-13,M,3,,20,B,1416,1074,22800000,2020-12-24,2006-05-04,10050000,126.87,22.3112831,114.1766155
4,Kowloon,Yau Tsim Mong,Kingspark,Parc Palais,Block 8,2004-02-13,H,3,,32,C,1681,1288,32800000,2020-12-24,2005-07-22,13800000,137.68,22.3110924,114.176916
5,Kowloon,Yau Tsim Mong,Kingspark,The Regalia,Blk 2,1995-12-30,M,,,,B,0,1059,19380000,2020-12-22,1997-01-28,12650820,53.19,22.310318,114.17259
6,Kowloon,Yau Tsim Mong,Kingspark,The Regalia,Block 5,1995-12-30,L,,,1,A,0,1028,14000000,2020-12-18,1998-07-18,7070000,98.02,22.309877,114.17251999999999
7,Kowloon,Yau Tsim Mong,Kingspark,King's Park Villa,Block 1,1996-12-28,H,3,,18,A,1332,1122,25080000,2020-12-16,1997-01-03,16782300,49.44,22.3109176,114.17492
8,Kowloon,Yau Tsim Mong,Kingspark,Ka Nam House,Ka Nam House,1979-07-18,M,,,4,A,0,342,8750000,2020-12-14,,0,0.0,,
9,Kowloon,Yau Tsim Mong,Kingspark,King's Park Villa,Block 1,1996-12-28,H,3,,18,B,1391,1177,25000000,2020-12-04,2007-12-28,11500000,117.39,22.3109176,114.17492
10,Kowloon,Yau Tsim Mong,Kingspark,King's Park Hill,Block 6,2000-01-26,M,,,3,B,1841,1215,27000000,2020-11-30,2001-01-05,14608000,84.83,22.313057,114.17419
11,Kowloon,Yau Tsim Mong,Kingspark,Ko Kie Building,Ko Kie Building,1986-05-23,L,2,,4,B,345,258,4100000,2020-11-24,2010-10-14,1750000,134.29,22.305816999999998,114.1722
12,Kowloon,Yau Tsim Mong,Kingspark,Parc Palais,Block 6,2004-02-13,M,2,,25,D,1062,811,15800000,2020-11-19,2016-02-18,13200000,19.7,22.310357,114.1776426
13,Kowloon,Yau Tsim Mong,Kingspark,King's Park Villa,Block 2,1996-12-28,L,3,,8,C,1109,932,18500000,2020-11-18,2017-08-18,18880000,-2.0100000000000002,22.310747,114.17501899999999
14,Kowloon,Yau Tsim Mong,Kingspark,Parc Palais,Block 1,2004-02-13,L,3,,13,C,1762,1343,34500000,2020-11-13,2007-12-06,17100000,101.75,22.3094515,114.1766439
15,Kowloon,Yau Tsim Mong,Kingspark,King's Park Hill,Block 3,2000-01-26,M,,,5,A,1861,1230,30800000,2020-11-06,2011-01-26,23800000,29.41,22.313319999999997,114.174385
16,Kowloon,Yau Tsim Mong,Kingspark,King's Park Villa,Block 2,1996-12-28,M,3,,13,C,1109,932,19000000,2020-10-30,2010-09-02,11680000,62.67,22.310747,114.17501899999999
17,Kowloon,Yau Tsim Mong,Kingspark,11 Nanking Street,11 Nanking Street,1958-12-09,L,,,2,RP,0,266,7000000,2020-10-22,2016-08-05,2000000,250.0,,
18,Kowloon,Yau Tsim Mong,Kingspark,11 Nanking Street,11 Nanking Street,1958-12-09,M,,,4,RP,0,358,6412000,2020-10-22,,0,0.0,,
19,Kowloon,Yau Tsim Mong,Kingspark,11 Nanking Street,11 Nanking Street,1958-12-09,H,,,5,FP,0,560,10000000,2020-10-22,,0,0.0,,
20,Kowloon,Yau Tsim Mong,Kingspark,Ka Nam House,Ka Nam House,1979-07-18,L,,,1,A,0,342,5200000,2020-10-22,,0,0.0,,
21,Kowloon,Yau Tsim Mong,Kingspark,11 Nanking Street,11 Nanking Street,1958-12-09,M,,,4,FP,0,560,10000000,2020-10-22,,0,0.0,,
22,Kowloon,Yau Tsim Mong,Kingspark,11 Nanking Street,11 Nanking Street,1958-12-09,M,,,3,FP,0,560,10000000,2020-10-22,,0,0.0,,
23,Kowloon,Yau Tsim Mong,Kingspark,Ka Nam House,Ka Nam House,1979-07-18,L,,,2,A,0,342,5200000,2020-10-22,1997-01-16,1300000,300.0,,
24,Kowloon,Yau Tsim Mong,Kingspark,Ka Nam House,Ka Nam House,1979-07-18,M,,,4,B,0,266,4400000,2020-10-22,,0,0.0,,
25,Kowloon,Yau Tsim Mong,Kingspark,11 Nanking Street,11 Nanking Street,1958-12-09,H,,,5,RP,0,358,6750000,2020-10-22,,0,0.0,,
26,Kowloon,Yau Tsim Mong,Kingspark,Ka Nam House,Ka Nam House,1979-07-18,M,,,3,A,0,342,5200000,2020-10-22,1997-01-24,1200000,333.33,,
27,Kowloon,Yau Tsim Mong,Kingspark,King's Park Villa,Block 7,1996-12-28,M,3,,15,A,1312,1111,19000000,2020-10-08,2014-09-30,16000000,18.75,22.311066,114.175831
28,Kowloon,Yau Tsim Mong,Kingspark,Wylie Court,Block A,1985-08-20,L,,,4,B,2002,1626,29000000,2020-09-28,,0,0.0,22.307615,114.17833
29,Kowloon,Yau Tsim Mong,Kingspark,Yun Kai Building,Yun Kai Building,1978-01-23,,2,,19,A,586,446,5670000,2020-08-27,,0,0.0,22.310865,114.17133
30,Kowloon,Yau Tsim Mong,Kingspark,On Cheung Building,On Cheung Building,1962-10-20,L,,,3,D,0,728,6900000,2020-08-26,,0,0.0,22.31046,114.1714
31,Kowloon,Yau Tsim Mong,Kingspark,Clifton Tower,Clifton Tower,1993-12-09,L,,,1,A,607,401,7600000,2020-08-26,2012-09-25,4460000,70.4,22.310516,114.171638
32,Kowloon,Yau Tsim Mong,Kingspark,The Regalia,Block 1,1995-12-30,M,,,8,C,1155,904,17238000,2020-08-24,2009-04-15,6800000,153.5,22.310436,114.17239000000001
33,Kowloon,Yau Tsim Mong,Kingspark,Ko Kie Building,Ko Kie Building,1986-05-23,L,2,,3,B,345,258,4200000,2020-08-04,,0,0.0,22.305816999999998,114.1722
34,Kowloon,Yau Tsim Mong,Kingspark,Yun Kai Building,Yun Kai Building,1978-01-23,M,2,,12,B,586,438,5700000,2020-07-31,2014-01-22,3000000,90.0,22.310865,114.17133
35,Kowloon,Yau Tsim Mong,Kingspark,Hung Hsing Mansion,Hung Hsing Mansion,1964-07-25,L,,,4,,0,658,5950000,2020-07-29,2006-01-04,950000,526.32,22.311428,114.171196
36,Kowloon,Yau Tsim Mong,Kingspark,Kim Tak Building,Kim Tak Building,1965-08-07,M,2,,12,I,925,1212,6500000,2020-07-14,2017-12-22,6500000,0.0,22.306963,114.17172
37,Kowloon,Yau Tsim Mong,Kingspark,The Regalia,Block 1,1995-12-30,L,,,2,B,1295,1035,18200000,2020-07-09,2004-01-14,4180000,335.41,22.310436,114.17239000000001
