,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block A,1981-06-22,M,2,2,23,6,462,390,6050000,2021-01-06,1996-11-29,1930000,213.47,22.324737,114.215652
1,Kowloon,Kwun Tong,Kowloon Bay,No.8 Clear Water Bay Road,No.8 Clear Water Bay Road,2005-12-23,L,3,,21,G,871,647,10200000,2021-01-05,2011-06-27,6020000,69.44,22.334075,114.209816
2,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block N,1985-03-20,H,2,1,34,6,340,255,4700000,2021-01-05,,0,0.0,22.3242425,114.2167616
3,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block M,1985-03-20,H,2,2,29,6,480,356,6250000,2021-01-05,2013-12-11,3680000,69.84,22.3244465,114.2166155
4,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block N,1981-10-26,H,2,2,24,7,562,494,7200000,2021-01-04,2003-06-07,1130000,537.17,22.325407,114.212006
5,Kowloon,Kwun Tong,Kowloon Bay,Lee Kee Building,Block C,1978-07-20,,2,2,,3,550,471,5780000,2021-01-04,,0,0.0,22.325699,114.21554499999999
6,Kowloon,Kwun Tong,Kowloon Bay,Kai Tai Court,Block A (Kai Pong House),1983-03-14,L,2,,7,4,672,546,6100000,2021-01-04,2016-03-02,4000000,52.5,22.3282832,114.2112539
7,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 2,1985-04-17,L,2,2,10,B,470,407,5180000,2021-01-04,2004-03-20,908000,470.48,22.329721,114.206713
8,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block D,1984-11-26,M,2,2,24,D4,344,265,4600000,2020-12-31,2010-03-25,1400000,228.57,22.327334999999998,114.2144345
9,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block K,1984-04-12,M,2,2,19,2,501,391,6358000,2020-12-31,2017-10-27,5900000,7.76,22.323756500000002,114.2163065
10,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block I,1981-02-24,L,2,2,3,13,578,517,7400000,2020-12-31,,0,0.0,22.32433,114.21255
11,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block Q,1981-11-13,H,2,2,9,14,608,540,7350000,2020-12-31,2004-03-17,1680000,337.5,22.3233862,114.2129819
12,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block E,1981-06-22,H,2,2,,8,482,375,5500000,2020-12-30,2009-07-16,1875000,193.33,22.3252856,114.2161035
13,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 9,1985-04-17,L,2,2,2,A,474,407,4000000,2020-12-29,2005-09-13,1120000,257.14,22.330751,114.206085
14,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 2,1985-04-17,L,3,2,10,D,621,538,5800000,2020-12-29,2012-11-14,1750000,231.43,22.329721,114.206713
15,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block Q,1987-06-29,L,2,2,9,2,572,460,6000000,2020-12-24,2002-07-06,1420000,322.54,22.325412,114.217342
16,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 16,1985-04-17,M,2,2,12,B,474,407,5166000,2020-12-23,2011-03-31,2278000,126.78,22.3300774,114.2075032
17,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block T,1982-02-01,H,2,2,18,5,629,545,7800000,2020-12-23,2007-12-17,2730000,185.71,22.3245629,114.2129124
18,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block F,1984-11-26,,2,2,,F4,343,253,4365000,2020-12-22,2011-06-09,1800000,142.5,22.3270515,114.2147045
19,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block Q,1987-06-29,M,2,2,17,2,572,460,7250000,2020-12-22,2013-02-06,4850000,49.480000000000004,22.325412,114.217342
20,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 14,1985-04-17,M,2,2,19,C,474,407,5000000,2020-12-22,2002-07-30,1000000,400.0,22.330547,114.20700000000001
21,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block O,1981-09-24,L,2,2,,12,578,512,6800000,2020-12-22,2001-12-17,1350000,403.7,22.322253999999997,114.213196
22,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block K,1981-10-26,M,2,2,11,8,670,588,6000000,2020-12-22,,0,0.0,22.324842,114.21274
23,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block K,1984-04-12,M,2,2,18,2,501,391,6000000,2020-12-18,2017-01-19,4718000,27.17,22.323756500000002,114.2163065
24,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block A,1981-06-22,L,2,2,11,7,482,375,6250000,2020-12-18,2016-06-15,4000000,56.25,22.324737,114.215652
25,Kowloon,Kwun Tong,Kowloon Bay,Choi Ha Estate,Block B ( Choi Yuet House ),1989-12-01,H,,,31,9,0,385,2700000,2020-12-18,,0,0.0,22.326332,114.21755
26,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block B,1984-11-26,M,1,2,23,B3,397,282,4920000,2020-12-18,2010-07-22,1656800,196.96,22.3269515,114.2141962
27,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block A,1980-08-18,L,2,2,3,3,603,538,7120000,2020-12-18,2007-10-03,2438000,192.04,22.321434,114.21247
28,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block D,1984-11-26,H,2,2,29,D1,530,398,6000000,2020-12-18,2016-09-02,4368000,37.36,22.327334999999998,114.2144345
29,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 22,1985-04-17,M,2,2,18,G,470,407,5600000,2020-12-17,2016-11-16,3900000,43.59,22.32914,114.20741
30,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block E,1980-12-19,M,2,2,6,2,603,538,7380000,2020-12-17,2014-09-08,5580000,32.26,22.322426,114.212585
31,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block D,1981-06-22,M,2,2,20,3,482,375,6100000,2020-12-16,,0,0.0,22.3253175,114.2157885
32,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block R,1982-02-01,L,1,2,1,1,470,357,5300000,2020-12-16,2009-08-18,1750000,202.86,22.322325,114.21341
33,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block C,1984-11-26,H,1,2,33,C8,343,253,4570000,2020-12-15,2016-07-27,3250000,40.62,22.3271971,114.2142195
34,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block A,1980-08-18,L,2,2,2,11,603,538,7400000,2020-12-15,2010-10-06,3350000,120.9,22.321434,114.21247
35,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block N,1981-10-26,L,2,2,4,3,562,494,5814000,2020-12-15,1998-10-15,1760000,230.34,22.325407,114.212006
36,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block G,1981-06-22,L,2,2,7,2,462,390,6050000,2020-12-15,2009-05-04,1650000,266.67,22.3247505,114.2161096
37,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block A,1981-06-22,,2,2,29,8,482,375,6200000,2020-12-14,2009-09-10,2150000,188.37,22.324737,114.215652
38,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block K,1984-04-12,L,2,2,9,2,501,391,6200000,2020-12-14,2009-04-01,1700000,264.71,22.323756500000002,114.2163065
39,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block C,1984-11-26,H,1,2,36,C2,397,282,5160000,2020-12-14,2017-10-20,4400000,17.27,22.3271971,114.2142195
40,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block E,1984-11-26,H,1,2,26,E2,384,282,4700000,2020-12-11,2015-08-03,4000000,17.5,22.3273035,114.2146995
41,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 12,1985-04-17,M,2,2,15,H,516,447,5680000,2020-12-11,1996-11-14,1750000,224.57,22.330855,114.2065561
42,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 16,1985-04-17,H,2,2,28,E,527,452,5850000,2020-12-11,,0,0.0,22.3300774,114.2075032
43,Kowloon,Kwun Tong,Kowloon Bay,Choi Ha Estate,Block C ( Choi Sing House ),1990-01-01,M,,,16,3,0,443,2850000,2020-12-10,,0,0.0,22.326303,114.21811
44,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block F,1980-08-18,H,2,2,11,9,571,513,7238000,2020-12-10,2010-07-13,2820000,156.67000000000002,22.322806999999997,114.212944
45,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block O,1981-09-24,L,2,2,3,7,603,538,7000000,2020-12-10,2017-09-29,6000000,16.67,22.322253999999997,114.213196
46,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 3,1985-04-17,M,2,2,14,F,470,407,5430000,2020-12-09,,0,0.0,22.329814,114.206491
47,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block M,1985-03-20,M,1,2,19,3,443,322,5150000,2020-12-09,2017-05-05,4400000,17.05,22.3244465,114.2166155
48,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block D,1984-11-26,H,1,2,29,D7,395,282,4700000,2020-12-09,2012-02-20,2100000,123.81,22.327334999999998,114.2144345
49,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block I,1984-04-12,L,2,2,13,3,484,378,6150000,2020-12-09,2008-06-06,1880000,227.13,22.3241925,114.2160085
50,Kowloon,Kwun Tong,Kowloon Bay,Wai King Building,Wai King Building,1973-02-20,H,,,24,M,0,392,5350000,2020-12-08,,0,0.0,22.323658,114.216506
51,Kowloon,Kwun Tong,Kowloon Bay,Kai Tai Court,Block A (Kai Pong House),1983-03-14,,,,19,8,672,546,6430000,2020-12-07,2009-05-25,1980000,224.75,22.3282832,114.2112539
52,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block U,1981-10-26,H,2,2,22,14,571,494,7630000,2020-12-04,2013-03-12,4550000,67.69,22.325374999999998,114.21323
53,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block L,1985-03-20,L,2,2,5,6,480,356,5700000,2020-12-04,1997-02-28,2323000,145.37,22.3246225,114.2164914
54,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block K,1981-10-26,M,2,2,15,16,647,587,8425000,2020-12-03,,0,0.0,22.324842,114.21274
55,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block G,1981-06-22,L,2,2,8,5,462,390,6050000,2020-12-03,2017-05-10,5080000,19.09,22.3247505,114.2161096
56,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block H,1984-11-26,M,2,2,21,5,528,382,5550000,2020-12-03,2003-04-22,742000,647.98,22.3266245,114.2148796
57,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block D,1980-12-19,H,2,2,11,9,625,513,6500000,2020-12-02,2012-04-30,3980000,63.32,22.322322999999997,114.212074
58,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block M,1981-06-23,L,2,2,4,4,578,512,6900000,2020-12-02,2009-09-18,2500000,176.0,22.324845999999997,114.211784
59,Kowloon,Kwun Tong,Kowloon Bay,Tak Bo Garden,Block G,1984-11-26,M,1,2,22,4,343,253,4400000,2020-12-02,1996-07-30,1265000,247.83,22.3268085,114.2147566
60,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 6,1985-04-17,M,3,2,20,E,623,540,7300000,2020-12-01,2002-01-29,1420000,414.08,22.330343,114.2058114
61,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block D,1981-06-22,M,2,2,21,1,462,390,6028000,2020-12-01,2011-05-25,2660000,126.62,22.3253175,114.2157885
62,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block B,1981-06-22,L,2,2,9,2,462,390,6100000,2020-12-01,2009-04-29,1620000,276.54,22.3248874,114.2155005
63,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 21,1985-04-17,L,2,2,7,H,516,447,5720000,2020-12-01,2016-06-27,3950000,44.81,22.329103999999997,114.207874
64,Kowloon,Kwun Tong,Kowloon Bay,Amoy Gardens,Block G,1981-06-22,L,2,2,4,3,482,375,5650000,2020-11-30,2015-09-18,4400000,28.41,22.3247505,114.2161096
65,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block G,1980-08-18,H,2,2,11,5,578,517,6680000,2020-11-30,2010-07-09,2760000,142.03,22.32332,114.21265
66,Kowloon,Kwun Tong,Kowloon Bay,Wang Kwong Building,Block A,1977-07-12,M,2,2,14,2,458,391,5000000,2020-11-27,2017-11-29,3800000,31.580000000000002,22.325857,114.214919
67,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block A,1980-08-18,H,2,2,10,1,625,556,7680000,2020-11-27,1999-01-27,2230000,244.39000000000001,22.321434,114.21247
68,Kowloon,Kwun Tong,Kowloon Bay,Richland Gardens,Block 11,1985-04-17,H,2,2,28,H,474,407,5668000,2020-11-27,,0,0.0,22.331018999999998,114.2063389
69,Kowloon,Kwun Tong,Kowloon Bay,Kai Tai Court,Block D (Kai Fan House),1983-03-14,,,,15,3,672,546,6288000,2020-11-27,,0,0.0,22.328381999999998,114.21077199999999
70,Kowloon,Kwun Tong,Kowloon Bay,Telford Gardens,Block D,1980-12-19,L,2,2,2,12,578,517,6750000,2020-11-26,2014-09-29,4700000,43.62,22.322322999999997,114.212074
