,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kowloon City,Kowloon City,Billionnaire Royale,Billionnaire Royale,2010-01-06,M,3,,27,A,1332,1014,16000000,2021-01-05,2010-10-28,13537000,18.19,22.331073999999997,114.19262
1,Kowloon,Kowloon City,Kowloon City,Billionnaire Royale,Billionnaire Royale,2010-01-06,H,3,,52,D,1214,930,15850000,2021-01-04,2013-06-04,13216560,19.93,22.331073999999997,114.19262
2,Kowloon,Kowloon City,Kowloon City,36-38 Kai Tak Road,36-38 Kai Tak Road,1972-01-13,M,,,4,38,0,537,5707000,2020-12-31,2018-05-04,4600000,24.07,22.329425999999998,114.19232
3,Kowloon,Kowloon City,Kowloon City,40-42 Kai Tak Road,40-42 Kai Tak Road,1965-03-01,M,,,4,40,0,640,6548000,2020-12-31,2007-01-08,1100000,495.27000000000004,22.329508,114.19232
4,Kowloon,Kowloon City,Kowloon City,Billionnaire Avant,Billionnaire Avant,2014-10-14,L,2,,9,C,652,465,8330000,2020-12-30,2012-11-22,7408000,12.450000000000001,22.3299986,114.1895269
5,Kowloon,Kowloon City,Kowloon City,Pearl House,Pearl House,1981-06-25,,2,,5,G,411,320,4230000,2020-12-22,2016-11-04,3080000,37.34,22.327666999999998,114.187935
6,Kowloon,Kowloon City,Kowloon City,71 Sa Po Road,71 Sa Po Road,1964-05-26,L,,,1,,0,595,6893000,2020-12-22,2007-09-17,1460000,372.12,22.330212,114.192604
7,Kowloon,Kowloon City,Kowloon City,Man Yuen Building,Man Yuen Building,1972-10-04,,,,4,F,0,533,7980000,2020-12-22,,0,0.0,22.329203,114.18669
8,Kowloon,Kowloon City,Kowloon City,Nga Tsin Wai Building,Nga Tsin Wai Building,1964-07-29,L,,,2,C,0,456,3600000,2020-12-22,2018-06-13,4600000,-21.740000000000002,22.329017999999998,114.19170000000001
9,Kowloon,Kowloon City,Kowloon City,Lung Wah Building,Lung Wah Building,1978-12-20,,,,1,A,0,264,2200000,2020-12-21,,0,0.0,22.328222,114.19017
10,Kowloon,Kowloon City,Kowloon City,Chong Yip Building,Chong Yip Building,1988-02-15,,,,4,,0,453,5000000,2020-12-18,,0,0.0,22.329933,114.18836999999999
11,Kowloon,Kowloon City,Kowloon City,Le Billionnaire,Le Billionnaire I,2006-12-29,H,3,,45,D,1051,793,12680000,2020-12-16,2010-12-14,9815000,29.19,22.3308115,114.1930074
12,Kowloon,Kowloon City,Kowloon City,Le Billionnaire,Le Billionnaire I,2006-12-29,L,2,,16,E,714,541,8000000,2020-12-15,2009-01-15,3764000,112.54,22.3308115,114.1930074
13,Kowloon,Kowloon City,Kowloon City,Le Billionnaire,Le Billionnaire I,2006-12-29,L,3,,18,D,1051,793,12600000,2020-12-15,2009-06-10,5816000,116.64,22.3308115,114.1930074
14,Kowloon,Kowloon City,Kowloon City,Po Man Court,Po Man Court,1991-05-13,,,,1,B,0,268,3900000,2020-12-09,2011-01-07,1670000,133.53,22.329639999999998,114.190254
15,Kowloon,Kowloon City,Kowloon City,Kam Kwok Building,Kam Kwok Building,1966-02-21,L,,,2,M,0,367,3480000,2020-12-08,2015-01-22,2800000,24.29,22.335628999999997,114.18801
16,Kowloon,Kowloon City,Kowloon City,Fook Hong Court,Fook Hong Court,1975-06-12,M,,,4,D,0,533,8380000,2020-12-02,2016-07-05,6500000,28.92,22.329404999999998,114.186737
17,Kowloon,Kowloon City,Kowloon City,47 Nga Tsin Wai Road,47 Nga Tsin Wai Road,1964-10-27,H,,,5,F,0,264,3080000,2020-11-30,,0,0.0,22.32883,114.187996
18,Kowloon,Kowloon City,Kowloon City,21-23 South Wall Road,21-23 South Wall Road,1977-06-15,,,,1,D,0,257,3300000,2020-11-27,2015-03-24,1800000,83.33,22.32921,114.19080000000001
19,Kowloon,Kowloon City,Kowloon City,93 Hau Wong Road,93 Hau Wong Road,1952-04-10,,,,1,,0,1051,18800000,2020-11-26,,0,0.0,22.330423,114.188614
20,Kowloon,Kowloon City,Kowloon City,93 Hau Wong Road,93 Hau Wong Road,1952-04-10,,,,2,,0,1075,18800000,2020-11-26,,0,0.0,22.330423,114.188614
21,Kowloon,Kowloon City,Kowloon City,93 Hau Wong Road,93 Hau Wong Road,1952-04-10,,,,3,,0,1075,18800000,2020-11-26,,0,0.0,22.330423,114.188614
22,Kowloon,Kowloon City,Kowloon City,10A Lung Kong Road,10A Lung Kong Road,1976-04-26,,,,1,,0,174,2660000,2020-11-25,2016-10-13,2510000,5.98,22.328557999999997,114.19054
23,Kowloon,Kowloon City,Kowloon City,South Wall Mansion,South Wall Mansion,1966-02-12,M,,,4,2,0,391,3150000,2020-11-24,,0,0.0,22.330194,114.190834
24,Kowloon,Kowloon City,Kowloon City,The Avery,The Avery,2014-01-30,H,1,,20,A,423,306,6150000,2020-11-20,2013-04-03,6159700,-0.16,22.328422999999997,114.18881999999999
25,Kowloon,Kowloon City,Kowloon City,52 Lung Kong Road,52 Lung Kong Road,1958-05-13,L,,,1,,0,568,6180000,2020-11-19,2016-09-05,3950000,56.46,22.330389999999998,114.1906
26,Kowloon,Kowloon City,Kowloon City,Yat Hong Court,Yat Hong Court,1999-01-13,M,,,4,B,0,196,2840000,2020-11-18,2011-08-25,1680000,69.05,22.330327999999998,114.1914
27,Kowloon,Kowloon City,Kowloon City,16-18 Nga Tsin Long Road,16-18 Nga Tsin Long Road,1973-06-11,,,,4,,0,347,3430000,2020-11-18,,0,0.0,22.328432,114.1894
28,Kowloon,Kowloon City,Kowloon City,65-67 Kai Tak Road,65-67 Kai Tak Road,1964-12-23,L,,,2,C,0,435,4310000,2020-11-16,,0,0.0,22.32999,114.19194
29,Kowloon,Kowloon City,Kowloon City,Le Billionnaire,Le Billionnaire I,2006-12-29,L,3,,11,C,1078,815,12500000,2020-11-16,2009-05-12,6415000,94.86,22.3308115,114.1930074
30,Kowloon,Kowloon City,Kowloon City,Oxford Heights,Oxford Heights,2005-04-23,M,3,2,21,A,750,541,9760000,2020-11-13,2014-06-05,7270000,34.25,22.328114,114.18776
31,Kowloon,Kowloon City,Kowloon City,Luen Fook Building,Luen Fook Building,1976-03-25,,,,4,1,0,330,3750000,2020-11-11,2011-03-03,1980000,89.39,22.328,114.18886
32,Kowloon,Kowloon City,Kowloon City,Fook Luen Mansion,Fook Luen Mansion,1993-09-22,,,,1,B,0,319,4500000,2020-11-11,2017-02-09,3600000,25.0,22.328633999999997,114.18833
33,Kowloon,Kowloon City,Kowloon City,Fook Chi Building,Fook Chi Building,1992-01-17,L,,,2,D,0,254,3150000,2020-11-10,2006-11-16,750000,320.0,22.330181,114.18967
34,Kowloon,Kowloon City,Kowloon City,Tak Fung Buidling,Tak Fung Building,1970-12-09,M,,,4,RP,0,295,2000000,2020-11-09,,0,0.0,22.329935,114.19198
35,Kowloon,Kowloon City,Kowloon City,The Avery,The Avery,2014-01-30,H,1,,23,A,423,306,6148000,2020-11-06,2013-04-05,6358700,-3.31,22.328422999999997,114.18881999999999
36,Kowloon,Kowloon City,Kowloon City,Tung Tau (II) Estate,Hing Tung House,1993-03-01,M,,,16,3,0,145,1160000,2020-11-05,,0,0.0,22.333675,114.193474
37,Kowloon,Kowloon City,Kowloon City,Lung Cheung Court,Lung Cheung Court,1983-11-07,M,,,4,B,466,241,3150000,2020-11-05,1997-04-09,1030000,205.83,22.32938,114.19024
38,Kowloon,Kowloon City,Kowloon City,Oxford Heights,Oxford Heights,2005-04-23,H,3,2,23,A,750,541,9080000,2020-11-04,2005-05-05,3000000,202.67000000000002,22.328114,114.18776
39,Kowloon,Kowloon City,Kowloon City,1A Nga Tsin Long Road,1A Nga Tsin Long Road,1968-06-09,,,,4,,0,667,10380000,2020-11-04,,0,0.0,22.327932,114.18912
40,Kowloon,Kowloon City,Kowloon City,32 Nga Tsin Long Road,32 Nga Tsin Long Road,1976-01-29,,,,4,A,0,265,3320000,2020-11-03,2016-03-17,1850000,79.46000000000001,22.328957,114.18929
41,Kowloon,Kowloon City,Kowloon City,Kai King Mansion,Kai King Mansion,1989-12-07,H,,,7,C,0,368,4880000,2020-11-03,2010-01-11,1600000,205.0,22.329956,114.19026
42,Kowloon,Kowloon City,Kowloon City,Le Billionnaire,Le Billionnaire I,2006-12-29,M,3,,27,C,1078,815,13000000,2020-11-03,2019-05-10,14280000,-8.96,22.3308115,114.1930074
43,Kowloon,Kowloon City,Kowloon City,Genius Court,Genius Court,2002-09-04,,1,,30,C,493,316,6500000,2020-11-03,2009-09-03,2530000,156.92000000000002,22.328381999999998,114.18776
44,Kowloon,Kowloon City,Kowloon City,Tung Tau (II) Estate,On Tung House,1988-08-01,M,,,7,18,0,439,4500000,2020-11-03,,0,0.0,22.332653,114.19273
45,Kowloon,Kowloon City,Kowloon City,Po Sing Court,Po Sing Court,1967-11-17,H,,,10,10,0,245,3700000,2020-10-30,2018-06-13,3393000,9.05,22.33034,114.1931
46,Kowloon,Kowloon City,Kowloon City,76 Tak Ku Ling Road,76 Tak Ku Ling Road,1967-07-03,,,,5,,0,612,6360000,2020-10-28,,0,0.0,22.330192999999998,114.19169
47,Kowloon,Kowloon City,Kowloon City,Fuk Hau Mansion,Fuk Hau Mansion,1988-10-28,,,,5,B,0,243,3380000,2020-10-27,2006-11-24,570000,492.98,22.330036,114.18781
48,Kowloon,Kowloon City,Kowloon City,Tung Tau (II) Estate,Tai Tung House,1985-10-01,M,,,15,12,0,423,2850000,2020-10-27,,0,0.0,22.336112999999997,114.193794
49,Kowloon,Kowloon City,Kowloon City,Luen Hop Building,Luen Hop Building,1965-07-09,L,,,2,F25,0,228,2000000,2020-10-23,,0,0.0,22.335264,114.18801
50,Kowloon,Kowloon City,Kowloon City,The Prince Place,The Prince Place,2012-03-30,L,2,,3,B,649,441,8980000,2020-10-22,2012-06-26,9027000,-0.52,22.327886,114.189051
51,Kowloon,Kowloon City,Kowloon City,Hung Fuk House,Hung Fuk House,1986-08-02,,,,3,B,0,255,3030000,2020-10-21,2018-01-29,3050000,-0.66,22.329680999999997,114.18780000000001
52,Kowloon,Kowloon City,Kowloon City,1 Lion Rock Road,1 Lion Rock Road,2002-03-28,,,,18,B,0,325,6565000,2020-10-21,2010-12-02,3130000,109.74000000000001,22.327892,114.187965
53,Kowloon,Kowloon City,Kowloon City,Prince Ritz,Prince Ritz,2008-05-29,H,3,,32,A,1144,841,14000000,2020-10-16,2007-12-05,8401000,66.65,22.328198999999998,114.19064
54,Kowloon,Kowloon City,Kowloon City,Luen Hop Building,Luen Hop Building,1965-07-09,M,,,4,H39,0,302,2280000,2020-10-15,,0,0.0,22.335264,114.18801
55,Kowloon,Kowloon City,Kowloon City,The Avery,The Avery,2014-01-30,M,1,,12,B,439,316,6080000,2020-10-14,2013-03-15,5243000,15.96,22.328422999999997,114.18881999999999
56,Kowloon,Kowloon City,Kowloon City,Lung Cheung Court,Lung Cheung Court,1983-11-07,L,,,2,F,0,194,2680000,2020-10-14,2007-10-25,680000,294.12,22.32938,114.19024
57,Kowloon,Kowloon City,Kowloon City,The Avery,The Avery,2014-01-30,L,0,,6,C,313,225,4500000,2020-10-14,2013-03-20,3691700,21.900000000000002,22.328422999999997,114.18881999999999
58,Kowloon,Kowloon City,Kowloon City,Tung Tau (II) Estate,Kwai Tung House,1991-09-01,H,,,27,16,0,376,2718000,2020-10-12,,0,0.0,22.33625,114.192215
59,Kowloon,Kowloon City,Kowloon City,Le Billionnaire,Le Billionnaire I,2006-12-29,M,3,,22,B,1163,870,13280000,2020-10-12,2009-08-05,7530000,76.36,22.3308115,114.1930074
60,Kowloon,Kowloon City,Kowloon City,Hing Fat Building,Hing Fat Building,1966-06-08,L,,,2,E,0,384,1900000,2020-10-12,,0,0.0,22.32882,114.18831
61,Kowloon,Kowloon City,Kowloon City,Prince Ritz,Prince Ritz,2008-05-29,H,2,,35,B,738,546,9800000,2020-10-12,2009-03-06,4931000,98.74000000000001,22.328198999999998,114.19064
62,Kowloon,Kowloon City,Kowloon City,Billionnaire Royale,Billionnaire Royale,2010-01-06,H,3,,48,A,1332,1014,18980000,2020-10-07,2010-11-08,16800000,12.98,22.331073999999997,114.19262
63,Kowloon,Kowloon City,Kowloon City,122 Nga Tsin Wai Road,122 Nga Tsin Wai Road,1986-03-25,,,,2,B,0,187,2100000,2020-10-07,2017-06-02,1950000,7.69,22.329016,114.18833
64,Kowloon,Kowloon City,Kowloon City,Sun On House,Sun On House,1976-02-09,,,,5,A,0,308,3600000,2020-10-06,2017-09-08,2500000,44.0,22.328068,114.18830000000001
65,Kowloon,Kowloon City,Kowloon City,58-60 Tak Ku Ling Road,58-60 Tak Ku Ling Road,1973-11-30,,,,2,,0,417,4718000,2020-10-06,2015-03-20,3650000,29.26,22.32985,114.19167
66,Kowloon,Kowloon City,Kowloon City,48-48B Nga Tsin Long Road,48-48B Nga Tsin Long Road,1969-02-03,,,,3,,0,501,4200000,2020-10-06,2013-02-26,2500000,68.0,22.329566999999997,114.18950000000001
67,Kowloon,Kowloon City,Kowloon City,Prince Mansion,Prince Mansion,1981-03-14,,,,4,C,0,302,3600000,2020-10-06,2015-07-03,3020000,19.21,22.327769999999997,114.18853
68,Kowloon,Kowloon City,Kowloon City,Luen Hop Building,Luen Hop Building,1965-07-09,M,,,4,E22,0,298,1860000,2020-10-05,,0,0.0,22.335264,114.18801
69,Kowloon,Kowloon City,Kowloon City,The Avery,The Avery,2014-01-30,H,0,,26,D,313,225,5180000,2020-09-30,2014-03-20,4369000,18.56,22.328422999999997,114.18881999999999
70,Kowloon,Kowloon City,Kowloon City,Comfort Mansion,93 Fuk Lo Tsun Road,1980-06-13,M,,,4,RP,0,287,3380000,2020-09-30,2013-11-04,2500000,35.2,22.330484,114.18749
71,Kowloon,Kowloon City,Kowloon City,Cambridge Heights,Cambridge Heights,2003-02-06,L,2,1,5,B,470,327,5500000,2020-09-29,2017-10-10,5500000,0.0,22.328636,114.187775
72,Kowloon,Kowloon City,Kowloon City,Mansion House,Mansion House,1987-06-11,,,,1,A,0,235,3550000,2020-09-29,2017-01-18,2400000,47.92,22.33006,114.189705
73,Kowloon,Kowloon City,Kowloon City,AVA 55,AVA 55,2019-05-28,H,1,,23,D,0,230,5350000,2020-09-25,2017-01-16,4757000,12.47,22.329645,114.19202
74,Kowloon,Kowloon City,Kowloon City,Ho Fook Court,Ho Fook Court,1990-04-19,,,,2,C,0,254,2580000,2020-09-24,2012-12-11,2350000,9.790000000000001,22.329698999999998,114.18859
