,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Yau Tsim Mong,Kowloon Station,The Austin,Tower 1 - T1,2014-09-30,H,0,,22,E,0,360,9250000,2021-01-06,2013-12-02,8530000,8.44,22.305,114.166786
1,Kowloon,Yau Tsim Mong,Kowloon Station,Sorrento,Block 6 ( So6 ),2002-10-30,M,3,,47,G,1016,762,19000000,2020-12-31,2002-06-28,4358000,335.98,22.306023,114.1633776
2,Kowloon,Yau Tsim Mong,Kowloon Station,Sorrento,Block 1 ( So1),2003-10-16,M,3,,39,F,1440,1073,28800000,2020-12-29,2003-12-05,6100000,372.13,22.3067515,114.161535
3,Kowloon,Yau Tsim Mong,Kowloon Station,The Cullinan,Star Sky,2007-03-30,L,1,,,E,831,831,30800000,2020-12-28,2010-05-14,21800000,41.28,22.305844999999998,114.160976
4,Kowloon,Yau Tsim Mong,Kowloon Station,Sorrento,Block 2,2003-10-16,L,3,,,D,1389,1052,27180000,2020-12-28,2005-04-26,9500000,186.11,22.306589,114.16192699999999
5,Kowloon,Yau Tsim Mong,Kowloon Station,Grand Austin,Tower 3 - T3,2014-12-30,M,4,,19,C,0,1228,40000000,2020-12-24,2014-07-15,31428000,27.28,22.303998999999997,114.167349
6,Kowloon,Yau Tsim Mong,Kowloon Station,Sorrento,Block 6 ( So6 ),2002-10-30,L,3,,13,F,1131,849,20000000,2020-12-17,2006-08-08,6800000,194.12,22.306023,114.1633776
7,Kowloon,Yau Tsim Mong,Kowloon Station,Sorrento,Block 3 ( So3 ),2002-10-30,L,3,,20,C,1076,802,17000000,2020-12-16,2001-12-13,4644000,266.06,22.3063195,114.1626214
8,Kowloon,Yau Tsim Mong,Kowloon Station,The Austin,Tower 3 - T3A,2014-09-30,M,1,,12,B,0,419,9500000,2020-12-16,2017-09-25,9498000,0.02,22.305605999999997,114.16653
9,Kowloon,Yau Tsim Mong,Kowloon Station,The Arch,Tower 2 Star Tower ( Ar2 ),2005-09-15,L,2,,22,D,747,546,19200000,2020-12-14,2010-03-04,10300000,86.41,22.303704999999997,114.16327
10,Kowloon,Yau Tsim Mong,Kowloon Station,The Arch,Tower 2 Star Tower ( Ar2 ),2005-09-15,M,1,,33,F,562,420,13980000,2020-12-14,2009-10-27,8250000,69.45,22.303704999999997,114.16327
11,Kowloon,Yau Tsim Mong,Kowloon Station,Grand Austin,Tower 3 - T3A,2014-12-30,H,2,,28,B,0,580,15080000,2020-12-11,2014-07-17,11867000,27.080000000000002,22.304102,114.167426
12,Kowloon,Yau Tsim Mong,Kowloon Station,The Waterfront,Block 2,2000-09-30,M,3,,22,B,1168,931,20730000,2020-12-09,1999-05-21,7245000,186.13,22.304398,114.16295
