,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kwun Tong,Kwun Tong,Man Wo Garden Mansion,Man Wo Garden Mansion,1968-05-13,L,,,2,C,0,550,5580000,2021-01-06,2015-05-08,4000000,39.5,22.312942,114.228534
1,Kowloon,Kwun Tong,Kwun Tong,Chiu Kwan Building,Chiu Kwan Building,1965-01-30,L,,,2,B,0,860,8000000,2021-01-06,2004-10-07,1850000,332.43,22.315955,114.22705500000001
2,Kowloon,Kwun Tong,Kwun Tong,Chi Cheong Building,Chi Cheong Building,1961-02-01,M,,,4,2,0,1163,10600000,2021-01-06,2017-11-27,7950000,33.33,,
3,Kowloon,Kwun Tong,Kwun Tong,Shun Chi Court,Block D (Shun Wah House),1980-04-11,,,,15,2,663,560,5990000,2021-01-05,2015-01-23,4500000,33.11,22.332587999999998,114.226485
4,Kowloon,Kwun Tong,Kwun Tong,Kin Fung Building,Kin Fung Building,1971-03-11,L,,,1,E,0,370,3550000,2021-01-04,,0,0.0,,
5,Kowloon,Kwun Tong,Kwun Tong,Yuet Ming Building,Block 3,1975-01-23,L,,,3,N,0,520,5400000,2020-12-31,2020-11-26,5400000,0.0,22.314427,114.228612
6,Kowloon,Kwun Tong,Kwun Tong,Golden Dragon Garden,Golden Dragon Garden,1976-12-16,H,,,22,G,0,614,6950000,2020-12-29,1998-06-18,2700000,157.41,22.319361,114.221112
7,Kowloon,Kwun Tong,Kwun Tong,Hopewell House,Hopewell House,1967-06-12,H,,,15,M,0,305,3750000,2020-12-28,2017-02-22,2900000,29.310000000000002,22.317078,114.22635700000001
8,Kowloon,Kwun Tong,Kwun Tong,Cheung Wo Court,Block D,1984-05-29,L,2,,10,5,521,434,5400000,2020-12-24,2016-10-03,4000000,35.0,22.319107,114.22679600000001
9,Kowloon,Kwun Tong,Kwun Tong,Hiu Lai Court,Block B,1997-02-05,H,,,36,6,593,431,6000000,2020-12-24,2013-01-17,3810000,57.480000000000004,22.321410999999998,114.22836
10,Kowloon,Kwun Tong,Kwun Tong,Tsui Ping (North) Estate,Tsui Yung House,1986-07-01,H,,,26,6,0,381,2880000,2020-12-23,,0,0.0,22.314985,114.2307
11,Kowloon,Kwun Tong,Kwun Tong,Morning Star Mansion,Morning Star Mansion,1970-11-24,,,,12,C,0,350,4000000,2020-12-18,,0,0.0,22.316929,114.22516999999999
12,Kowloon,Kwun Tong,Kwun Tong,Wing Fai Building,Wing Fai Building,1965-04-02,M,,,4,A,0,300,2780000,2020-12-18,,0,0.0,22.315859,114.22537
13,Kowloon,Kwun Tong,Kwun Tong,Golden Dragon Garden,Golden Dragon Garden,1976-12-16,H,,,25,C,0,614,7738000,2020-12-18,2011-02-02,3780000,104.71000000000001,22.319361,114.221112
14,Kowloon,Kwun Tong,Kwun Tong,Lok Nga Court,Block C,1984-02-14,M,2,2,,5,544,447,5050000,2020-12-18,2011-06-22,2298000,119.76,22.323387999999998,114.219956
15,Kowloon,Kwun Tong,Kwun Tong,Cheung Wo Court,Block C,1984-05-29,H,,,28,2,518,431,5680000,2020-12-17,2010-10-25,1960000,189.8,22.318759999999997,114.227013
16,Kowloon,Kwun Tong,Kwun Tong,Yuet Yiu Building,Yuet Yiu Building,1966-02-03,H,,,8,D,0,225,2000000,2020-12-17,2020-12-07,1980000,1.01,,
17,Kowloon,Kwun Tong,Kwun Tong,Tsut Hei Building,Tsut Hei Building,1970-03-10,,,,5,A,0,310,2550000,2020-12-17,,0,0.0,22.317539999999997,114.21615
18,Kowloon,Kwun Tong,Kwun Tong,Hong Wah Building,Hong Wah Building,1967-09-02,,,,5,B,0,230,2570000,2020-12-17,,0,0.0,,
19,Kowloon,Kwun Tong,Kwun Tong,Wah Fat Building,Wah Fat Building,1964-01-17,L,,,3,6,0,480,3980000,2020-12-17,2013-10-21,2350000,69.36,,
20,Kowloon,Kwun Tong,Kwun Tong,Tsui Ping (North) Estate,Tsui On House,1990-07-01,M,,,12,21,0,355,2050000,2020-12-16,,0,0.0,22.314926,114.22902
21,Kowloon,Kwun Tong,Kwun Tong,Connie Towers,Block A,1973-12-03,,3,,20,4,531,451,5000000,2020-12-16,,0,0.0,22.319164,114.222934
22,Kowloon,Kwun Tong,Kwun Tong,Sam Hei Building,Sam Hei Building,1969-03-12,,,,1,C,0,242,2680000,2020-12-15,2014-11-28,1990000,34.67,22.317444,114.215675
23,Kowloon,Kwun Tong,Kwun Tong,Shun Chi Court,Block A (Shun Fung House ),1980-04-24,H,,,11,2,663,560,5300000,2020-12-15,2012-04-18,2820000,87.94,22.332904,114.227676
24,Kowloon,Kwun Tong,Kwun Tong,Kwong Ming Building,Kwong Ming Building,1987-08-14,H,,,23,B,0,513,4000000,2020-12-15,2003-11-06,1380000,189.86,22.315044,114.22282
25,Kowloon,Kwun Tong,Kwun Tong,Hyde Towers,Block A,1977-09-27,,,,16,1,0,587,6000000,2020-12-14,,0,0.0,22.316368,114.220666
26,Kowloon,Kwun Tong,Kwun Tong,Cheung Wo Court,Block A,1984-05-29,M,,,19,3,498,414,5120000,2020-12-14,2017-05-04,4130000,23.97,22.318519,114.226353
27,Kowloon,Kwun Tong,Kwun Tong,Hipway Towers,Block A,1973-06-06,H,,,20,A6,0,614,5000000,2020-12-11,,0,0.0,22.321354,114.226166
28,Kowloon,Kwun Tong,Kwun Tong,Hiu Lai Court,Block C,1997-02-05,L,,,6,2,832,604,4750000,2020-12-11,,0,0.0,22.3208182,114.2285054
29,Kowloon,Kwun Tong,Kwun Tong,On Ning Building,On Ning Building,1965-09-23,H,,,11,B,0,305,1800000,2020-12-10,2020-09-28,1800000,0.0,22.315372,114.225426
30,Kowloon,Kwun Tong,Kwun Tong,Connie Towers,Block D,1973-12-03,H,3,,18,1,535,456,5050000,2020-12-07,2012-05-28,2610000,93.49,22.31911,114.222073
31,Kowloon,Kwun Tong,Kwun Tong,Bo Yan Building,Bo Yan Building,1991-07-18,M,,,16,C,0,412,5900000,2020-12-07,2011-02-28,2655000,122.22,,
32,Kowloon,Kwun Tong,Kwun Tong,Park Metropolitan,Park Metropolitan,2014-07-08,L,1,,8,F,0,457,7830000,2020-12-07,2013-12-03,5674600,37.980000000000004,22.3149569,114.2260438
33,Kowloon,Kwun Tong,Kwun Tong,Yuet Yiu Building,Yuet Yiu Building,1966-02-03,H,,,8,D,0,225,1980000,2020-12-07,2020-09-15,1980000,0.0,,
34,Kowloon,Kwun Tong,Kwun Tong,Tsap King Mansion,Tsap King Mansion,1966-03-29,L,,,4,B,0,565,6578000,2020-12-04,2017-12-04,6790000,-3.12,22.31412,114.228454
35,Kowloon,Kwun Tong,Kwun Tong,Sze Hing Building,Sze Hing Building,1965-01-05,H,,,10,B,0,550,6500000,2020-12-04,,0,0.0,22.315635999999998,114.22721
36,Kowloon,Kwun Tong,Kwun Tong,Kung Lok Building,Kung Lok Building,1974-05-06,M,,,9,G,0,684,7880000,2020-12-04,2005-04-22,1980000,297.98,22.318215,114.219592
37,Kowloon,Kwun Tong,Kwun Tong,Sze Hing Building,Sze Hing Building,1965-01-05,H,,,9,H,0,610,7288000,2020-12-03,,0,0.0,22.315635999999998,114.22721
38,Kowloon,Kwun Tong,Kwun Tong,Cambridge Building,Cambridge Building,1966-09-01,L,2,2,7,16,0,410,4600000,2020-12-02,2014-07-14,2850000,61.4,22.314892999999998,114.223358
39,Kowloon,Kwun Tong,Kwun Tong,Hiu Lai Court,Block A,1997-02-05,M,,,18,14,596,433,5850000,2020-12-02,2016-01-06,4250000,37.65,22.321728999999998,114.228898
40,Kowloon,Kwun Tong,Kwun Tong,Connie Towers,Block D,1973-12-03,L,3,,5,3,516,435,4200000,2020-12-02,,0,0.0,22.31911,114.222073
41,Kowloon,Kwun Tong,Kwun Tong,Kwong Sen Mansion,Kwong Sen Mansion,1965-09-20,L,,,2,C,0,429,4130000,2020-11-30,,0,0.0,,
42,Kowloon,Kwun Tong,Kwun Tong,Tsui Ping (North) Estate,Tsui Yung House,1986-07-01,H,,,32,9,0,381,4100000,2020-11-30,,0,0.0,22.314985,114.2307
43,Kowloon,Kwun Tong,Kwun Tong,Fung King Building,Fung King Building,1964-12-05,H,,,10,B,0,570,6480000,2020-11-30,,0,0.0,22.314894,114.227382
44,Kowloon,Kwun Tong,Kwun Tong,Kwong Ming Building,Kwong Ming Building,1987-08-14,H,,,20,B,0,513,4000000,2020-11-30,1998-07-15,2343000,70.72,22.315044,114.22282
45,Kowloon,Kwun Tong,Kwun Tong,Tsui Ping (North) Estate,Tsui Yung House,1986-07-01,H,,,26,17,0,381,3080000,2020-11-30,2010-07-13,660000,366.67,22.314985,114.2307
46,Kowloon,Kwun Tong,Kwun Tong,Hyde Towers,Block A,1977-09-27,,,,17,3,0,547,6550000,2020-11-27,2011-05-17,3000000,118.33,22.316368,114.220666
47,Kowloon,Kwun Tong,Kwun Tong,Kwun Tong Mansion,Kwun Tong Mansion,1965-09-18,H,,,11,2,0,397,4500000,2020-11-26,2014-06-20,2900000,55.17,22.312254,114.228138
48,Kowloon,Kwun Tong,Kwun Tong,Yuet Ming Building,Block 3,1975-01-23,L,,,3,N,0,520,5400000,2020-11-26,,0,0.0,22.314427,114.228612
49,Kowloon,Kwun Tong,Kwun Tong,Hiu Lai Court,Block D,1997-02-05,L,,,9,14,601,436,3750000,2020-11-26,,0,0.0,22.320382,114.228925
50,Kowloon,Kwun Tong,Kwun Tong,Hiu Ming Court,Hiu Ming Court ( Himi ),1979-09-07,L,,,4,12,0,468,5000000,2020-11-25,2008-11-13,1315000,280.23,22.317759,114.23060000000001
51,Kowloon,Kwun Tong,Kwun Tong,Tai Hong Building,Block A,1970-08-11,M,,,5,7,0,295,3580000,2020-11-25,2017-11-24,3100000,15.48,22.312905999999998,114.22708
52,Kowloon,Kwun Tong,Kwun Tong,Dor Hei Building,Dor Hei Building,1972-11-16,,,,6,A,0,399,2980000,2020-11-25,,0,0.0,22.31738,114.21632
53,Kowloon,Kwun Tong,Kwun Tong,Chiu Kwan Building,Chiu Kwan Building,1965-01-30,M,,,7,C,0,1150,10880000,2020-11-24,,0,0.0,22.315955,114.22705500000001
