,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sham Shui Po,Lai Chi Kok,Aquamarine,Block 3,2003-12-15,M,2,,21,C,665,497,8480000,2021-01-06,2006-05-04,2800000,202.86,22.3322696,114.1484034
1,Kowloon,Sham Shui Po,Lai Chi Kok,Aquamarine,Block 1,2003-12-15,M,2,,22,F,664,496,8640000,2021-01-06,2006-12-22,2982000,189.74,22.332946999999997,114.149155
2,Kowloon,Sham Shui Po,Lai Chi Kok,Banyan Garden,Tower 5,2004-07-29,L,3,,8,B,819,577,10000000,2021-01-06,2002-12-13,2016000,396.03000000000003,22.334101999999998,114.148011
3,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 8,2019-06-25,H,2,,47,C,0,416,13020000,2021-01-05,,0,0.0,22.32742,114.15347
4,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 3B,2017-12-29,M,1,,33,B,0,349,9850000,2021-01-05,2018-01-04,8644000,13.950000000000001,22.326722999999998,114.154274
5,Kowloon,Sham Shui Po,Lai Chi Kok,The Pacifica,Block 5,2005-02-08,L,2,,11,F,631,447,8080000,2021-01-05,2012-09-03,4930000,63.89,22.3344386,114.1498525
6,Kowloon,Sham Shui Po,Lai Chi Kok,The Pacifica,Block 7,2005-06-13,H,2,,55,F,635,445,8280000,2021-01-05,2007-05-02,2500000,231.20000000000002,22.334166999999997,114.149602
7,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,4,,11,A,0,1221,30233880,2021-01-05,,0,0.0,22.327849999999998,114.15311
8,Kowloon,Sham Shui Po,Lai Chi Kok,The Pacifica,Block 7,2005-06-13,L,2,,18,F,635,445,7000000,2021-01-05,2004-07-13,2423000,188.9,22.334166999999997,114.149602
9,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,3,,17,B,0,1047,28040000,2021-01-04,,0,0.0,22.327849999999998,114.15311
10,Kowloon,Sham Shui Po,Lai Chi Kok,Banyan Garden,Block 2,2003-06-09,H,3,,,G,928,685,12320000,2021-01-04,2002-05-10,2947000,318.05,22.3343485,114.1471214
11,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 7,2019-06-25,L,1,,8,C,0,352,8868800,2020-12-31,,0,0.0,22.32742,114.15347
12,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 3B,2017-12-29,M,1,,26,E,0,349,8400000,2020-12-31,2017-12-19,7993400,5.09,22.326722999999998,114.154274
13,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,M,,,30,D,0,393,11006000,2020-12-31,,0,0.0,22.327849999999998,114.15311
14,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,,,10,C,0,279,6893600,2020-12-31,,0,0.0,22.327849999999998,114.15311
15,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,4,,16,A,0,1221,31300000,2020-12-30,,0,0.0,22.327849999999998,114.15311
16,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,M,3,,31,B,0,1047,30223200,2020-12-29,,0,0.0,22.327849999999998,114.15311
17,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,3,,18,B,0,1047,28740800,2020-12-28,,0,0.0,22.327849999999998,114.15311
18,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,H,1,,45,E,0,381,10291000,2020-12-28,,0,0.0,22.327849999999998,114.15311
19,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 3B,2017-12-29,,1,,,B,0,349,9220000,2020-12-28,,0,0.0,22.326722999999998,114.154274
20,Kowloon,Sham Shui Po,Lai Chi Kok,Liberte,Block 2,2003-08-08,H,2,,41,H,658,512,9450000,2020-12-28,2009-03-12,2900000,225.86,22.334153999999998,114.148929
21,Kowloon,Sham Shui Po,Lai Chi Kok,Banyan Garden,Tower 3,2003-06-09,M,2,,33,H,695,506,8600000,2020-12-28,2017-04-12,3000000,186.67000000000002,22.334073,114.147234
22,Kowloon,Sham Shui Po,Lai Chi Kok,Liberte,Block 1,2003-08-08,L,2,,5,E,643,490,7000000,2020-12-28,2002-05-10,1787500,291.61,22.33412,114.148548
23,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,,,11,C,0,279,6976800,2020-12-28,,0,0.0,22.327849999999998,114.15311
24,Kowloon,Sham Shui Po,Lai Chi Kok,The Pacifica,Block 1,2005-02-08,M,3,,36,B,755,554,9850000,2020-12-24,2010-03-25,4180000,135.65,22.335476999999997,114.149492
25,Kowloon,Sham Shui Po,Lai Chi Kok,Aquamarine,Block 6,2003-12-15,L,2,,16,D,679,502,7950000,2020-12-24,2008-12-03,2550000,211.76,22.3327756,114.147733
26,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 8,2019-06-25,L,2,,12,C,0,416,10894800,2020-12-24,,0,0.0,22.32742,114.15347
27,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,3,,16,B,0,1047,27720800,2020-12-24,,0,0.0,22.327849999999998,114.15311
28,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,3,,10,B,0,1047,26862400,2020-12-24,,0,0.0,22.327849999999998,114.15311
29,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,H,3,,45,B,0,1047,31707200,2020-12-24,,0,0.0,22.327849999999998,114.15311
30,Kowloon,Sham Shui Po,Lai Chi Kok,The Pacifica,Block 1,2005-02-08,L,2,,12,F,632,447,7950000,2020-12-24,2005-01-19,2742000,189.93,22.335476999999997,114.149492
31,Kowloon,Sham Shui Po,Lai Chi Kok,Liberte,Block 6,2003-08-08,H,2,,43,F,684,513,9138000,2020-12-23,2003-03-14,1900000,380.95,22.335293999999998,114.149154
32,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,M,,,36,B,0,1047,30656800,2020-12-23,,0,0.0,22.327849999999998,114.15311
33,Kowloon,Sham Shui Po,Lai Chi Kok,Aquamarine,Block 2,2003-12-15,,2,,,C,0,499,8550000,2020-12-23,,0,0.0,22.332618999999998,114.148907
34,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,H,,,55,B,0,1047,33195200,2020-12-23,,0,0.0,22.327849999999998,114.15311
35,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 8,2019-06-25,M,,,32,C,0,416,12629400,2020-12-23,,0,0.0,22.32742,114.15347
36,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,M,,,37,D,0,393,11269600,2020-12-23,,0,0.0,22.327849999999998,114.15311
37,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 7,2019-06-25,L,1,,7,C,0,352,8764000,2020-12-23,,0,0.0,22.32742,114.15347
38,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,,,20,B,0,1047,28608000,2020-12-23,,0,0.0,22.327849999999998,114.15311
39,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,,,8,D,0,393,9496800,2020-12-23,,0,0.0,22.327849999999998,114.15311
40,Kowloon,Sham Shui Po,Lai Chi Kok,One West Kowloon,Tower 2,2013-11-19,,2,,,B,682,521,8380000,2020-12-23,,0,0.0,22.334656,114.146835
41,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,M,3,,35,B,0,1047,30649600,2020-12-23,,0,0.0,22.327849999999998,114.15311
42,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 7,2019-06-25,M,,,28,C,0,352,10391200,2020-12-22,,0,0.0,22.32742,114.15347
43,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,,,19,D,0,393,10291600,2020-12-22,,0,0.0,22.327849999999998,114.15311
44,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 2A,2017-12-29,L,2,,6,C,0,534,11000000,2020-12-22,2020-05-19,12880000,-14.6,22.327109999999998,114.153145
45,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,M,,,23,E,0,381,9476800,2020-12-22,,0,0.0,22.327849999999998,114.15311
46,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,H,,,52,D,0,393,11818400,2020-12-22,,0,0.0,22.327849999999998,114.15311
47,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,L,,,9,E,0,381,9186400,2020-12-22,,0,0.0,22.327849999999998,114.15311
48,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 6,2019-06-25,M,,,23,B,0,1047,29275200,2020-12-22,,0,0.0,22.327849999999998,114.15311
49,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 8,2019-06-25,M,,,28,C,0,416,12499900,2020-12-22,,0,0.0,22.32742,114.15347
50,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 7,2019-06-25,L,,,20,C,0,352,9885600,2020-12-22,,0,0.0,22.32742,114.15347
51,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 3B,2017-12-29,L,1,,10,C,0,363,8150000,2020-12-22,2017-12-15,7571200,7.640000000000001,22.326722999999998,114.154274
52,Kowloon,Sham Shui Po,Lai Chi Kok,Cullinan West,Tower 7,2019-06-25,L,,,12,C,0,352,9196000,2020-12-22,,0,0.0,22.32742,114.15347
