,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,3,E,0,240,5616000,2021-01-06,,0.0,0.0,,
1,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Peninsula East,Block 1,2016-11-28,M,2,,32,B,0,522,8080000,2021-01-05,2015-05-13,5751000.0,40.5,22.29319,114.235214
2,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Sceneway Garden,Block 11,1991-12-20,L,3,2,2,F,912,718,9680000,2021-01-05,2006-04-27,3300000.0,193.33,22.306381,114.233214
3,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,M,,,15,H,0,237,5216600,2021-01-05,,0.0,0.0,,
4,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Sceneway Garden,Block 3,1991-12-20,H,3,2,24,G,785,612,9100000,2021-01-05,1998-11-12,2650000.0,243.4,22.307795,114.2335876
5,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,7,B,0,460,8954100,2021-01-05,,0.0,0.0,,
6,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 10,1994-12-09,L,3,2,9,E,863,687,9650000,2021-01-05,2012-03-26,6000000.0,60.83,22.306138999999998,114.2260431
7,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Maya,Tower 1,2020-05-19,H,3,,36,C,0,716,17880000,2021-01-05,,0.0,0.0,22.29367,114.23632
8,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Sceneway Garden,Block 9,1991-12-20,L,3,2,2,A,783,614,9100000,2021-01-05,2009-03-10,2968000.0,206.6,22.3058321,114.2336574
9,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,3,L,0,433,9000000,2021-01-04,,0.0,0.0,,
10,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,16,B,0,460,9034500,2021-01-04,,0.0,0.0,,
11,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 31,1991-05-10,M,2,2,10,B,664,522,7880000,2020-12-31,1997-07-28,4588000.0,71.75,22.305588,114.22930099999999
12,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,11,C,0,336,6182100,2020-12-31,,0.0,0.0,,
13,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Canaryside,Canaryside,2006-08-30,L,2,2,5,C,554,405,8100000,2020-12-31,2006-03-08,3199760.0,153.14000000000001,22.29259,114.23752999999999
14,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,5,H,0,237,4817900,2020-12-31,,0.0,0.0,,
15,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,8,E,0,266,5834500,2020-12-31,,0.0,0.0,,
16,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 21,1994-12-09,L,2,2,8,B,644,517,7750000,2020-12-31,2015-02-09,5900000.0,31.36,22.3050601,114.226984
17,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,3,F,0,296,6630400,2020-12-31,,0.0,0.0,,
18,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,10,F,0,318,6245000,2020-12-31,,0.0,0.0,,
19,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Sceneway Garden,Block 13,1991-12-20,M,3,2,15,C,785,612,9100000,2020-12-31,2007-12-19,3730000.0,143.97,22.306836999999998,114.2327635
20,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 19,1994-12-09,L,2,,,G,639,517,7428000,2020-12-31,2007-12-04,2420000.0,206.94,22.305571,114.226916
21,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 33,1992-02-17,,2,2,23,F,644,517,7850000,2020-12-31,2011-01-10,3570000.0,119.89,22.3054376,114.2287095
22,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,17,F,0,318,6973700,2020-12-31,,0.0,0.0,,
23,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,3,J,0,329,7468300,2020-12-31,,0.0,0.0,,
24,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 23,1994-12-09,L,3,2,6,A,939,748,9999000,2020-12-31,2010-06-04,5500000.0,81.8,22.304734999999997,114.226545
25,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,21,J,0,271,5917200,2020-12-30,,0.0,0.0,,
26,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,3,H,0,237,5498400,2020-12-30,,0.0,0.0,,
27,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Yau Chui Court,Block B (Yuk Mei House),2002-12-13,H,3,,32,4,847,639,7800000,2020-12-30,,0.0,0.0,22.300895,114.237704
28,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 4,1990-12-21,M,3,2,17,A,932,748,10000000,2020-12-30,2012-03-06,5520000.0,81.16,22.307261,114.2274879
29,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,3,K,0,328,7388000,2020-12-30,,0.0,0.0,,
30,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,5,B,0,460,8261400,2020-12-30,,0.0,0.0,,
31,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,3,D,0,275,6160000,2020-12-30,,0.0,0.0,,
32,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,3,G,0,428,9416000,2020-12-30,,0.0,0.0,,
33,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,H,,,26,K,0,350,8007800,2020-12-29,,0.0,0.0,,
34,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,8,H,0,237,5013000,2020-12-29,,0.0,0.0,,
35,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,12,F,0,318,6370500,2020-12-29,,0.0,0.0,,
36,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,7,H,0,237,4914700,2020-12-29,,0.0,0.0,,
37,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,3,A,0,486,10594800,2020-12-29,,0.0,0.0,,
38,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Sceneway Garden,Block 10,1991-12-20,L,3,2,3,G,912,718,9800000,2020-12-29,2007-01-15,3250000.0,201.54,22.306089,114.2334355
39,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,3,G,0,463,10000000,2020-12-29,,0.0,0.0,,
40,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,M,,,12,E,0,537,9817300,2020-12-29,,0.0,0.0,,
41,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,18,G,0,502,9615700,2020-12-29,,0.0,0.0,,
42,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,19,B,0,460,9889000,2020-12-29,,0.0,0.0,,
43,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,21,B,0,460,9731700,2020-12-29,,0.0,0.0,,
44,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,16,F,0,318,6904700,2020-12-29,,0.0,0.0,,
45,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,18,J,0,271,5515100,2020-12-29,,0.0,0.0,,
46,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 14,1990-12-21,H,3,2,,D,857,687,9990000,2020-12-29,2009-09-23,4328000.0,130.82,22.306517499999998,114.2276845
47,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,L,,,10,B,0,460,9224500,2020-12-29,,0.0,0.0,,
48,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,16,E,0,266,6132100,2020-12-29,,0.0,0.0,,
49,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,H,,,28,K,0,350,7764400,2020-12-29,,0.0,0.0,,
50,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 25,1991-05-10,M,2,2,15,C,639,517,7500000,2020-12-29,2017-01-19,5830000.0,28.64,22.306776,114.228976
51,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,H,,,23,G,0,502,9979700,2020-12-29,,0.0,0.0,,
52,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,H,,,28,H,0,237,6113200,2020-12-28,,0.0,0.0,,
53,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Sceneway Garden,Block 3,1991-12-20,M,3,2,16,F,785,612,10100000,2020-12-28,2009-09-21,4250000.0,137.65,22.307795,114.2335876
54,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 3,,M,,,20,J,0,271,5848700,2020-12-28,,0.0,0.0,,
55,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Montego Bay,Tower 5,,L,,,11,D,0,498,10311400,2020-12-28,,0.0,0.0,,
56,Kowloon,Kwun Tong,Lam Tin / Yau Tong,Laguna City,Block 38,1992-02-17,,3,2,25,D,858,687,9000000,2020-12-28,2014-11-06,7000000.0,28.57,22.304333,114.2276231
