,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2,,M,3,,45,B,0,735,13474000,2021-01-06,,0,0.0,22.293101999999998,114.26747
1,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3,,M,3,,29,C,0,763,13035000,2021-01-06,,0,0.0,22.293509,114.26733
2,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,The Beaumount,Block 3,2013-09-13,H,2,,31,B,657,498,7350000,2021-01-06,2012-08-03,3736000,96.73,22.2978215,114.2750518
3,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 6 R,2011-03-23,L,3,,21,B,1067,813,9850000,2021-01-06,2016-09-06,6920000,42.34,22.295133,114.271645
4,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 9 L,2012-12-21,H,3,,61,B,966,733,9028000,2021-01-06,2011-11-22,5419000,66.6,22.295154,114.27301299999999
5,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 (1B),2017-10-03,M,2,,32,D,0,473,8200000,2021-01-05,2017-10-27,6992100,17.28,22.292776,114.27149
6,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3,,L,3,,9,D,0,786,11924000,2021-01-05,,0,0.0,22.293509,114.26733
7,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 5 L,2010-01-29,H,3,,62,C,961,730,9700000,2021-01-05,2009-08-19,4119000,135.49,22.294342,114.27186
8,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3,,L,3,,11,D,0,786,12300000,2021-01-05,,0,0.0,22.293509,114.26733
9,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 L (Banff),2008-12-09,M,3,,31,D,950,708,8850000,2021-01-05,2012-10-19,5250000,68.57000000000001,22.296174999999998,114.270954
10,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 (1A),2017-10-03,H,4,,48,A,0,0,21730800,2021-01-04,,0,0.0,22.292621999999998,114.27189
11,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2 R (Madrid),2008-12-09,L,3,,15,A,962,716,9180000,2021-01-04,2013-03-08,5800000,58.28,22.296704,114.271225
12,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 (1A),2017-10-03,L,3,,6,C,0,679,10000000,2021-01-04,2017-10-24,9610100,4.0600000000000005,22.292621999999998,114.27189
13,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 (1B),2017-10-03,M,3,,35,B,0,622,10350000,2021-01-04,2017-10-26,9678900,6.93,22.292776,114.27149
14,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 6 L,2011-03-23,L,4,,,D,1313,977,11800000,2020-12-31,,0,0.0,22.294936999999997,114.271643
15,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 5 R (Topaz),2014-12-23,M,3,,25,D,0,758,10000000,2020-12-31,2015-05-12,6701000,49.230000000000004,22.297307999999997,114.27047
16,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,The Beaumount,Block 6,2013-09-13,L,2,,8,B,658,499,7250000,2020-12-31,2012-08-30,3930000,84.48,22.2975455,114.2756211
17,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,The Beaumount,Block 6,2013-09-13,L,2,,16,E,659,503,7200000,2020-12-31,2012-09-06,3828000,88.09,22.2975455,114.2756211
18,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3,,L,3,,21,D,0,786,12303000,2020-12-31,,0,0.0,22.293509,114.26733
19,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2 (2B),2017-10-03,L,1,,5,F,0,340,6180000,2020-12-31,2017-10-26,4930800,25.330000000000002,22.292835,114.27168
20,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1A,2019-10-16,H,2,,62,C,0,453,8600000,2020-12-31,2018-06-14,8412000,2.23,22.29611,114.26787
21,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2 (2B),2017-10-03,L,1,,,F,0,340,6300000,2020-12-30,,0,0.0,22.292835,114.27168
22,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,The Beaumount,Block 1,2013-09-13,H,2,,42,F,658,498,7220000,2020-12-29,2012-08-03,4057000,77.96000000000001,22.2979034,114.2743753
23,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 (1A),2017-10-03,H,1,,41,F,0,340,6630000,2020-12-29,2017-11-03,6057000,9.46,22.292621999999998,114.27189
24,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,The Beaumount,Block 5,2013-09-13,L,2,,11,G,658,498,7270000,2020-12-29,2012-08-01,3622000,100.72,22.2978023,114.2753629
25,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 (1A),2017-10-03,M,2,,27,D,0,464,8150000,2020-12-29,2017-10-25,7026900,15.98,22.292621999999998,114.27189
26,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3B,2019-10-16,M,1,,38,E,0,368,7471000,2020-12-28,,0,0.0,22.296507,114.268875
27,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,The Beaumount,Block 7,2013-09-13,L,3,,3,A,921,699,8525000,2020-12-28,2012-08-13,5003000,70.4,22.2972571,114.275505
28,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2 L (Emerald),2014-12-23,M,3,,39,A,0,803,11380000,2020-12-24,2015-04-27,7605000,49.64,22.296895,114.269896
29,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3,,L,3,,23,D,0,786,12377000,2020-12-24,,0,0.0,22.293509,114.26733
30,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 L (Diamond),2014-12-23,M,4,,31,B,0,1146,15500000,2020-12-24,2015-05-04,10649000,45.550000000000004,22.296667,114.26958
31,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 7 L,2011-03-23,M,3,,39,A,909,680,8650000,2020-12-24,2012-06-26,5100000,69.61,22.295319,114.271678
32,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1B,,H,2,,55,B,0,549,9814000,2020-12-24,2020-07-15,9578000,2.46,22.292279999999998,114.27074999999999
33,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1B,,H,,,67,C,0,794,14687000,2020-12-23,,0,0.0,22.292279999999998,114.27074999999999
34,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 10 R,2012-12-21,H,3,,66,C,984,749,9300000,2020-12-23,2011-12-07,6142000,51.42,22.294969,114.273007
35,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2 (2A),2017-10-03,M,3,,35,A,0,701,11200000,2020-12-22,2017-11-01,10895300,2.8000000000000003,22.292816,114.27149
36,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2 L,2010-01-29,M,4,,39,D,952,714,9200000,2020-12-22,2010-08-17,4300000,113.95,22.293834,114.272406
37,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3 L,2010-01-29,H,3,,66,B,907,686,9500000,2020-12-22,2017-10-19,8280000,14.73,22.294052999999998,114.27213499999999
38,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 3,,L,,,16,D,0,786,12409000,2020-12-22,,0,0.0,22.293509,114.26733
39,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 2 L (Emerald),2014-12-23,M,3,,41,A,0,803,11280000,2020-12-22,2015-04-30,7724000,46.04,22.296895,114.269896
40,Kowloon,Sai Kung (Tseung Kwan O),Lohas Park,Lohas Park,Tower 1 (1A),2017-10-03,H,1,,46,F,0,340,6680000,2020-12-22,2017-10-24,5448000,22.61,22.292621999999998,114.27189
