,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.1 Mount Sterling Mall,1976-09-29,L,2,,6,C,840,624,7500000,2021-01-06,2014-05-02,5900000,27.12,22.337563,114.139437
1,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,21 Nassau Street,1974-07-04,H,2,,17,C,760,561,8398000,2021-01-06,2017-01-04,6680000,25.72,22.338997,114.140108
2,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.3 Nassau Street,1973-06-23,L,3,,5,A,940,705,8500000,2021-01-06,2013-06-19,7250000,17.240000000000002,22.339384,114.138863
3,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.10 Nassau Street,1973-01-23,M,2,,9,C,680,507,7380000,2021-01-05,2008-06-06,3050000,141.97,22.338531,114.138707
4,Kowloon,Sham Shui Po,Mei Foo,Manhattan Hill,Block 3,2006-12-12,H,2,2,56,C,758,558,11730000,2020-12-31,2010-03-31,5370000,118.44,22.334630999999998,114.1423586
5,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.9 Mount Sterling Mall,1976-09-29,M,3,,11,A,1050,747,11180000,2020-12-31,1998-09-03,3050000,266.56,22.337805,114.13887
6,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,Nassau Street 10,1973-01-23,,2,,,B,676,507,7500000,2020-12-31,,0,0.0,22.338531,114.138707
7,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,8 Humbert Street,1974-10-12,L,2,,4,D,740,553,6980000,2020-12-31,,0,0.0,22.339169,114.139696
8,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.7 Humbert Street,1973-05-09,L,3,,6,C,960,715,8900000,2020-12-30,2014-08-11,6900000,28.990000000000002,22.339691,114.139025
9,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,Broadway 017,1968-12-24,,1,,,C,0,446,5800000,2020-12-30,2010-01-06,2368000,144.93,22.337200000000003,114.138104
10,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,Nassau Street 04,1973-03-22,H,3,,,A,874,656,8780000,2020-12-30,,0,0.0,22.338832,114.138618
11,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,Humbert Street 002,1974-09-05,L,3,,,B,954,716,9508000,2020-12-30,,0,0.0,22.33896,114.13947999999999
12,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.5 Glee Path,1972-05-19,M,2,,12,B,860,638,8100000,2020-12-28,2012-02-02,4560000,77.63,22.336828999999998,114.139238
13,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.15 Humbert Street,1974-09-03,M,3,,13,D,700,518,7650000,2020-12-23,2012-09-19,4320000,77.08,22.339119999999998,114.139818
14,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,23 Nassau Street,1974-07-04,H,3,,15,B,960,705,9450000,2020-12-23,2016-05-10,7230000,30.71,22.338941,114.140257
15,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.42 Nassau Street,1976-07-05,M,3,,10,A,940,700,9400000,2020-12-22,2006-10-04,2780000,238.13,22.338138999999998,114.140563
16,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,6 Humbert Street,1974-10-12,L,3,,8,C,900,666,9480000,2020-12-21,2012-03-16,4900000,93.47,22.339247,114.13953599999999
17,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.18 Nassau Street,1972-11-06,L,3,,4,D,960,702,9570000,2020-12-21,2014-07-14,7050000,35.74,22.33841,114.139064
18,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.21 Broadway,1968-12-24,L,2,,4,C,860,639,7080000,2020-12-21,2010-10-25,3820000,85.34,22.337083,114.138331
19,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.7 Humbert Street,1973-05-09,H,3,,18,B,960,715,9750000,2020-12-21,,0,0.0,22.339691,114.139025
20,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.48 Broadway,1972-01-25,M,4,,12,A,1300,968,15700000,2020-12-21,2010-10-07,7300000,115.07000000000001,22.335632,114.139349
21,Kowloon,Sham Shui Po,Mei Foo,Manhattan Hill,Block 3,2006-12-12,L,2,2,,C,758,558,9880000,2020-12-18,2007-05-09,3211000,207.69,22.334630999999998,114.1423586
22,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,Glee Path 08,1973-02-28,,2,,,C,676,509,7330000,2020-12-18,2007-12-12,2180000,236.24,22.336081999999998,114.139748
23,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,8 Glee Path,1973-02-28,H,2,,19,B,680,509,7580000,2020-12-18,2014-07-14,5100000,48.63,22.336081999999998,114.139748
24,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.62 Broadway,1972-05-17,H,4,,15,B,1800,1370,23720000,2020-12-17,2009-02-27,670000,3440.3,22.335075999999997,114.139791
25,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.24 Broadway,1969-06-23,M,3,,13,B,1800,1389,22700000,2020-12-16,,0,0.0,22.335760999999998,114.138012
26,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.14 Nassau Street,1972-11-06,H,3,,20,D,900,666,8300000,2020-12-16,2008-02-29,3240000,156.17000000000002,22.338679,114.1391
27,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,Humbert Street 17,1974-09-03,H,2,,,B,953,532,9750000,2020-12-15,2012-05-29,4840000,101.45,22.339043,114.13998
28,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.105 Broadway,1974-07-12,M,2,,12,A,680,496,7100000,2020-12-15,2014-08-01,5280000,34.47,22.335841,114.142145
29,Kowloon,Sham Shui Po,Mei Foo,Mei Foo Sun Chuen,No.27 Broadway,1969-04-03,H,2,,19,C,820,602,8550000,2020-12-14,2014-12-10,6680000,27.990000000000002,22.336667,114.138574
