,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Yau Tsim Mong,Mongkok,Bijou Apartments,Bijou Apartments,2003-07-24,M,1,1,19,E,606,415,7300000,2021-01-06,2010-04-14,3500000.0,108.57000000000001,22.323915,114.16877
1,Kowloon,Yau Tsim Mong,Mongkok,Skypark,Skypark,2016-10-14,L,1,,7,A2,0,397,7280000,2021-01-06,2016-08-19,6198000.0,17.46,22.318966,114.17151
2,Kowloon,Yau Tsim Mong,Mongkok,Lai Tong Building,Block B,1973-10-23,M,,,7,9,0,228,3200000,2021-01-05,2013-02-08,1950000.0,64.1,22.323973,114.16550000000001
3,Kowloon,Yau Tsim Mong,Mongkok,Cite 33,Cite 33,2008-10-02,H,2,,28,B,670,468,8980000,2021-01-04,2017-05-22,7500000.0,19.73,22.322661999999998,114.167826
4,Kowloon,Yau Tsim Mong,Mongkok,Kenwood Mansion,Kenwood Mansion,1965-05-06,H,,,11,G,0,480,5500000,2020-12-31,,0.0,0.0,22.32556,114.16958
5,Kowloon,Yau Tsim Mong,Mongkok,Skypark,Skypark,2016-10-14,M,0,,16,C7,0,315,5880000,2020-12-31,2015-08-18,5860000.0,0.34,22.318966,114.17151
6,Kowloon,Yau Tsim Mong,Mongkok,115-117 Tai Nan Street,115-117 Tai Nan Street,1977-01-29,,,,1,A,0,390,3190000,2020-12-31,2012-12-11,2150000.0,48.370000000000005,,
7,Kowloon,Yau Tsim Mong,Mongkok,Hang Lung Mansion,Hang Lung Mansion,1963-03-07,,,,12,578,0,762,6880000,2020-12-31,2010-01-04,3250000.0,111.69,22.315234999999998,114.17048
8,Kowloon,Yau Tsim Mong,Mongkok,Garden Heights,Garden Heights,2001-11-07,M,2,,8,B,485,321,5310000,2020-12-30,2014-10-24,4080000.0,30.150000000000002,22.326185,114.16956
9,Kowloon,Yau Tsim Mong,Mongkok,Shun Fung Building,Shun Fung Building,1992-11-19,H,2,,18,B,333,230,3700000,2020-12-30,2004-10-08,750000.0,393.33,22.313744999999997,114.167694
10,Kowloon,Yau Tsim Mong,Mongkok,Flourish Mansion,Flourish Mansion,2003-11-13,H,3,,41,C,844,584,9380000,2020-12-30,2011-02-10,4200000.0,123.33,22.319992,114.16655
11,Kowloon,Yau Tsim Mong,Mongkok,King Hing Building,King Hing Building,1966-09-23,L,,,4,B,0,515,6000000,2020-12-29,2012-05-23,4400000.0,36.36,22.319397,114.171
12,Kowloon,Yau Tsim Mong,Mongkok,Wing Mui Building,Wing Mui Building,1962-12-22,L,,,2,147,0,746,6000000,2020-12-28,,0.0,0.0,,
13,Kowloon,Yau Tsim Mong,Mongkok,Fa Yuen Plaza,Fa Yuen Plaza,2003-02-14,M,2,,15,D,536,322,5750000,2020-12-28,2016-07-11,4300000.0,33.72,22.317265,114.17142
14,Kowloon,Yau Tsim Mong,Mongkok,Skypark,Skypark,2016-10-14,,,,,C6,0,309,5760000,2020-12-24,,0.0,0.0,22.318966,114.17151
