,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Yau Tsim Mong,Olympic,Central Park,Block 5,2001-12-19,L,3,,8,A,907,673,13000000,2021-01-06,2015-06-09,11980000,8.51,22.317542,114.162829
1,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 8,2000-05-04,H,,,42,A,0,716,15000000,2021-01-06,1999-02-13,5070000,195.86,22.3180545,114.157628
2,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 9,2004-09-09,H,2,,47,E,742,561,12500000,2021-01-06,2016-05-24,8553000,46.15,22.320328999999997,114.156076
3,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 5,2004-09-09,H,2,,39,D,753,567,10550000,2021-01-06,2009-08-19,5028000,109.82000000000001,22.3192915,114.1560435
4,Kowloon,Yau Tsim Mong,Olympic,The Hermitage,Block 1,2010-09-07,M,5,,37,B,1552,1174,32000000,2021-01-06,2010-07-22,19179000,66.85,22.317783,114.16525
5,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 6,2004-09-09,L,2,,,E,728,547,9750000,2021-01-04,2007-11-21,4548000,114.38,22.3194581,114.1562535
6,Kowloon,Yau Tsim Mong,Olympic,Charming Garden,Block 6,1998-05-07,L,3,2,4,G,694,592,9400000,2021-01-04,1998-04-15,2394600,292.55,22.314788999999998,114.163092
7,Kowloon,Yau Tsim Mong,Olympic,The Hermitage,Block 1,2010-09-07,H,5,,63,B,1552,1174,36000000,2021-01-04,2010-07-26,21785000,65.25,22.317783,114.16525
8,Kowloon,Yau Tsim Mong,Olympic,One Silversea,Block 8,2006-06-22,L,3,2,19,C,898,665,14800000,2021-01-04,2005-10-31,6807000,117.42,22.317656,114.156428
9,Kowloon,Yau Tsim Mong,Olympic,The Hermitage,Block 1,2010-09-07,H,5,,63,A,1882,1424,46000000,2021-01-04,2010-07-23,28075000,63.85,22.317783,114.16525
10,Kowloon,Yau Tsim Mong,Olympic,Harbour Green,Block 3,2006-09-28,M,2,,31,A,625,482,9780000,2021-01-04,2010-01-25,4290000,127.97,22.3218649,114.159383
11,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 5,2004-09-09,,2,,,D,752,564,9950000,2020-12-31,2007-11-21,4898000,103.14,22.3192915,114.1560435
12,Kowloon,Yau Tsim Mong,Olympic,Harbour Green,Block 1,2006-09-28,H,3,,37,B,1107,846,19188000,2020-12-31,2017-01-09,16068000,19.42,22.3214268,114.1590476
13,Kowloon,Yau Tsim Mong,Olympic,Park Avenue,Block 8,2001-02-21,M,2,,31,H,618,449,9600000,2020-12-29,2010-07-23,4900000,95.92,22.3161037,114.1634102
14,Kowloon,Yau Tsim Mong,Olympic,Harbour Green,Block 6,2006-09-28,H,2,,41,H,625,482,9900000,2020-12-29,2007-05-14,3230000,206.5,22.3226921,114.1593096
15,Kowloon,Yau Tsim Mong,Olympic,Hampton Place,Block 1,2003-09-02,H,2,2,42,E,628,462,8450000,2020-12-29,2017-03-02,7400000,14.19,22.3210245,114.155113
16,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 10,2000-05-04,M,2,,27,F,609,457,9780000,2020-12-28,2012-04-02,5650000,73.10000000000001,22.318046,114.15833
17,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 2,2004-09-09,H,2,,42,B,739,559,11150000,2020-12-28,2017-01-05,8111000,37.47,22.319232,114.155559
18,Kowloon,Yau Tsim Mong,Olympic,Imperial Cullinan,Block 6B (Imperial Seaside),2011-12-28,L,2,,,B,857,669,15680000,2020-12-28,2011-08-30,13435400,16.71,22.3184,114.1561105
19,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 7,2000-05-04,H,,,39,D,946,727,17280000,2020-12-24,2007-09-25,6200000,178.71,22.31807,114.157256
20,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 3,2004-09-09,H,2,,46,A,739,548,12600000,2020-12-24,2016-08-16,8080000,55.94,22.319128,114.155912
21,Kowloon,Yau Tsim Mong,Olympic,Central Park,Block 5,2001-12-19,L,3,,9,A,907,673,13500000,2020-12-24,2009-11-23,5920000,128.04,22.317542,114.162829
22,Kowloon,Yau Tsim Mong,Olympic,Harbour Green,Block 6,2006-09-28,H,2,,52,H,625,482,10000000,2020-12-24,2007-09-05,3542000,182.33,22.3226921,114.1593096
23,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 7,2000-05-04,L,3,,6,F,1215,904,16500000,2020-12-24,2012-05-07,10680000,54.49,22.31807,114.157256
24,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 5,2004-09-09,M,2,,26,D,752,564,10200000,2020-12-24,2010-08-11,5300000,92.45,22.3192915,114.1560435
25,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 09,2000-05-04,,3,,,B,1052,786,17300000,2020-12-23,2000-07-11,5072000,241.09,22.3180376,114.1579789
26,Kowloon,Yau Tsim Mong,Olympic,Charming Garden,Block 15,1998-05-07,L,2,2,7,J,568,484,5643200,2020-12-23,1998-04-01,1862100,203.06,22.314382,114.165137
27,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 5,2000-02-03,H,,,36,D,932,709,13900000,2020-12-23,2007-11-16,4980000,179.12,22.3188454,114.1572776
28,Kowloon,Yau Tsim Mong,Olympic,Hampton Place,Block 1,2003-09-02,L,2,2,23,D,625,464,8800000,2020-12-23,2011-06-10,5750000,53.04,22.3210245,114.155113
29,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 1,2000-02-03,M,3,,16,F,816,610,12980000,2020-12-23,2017-02-17,10500000,23.62,22.3199905,114.157178
30,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 7,2004-09-09,H,2,,48,C,753,567,10780000,2020-12-22,2015-09-08,9447000,14.11,22.3197884,114.1561465
31,Kowloon,Yau Tsim Mong,Olympic,The Long Beach,Block 9,2004-09-09,L,2,,19,D,752,564,10800000,2020-12-22,2016-05-26,7614000,41.84,22.320328999999997,114.156076
32,Kowloon,Yau Tsim Mong,Olympic,Island Harbourview,Block 03,2000-02-03,M,2,,,F,609,457,9400000,2020-12-22,1998-12-19,2849000,229.94,22.3192695,114.15726599999999
33,Kowloon,Yau Tsim Mong,Olympic,Florient Rise,Tower 1,2008-10-09,L,3,,20,B,1110,818,17500000,2020-12-22,2011-11-09,13720000,27.55,22.3183121,114.1614296
