,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,The Grandiose,Block 3,2006-01-17,M,3,,28,J,823,619,9900000,2021-01-06,2014-05-29,6000000.0,65.0,22.308260999999998,114.261552
1,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Metro City,Block 6,1999-12-03,M,2,,14,G,516,363,6580000,2021-01-06,2010-01-13,2170000.0,203.23000000000002,22.3231341,114.2586785
2,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Park Central,Tower 10,2003-01-22,L,2,,7,E,527,384,6850000,2021-01-06,2012-06-18,3580000.0,91.34,22.307561,114.257181
3,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Park Central,Tower 9,2002-08-14,M,2,,25,B,581,437,7300000,2021-01-06,2009-06-11,2238000.0,226.18,22.307457,114.256918
4,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Metro City,Block 2,1996-12-23,L,3,2,3,H,732,526,7960000,2021-01-06,2005-02-02,2020000.0,294.06,22.3215866,114.2578646
5,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Ocean Wings,Block 3,2017-10-03,H,1,,17,B,0,948,20680000,2021-01-06,2016-04-29,14563600.0,42.0,22.303203999999997,114.26082
6,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,The Wings,Block 1B,2016-08-10,M,3,,22,D,0,879,12400000,2021-01-06,2017-06-13,12000000.0,3.33,22.304467,114.259408
7,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Well On Garden,Block 1,1994-06-10,M,3,2,28,G,673,502,6800000,2021-01-05,2007-08-06,1768000.0,284.62,22.3241965,114.2541282
8,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Metro City,Block 11,1999-12-03,M,2,,24,C,516,363,6580000,2021-01-05,1998-12-05,2101980.0,213.04,22.322522,114.2584945
9,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,Oscar By The Sea,Block 7,2001-03-30,M,2,,29,E,698,521,7300000,2021-01-05,2010-08-04,2850000.0,156.14000000000001,22.3066889,114.2667795
10,Kowloon,Sai Kung (Tseung Kwan O),Po Lam / Tseung Kwan O Station,King Lam Estate,Block 2 (King Lui House),1990-08-01,H,,,14,9,0,349,4038000,2021-01-05,,0.0,0.0,22.320335,114.26175
