,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Man Lee Building,Man Lee Building,1991-05-14,M,,,6,A,0,182,3220000,2021-01-06,1997-06-23,1165000,176.39000000000001,22.323755,114.16128499999999
1,Kowloon,Yau Tsim Mong,Tai Kok Tsui,AquilaSquare Mile,Tower 1,,M,,,16,M,0,197,5014900,2021-01-05,,0,0.0,,
2,Kowloon,Yau Tsim Mong,Tai Kok Tsui,AquilaSquare Mile,Tower 1,,L,,,9,H,0,198,5012370,2021-01-05,,0,0.0,,
3,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Park Ivy,Park Ivy,2014-07-24,L,1,,5,A,441,322,5700000,2021-01-05,2014-08-04,4457200,27.88,22.3212893,114.163934
4,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Peony House,Peony House West Block,1961-07-25,M,,,6,621,0,250,2980000,2021-01-04,2017-02-10,2105000,41.57,22.319300000000002,114.16136
5,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Bedford 28,Bedford 28,2008-01-02,L,,,9,B,556,421,6728000,2021-01-04,2009-04-30,2380000,182.69,22.322453,114.16487
6,Kowloon,Yau Tsim Mong,Tai Kok Tsui,AquilaSquare Mile,Tower 1,,M,,,17,A,0,256,6193660,2021-01-04,,0,0.0,,
7,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 08,2003-08-06,H,2,,,F,617,440,7400000,2021-01-03,,0,0.0,22.3243306,114.1610076
8,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 8,2003-08-06,H,2,,48,E,515,372,5100000,2020-12-31,2011-01-11,3218000,58.480000000000004,22.3243306,114.1610076
9,Kowloon,Yau Tsim Mong,Tai Kok Tsui,2C Boundary Street,2C Boundary Street,1955-02-15,M,,,3,,0,1020,9845560,2020-12-31,,0,0.0,,
10,Kowloon,Yau Tsim Mong,Tai Kok Tsui,50 Fuk Tsun Street,50 Fuk Tsun Street,1964-04-22,,,,1,,0,702,7000000,2020-12-31,,0,0.0,,
11,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Lime Stardom,Lime Stardom,2011-08-29,,,,,C,1283,392,20800000,2020-12-30,2010-08-02,3473800,498.77000000000004,22.321163,114.165215
12,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 3,2002-12-07,L,2,,10,A,477,320,6400000,2020-12-30,2002-01-07,1362240,369.81,22.3246931,114.1600336
13,Kowloon,Yau Tsim Mong,Tai Kok Tsui,AquilaSquare Mile,Tower 2,,M,,,16,C,0,247,6224490,2020-12-30,,0,0.0,,
14,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Sablier,Sablier,,L,,,3,D,0,300,6265000,2020-12-29,,0,0.0,,
15,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 8,2003-08-06,H,2,,48,B,611,436,7880000,2020-12-29,2012-03-28,4480000,75.89,22.3243306,114.1610076
16,Kowloon,Yau Tsim Mong,Tai Kok Tsui,EltaninSquare Mile,Block 1,2017-05-25,M,1,,,K,0,265,5850000,2020-12-29,,0,0.0,22.320729999999998,114.16092
17,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 02,2002-12-07,H,3,,,C,0,607,10950000,2020-12-29,,0,0.0,22.3246605,114.1596665
18,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 8,2003-08-06,M,2,,33,E,515,371,6700000,2020-12-29,2011-12-21,3570000,87.68,22.3243306,114.1610076
19,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 2,2002-12-07,L,2,,10,A,477,320,6280000,2020-12-28,2014-06-30,4000000,57.0,22.3246605,114.1596665
20,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 10,2003-08-06,H,2,,41,D,515,372,7000000,2020-12-24,2011-02-15,3450000,102.9,22.32436,114.161636
21,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Winfair Mansion,Winfair Mansion,1994-01-06,M,2,,9,A,425,263,4480000,2020-12-24,2017-12-08,3728000,20.17,22.325466,114.16523
22,Kowloon,Yau Tsim Mong,Tai Kok Tsui,AquilaSquare Mile,Tower 2,,M,,,18,E,0,257,6490470,2020-12-24,,0,0.0,,
23,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 09,2003-08-06,M,2,,,D,515,371,6930000,2020-12-24,2009-11-09,2560000,170.70000000000002,22.3243385,114.1613066
24,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Metro Harbour View,Block 5,2003-08-06,H,2,,39,F,617,440,8080000,2020-12-24,2011-12-02,3900000,107.18,22.3247194,114.16073
25,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Mink Tack Court,Mink Tack Court,1992-07-02,L,,,2,A,0,293,4200000,2020-12-23,,0,0.0,,
26,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Chung Kin Building,Chung Kin Building,1966-02-21,L,,,5,10,0,405,3800000,2020-12-23,,0,0.0,22.322855,114.160515
27,Kowloon,Yau Tsim Mong,Tai Kok Tsui,Aquila．Square Mile,Tower 1,,M,,,15,F,0,259,6481530,2020-12-22,,0,0.0,,
