,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Block 08,2001-12-05,L,3,,,C,0,645,9800000,2021-01-07,2002-03-28,2515000,289.66,22.3020121,114.253915
1,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 1,2006-06-01,H,3,,52,F,940,679,11300000,2021-01-06,2017-02-15,9300000,21.51,22.3048464,114.252752
2,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Block 06,2000-12-20,M,2,,,G,702,510,8880000,2021-01-06,2009-07-17,3330000,166.67000000000002,22.3014186,114.254353
3,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Choi Ming Court,Block E (Choi To Court),2001-04-25,L,2,2,11,3,659,506,4600000,2021-01-06,,0,0.0,22.308464999999998,114.254666
4,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 6,2007-10-25,H,3,,48,D,854,633,9650000,2021-01-06,2010-09-03,4300000,124.42,22.3042995,114.2514194
5,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 15,2003-05-29,H,3,,47,A,815,603,10000000,2021-01-05,2012-12-12,6380000,56.74,22.3032151,114.2522376
6,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Choi Ming Court,Choi Lau Court ( Block B ),2001-04-25,M,3,,,6,846,650,6750000,2021-01-05,,0,0.0,22.308464999999998,114.254666
7,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 6,2007-10-25,H,2,,57,G,674,503,8230000,2021-01-05,2017-01-27,3150000,161.27,22.3042995,114.2514194
8,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Hong Sing Garden,Block 5,1989-01-13,M,2,,18,F,550,495,5238000,2021-01-04,2012-06-19,2120000,147.08,22.3198924,114.253811
9,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Block 15,2003-05-29,H,2,,,H,691,516,8250000,2021-01-04,2004-04-16,2537000,225.19,22.3032151,114.2522376
10,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 7,2001-12-05,M,2,,22,D,683,498,8200000,2021-01-04,2001-04-07,2332000,251.63,22.301769999999998,114.2541485
11,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 17,2003-07-02,M,2,,23,A,693,516,7200000,2021-01-04,2010-02-10,3500000,105.71000000000001,22.303762,114.25286
12,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 8,2001-12-05,M,2,,20,D,695,498,8400000,2020-12-31,2011-01-20,3850000,118.18,22.3020121,114.253915
13,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 2,2006-06-01,M,3,,49,C,843,629,9600000,2020-12-31,2016-09-01,7380000,30.080000000000002,22.304589999999997,114.252462
14,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Block 06,2000-12-20,L,2,,,A,690,515,8000000,2020-12-31,2007-10-29,2502000,219.74,22.3014186,114.254353
15,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 16,2003-07-02,M,2,,27,B,689,510,8500000,2020-12-31,2016-03-29,5550000,53.15,22.303449999999998,114.2525376
16,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 7,2007-10-25,L,2,,,C,627,464,8230000,2020-12-31,2008-10-27,3210000,156.39000000000001,22.3045755,114.2511469
17,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 8,2007-10-25,H,3,,53,A,881,651,8300000,2020-12-30,2016-05-13,7300000,13.700000000000001,22.3048746,114.251625
18,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 9,2007-10-25,H,3,,,G,974,731,11780000,2020-12-29,2011-01-05,5980000,96.99000000000001,22.305135999999997,114.251906
19,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 10,2001-12-05,M,2,,36,G,678,484,6475000,2020-12-29,2001-07-21,2299000,181.64000000000001,22.3022616,114.253251
20,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Block 10,2001-12-05,M,2,,,G,678,484,8350000,2020-12-28,2001-08-21,2275000,267.03000000000003,22.3022616,114.253251
21,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Block 12,2003-05-29,M,2,,,B,674,499,8550000,2020-12-28,,0,0.0,22.3027029,114.2526956
22,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 2,2006-06-01,M,2,,35,G,638,476,8480000,2020-12-28,2016-12-01,6650000,27.52,22.304589999999997,114.252462
23,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Block 05,2000-12-20,L,3,,,F,902,664,9980000,2020-12-28,,0,0.0,22.3010746,114.2543544
24,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 3,2006-06-01,M,2,,43,G,638,476,8368000,2020-12-24,2016-06-30,5880000,42.31,22.3043325,114.252182
25,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 15,2003-05-29,M,1,,30,B,555,405,7560000,2020-12-24,2016-11-01,5570000,35.730000000000004,22.3032151,114.2522376
26,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 7,2001-12-05,L,2,,8,E,695,498,8300000,2020-12-24,2010-08-06,3880000,113.92,22.301769999999998,114.2541485
27,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 1,2001-01-22,L,3,,7,E,1049,798,12600000,2020-12-24,2003-07-15,900000,1300.0,22.300713,114.255078
28,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 8,2007-10-25,,4,,,C,1196,893,12800000,2020-12-23,2008-05-07,5780000,121.45,22.3048746,114.251625
29,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Choi Ming Court,Block D (Choi Pak Court),2001-04-25,M,2,2,19,7,659,506,5450000,2020-12-22,2013-05-31,2768000,96.89,22.3078556,114.2544456
30,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 5,2000-12-20,H,2,,42,D,693,515,8550000,2020-12-21,2000-05-25,2989800,185.97,22.3010746,114.2543544
31,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 9,2001-12-05,L,3,,12,F,884,645,10520000,2020-12-18,2014-12-24,8080000,30.2,22.302146999999998,114.2535715
32,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Tsui Lam Estate,Yan Lam House (Block 4),1989-01-01,H,,,32,13,0,490,3200000,2020-12-17,,0,0.0,22.323487999999998,114.24818
33,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 2,2001-01-22,M,2,,35,B,690,512,8280000,2020-12-16,2000-04-11,2669700,210.15,22.300712,114.254691
34,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 2,2001-01-22,M,2,,36,B,690,512,8180000,2020-12-15,2012-08-09,4550000,79.78,22.300712,114.254691
35,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 5,2000-12-20,H,2,,46,B,702,511,8800000,2020-12-15,2006-01-27,2750000,220.0,22.3010746,114.2543544
36,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 9,2001-12-05,L,2,,15,G,678,496,8300000,2020-12-15,2001-05-11,2269000,265.8,22.302146999999998,114.2535715
37,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 7,2001-12-05,M,2,,29,E,695,498,8400000,2020-12-11,2008-07-09,3520000,138.64000000000001,22.301769999999998,114.2541485
38,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 5,2000-12-20,H,2,,37,G,686,511,7000000,2020-12-11,2019-07-16,8000000,-12.5,22.3010746,114.2543544
39,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 3,2001-01-22,H,2,,43,E,696,516,9350000,2020-12-10,2015-06-24,7500000,24.67,22.300714,114.254335
40,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 1,2006-06-01,M,2,,39,E,657,487,8210000,2020-12-09,2010-08-03,3210000,155.76,22.3048464,114.252752
41,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 15,2003-05-29,L,1,,17,C,546,399,7350000,2020-12-09,2017-07-19,5800000,26.72,22.3032151,114.2522376
42,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 3,2006-06-01,H,3,,57,B,943,678,10000000,2020-12-09,2012-06-19,6380000,56.74,22.3043325,114.252182
43,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 10,2001-12-05,L,2,,1,E,683,498,7150000,2020-12-08,2011-02-25,3740000,91.18,22.3022616,114.253251
44,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Ocean Shores,Tower 7,2001-12-05,L,3,,6,F,890,646,10000000,2020-12-07,2008-10-27,3820000,161.78,22.301769999999998,114.2541485
45,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 2,2006-06-01,H,2,,67,E,657,487,8330000,2020-12-07,2017-02-15,7500000,11.07,22.304589999999997,114.252462
46,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Choi Ming Court,Block A (Choi Yeung Court),2001-04-25,M,3,2,22,1,846,650,6700000,2020-12-07,2010-04-27,2100000,219.05,22.308681999999997,114.255034
47,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 7,2007-10-25,L,3,,9,A,809,594,8888000,2020-12-04,2006-10-13,3134000,183.6,22.3045755,114.2511469
48,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Block 10,2007-10-25,L,3,,10,F,977,731,10380000,2020-12-03,2010-05-25,4812000,115.71000000000001,22.305395,114.2521875
49,Kowloon,Sai Kung (Tseung Kwan O),Tiu Keng Leng,Metro Town,Tower 2,2006-06-01,M,3,,28,C,843,629,9300000,2020-12-01,2014-07-16,6380000,45.77,22.304589999999997,114.252462
