,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Kowloon City,To Kwa Wan,Grand Waterfront,Block 2,2006-11-07,L,3,,21,E,757,546,9800000,2021-01-06,2014-01-29,6600000,48.480000000000004,22.319295999999998,114.193226
1,Kowloon,Kowloon City,To Kwa Wan,Tung Hoi Building,Tung Hoi Building,1968-06-25,M,,,7,Q,0,337,3880000,2021-01-06,2005-04-23,828000,368.6,22.32285,114.189592
2,Kowloon,Kowloon City,To Kwa Wan,93 Pau Chung Street,93 Pau Chung Street,2018-07-27,H,1,,26,C,0,349,6638000,2021-01-06,2016-10-19,6082700,9.13,22.320800000000002,114.18909
3,Kowloon,Kowloon City,To Kwa Wan,Grand Waterfront,Block 2,2006-11-07,L,2,,,H,500,360,6550000,2021-01-06,2006-09-28,2151000,204.51,22.319295999999998,114.193226
4,Kowloon,Kowloon City,To Kwa Wan,Grand Waterfront,Block 1,2006-11-07,H,2,,48,A,504,367,7080000,2021-01-06,2006-09-25,2598960,172.42000000000002,22.3194015,114.1929705
5,Kowloon,Kowloon City,To Kwa Wan,LHarbour 18,LHarbour 18,2015-07-27,L,1,,7,D,0,321,6160000,2021-01-05,2015-01-02,4617000,33.42,22.314750999999998,114.190219
6,Kowloon,Kowloon City,To Kwa Wan,Ming Fat Building,Ming Fat Building,1977-11-17,M,,,14,A,0,290,4580000,2021-01-05,2017-09-25,3800000,20.53,22.315673999999998,114.18711
7,Kowloon,Kowloon City,To Kwa Wan,Grand Waterfront,Block 1,2006-11-07,L,3,,9,D,757,546,8000000,2021-01-05,2007-11-20,4374000,82.9,22.3194015,114.1929705
8,Kowloon,Kowloon City,To Kwa Wan,Grand Waterfront,Block 2,2006-11-07,M,2,,39,G,522,384,6700000,2021-01-04,2014-02-10,4630000,44.71,22.319295999999998,114.193226
9,Kowloon,Kowloon City,To Kwa Wan,Sky Tower,Block 1,2004-06-30,L,2,0,22,G,691,521,7000000,2021-01-04,2009-10-16,3600000,94.44,22.323321,114.1897154
10,Kowloon,Kowloon City,To Kwa Wan,452-462 Ma Tau Wai Road,452-462 Ma Tau Wai Road,1959-06-05,L,,,1,1,0,805,8900000,2021-01-04,2017-01-24,6300000,41.27,22.320303,114.18738
11,Kowloon,Kowloon City,To Kwa Wan,93 Pau Chung Street,93 Pau Chung Street,2018-07-27,H,1,,28,E,0,334,6350000,2021-01-04,2017-03-15,5738500,10.66,22.320800000000002,114.18909
