,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,542-544 Canton Road,542-544 Canton Road,1973-01-09,,,,2,544,0,333,2800000,2021-01-06,2013-07-16,2460000,13.82,,
1,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Mirador Mansion,Mirador Mansion,1959-07-08,L,,,3,A15,0,688,6000000,2021-01-06,,0,0.0,22.2973,114.17260999999999
2,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Star Mansion,Star Mansion,1970-11-05,M,1,,8,F,0,330,4280000,2021-01-06,2015-06-09,3850000,11.17,22.296315999999997,114.17359
3,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,1,,9,A1,0,350,8871390,2021-01-05,,0,0.0,22.30418,114.172562
4,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,3,,15,A2,0,752,19494090,2021-01-05,,0,0.0,22.30418,114.172562
5,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,H,2,,19,A3,0,511,12964050,2020-12-31,,0,0.0,22.30418,114.172562
6,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,The Masterpiece,The Masterpiece,2009-01-22,H,3,,55,L,1580,1143,30500000,2020-12-31,2012-03-05,26431000,15.39,22.2974663,114.1736712
7,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Mirador Mansion,Mirador Mansion,1959-07-08,,,,14,A10,0,623,4400000,2020-12-31,1999-06-12,1200000,266.67,22.2973,114.17260999999999
8,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Lucky House,Lucky House,1961-06-05,L,,,5,G,0,606,5150000,2020-12-31,2012-05-04,300000,1616.67,22.30501,114.17085
9,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,AVA 62,AVA 62,2017-05-17,,,,,A,0,253,5200000,2020-12-31,,0,0.0,22.304655,114.16928
10,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,1,,7,A1,0,350,8662500,2020-12-31,,0,0.0,22.30418,114.172562
11,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,2,,16,A3,0,511,12609630,2020-12-30,,0,0.0,22.30418,114.172562
12,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Haiphong Mansion,Haiphong Mansion,1960-11-15,M,,,6,2,0,853,10500000,2020-12-30,2002-07-31,1500000,600.0,22.29796,114.17185
13,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,1,,5,B1,0,335,7810110,2020-12-30,,0,0.0,22.30418,114.172562
14,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,South Sea Apartments,South Sea Apartments,1962-01-19,L,,,1,D,0,504,4200000,2020-12-30,2010-12-06,3000000,40.0,22.300967999999997,114.176107
15,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Yu Hing Mansion,Yu Hing Mansion,1967-08-03,M,,,11,D,0,380,4500000,2020-12-30,,0,0.0,22.305042,114.17031
16,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,1,,11,A1,0,350,8953560,2020-12-30,,0,0.0,22.30418,114.172562
17,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,H,2,,20,A3,0,511,14016000,2020-12-29,,0,0.0,22.30418,114.172562
18,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,,,12,A3,0,256,7027000,2020-12-29,,0,0.0,22.30418,114.172562
19,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,3,A3,0,256,6483510,2020-12-29,,0,0.0,22.30418,114.172562
20,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,2,,2,A5,0,490,14700000,2020-12-29,,0,0.0,22.30418,114.172562
21,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,7,A3,0,256,6754770,2020-12-29,,0,0.0,22.30418,114.172562
22,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,1,,6,A1,0,350,8350650,2020-12-29,,0,0.0,22.30418,114.172562
23,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,6,A3,0,256,6579540,2020-12-29,,0,0.0,22.30418,114.172562
24,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,The Victoria Towers,Block 2,2002-09-23,M,2,,45,D,769,535,11780000,2020-12-29,2016-10-27,10008000,17.71,22.3024435,114.168507
25,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,2,,10,A2,0,511,12580920,2020-12-28,,0,0.0,22.30418,114.172562
26,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,1,,6,B5,0,378,8463510,2020-12-28,,0,0.0,22.30418,114.172562
27,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Tak Lee Building,Tak Lee Building,1978-02-27,L,2,,4,D,288,207,3050000,2020-12-28,2008-04-11,873000,249.37,22.306670999999998,114.16881
28,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,125-127 Parkes Street,125-127 Parkes Street,1969-12-22,,,,2,125,0,280,3600000,2020-12-28,,0,0.0,22.306918,114.170867
29,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Ocean View Court,27 Chatham Road South,1958-06-06,L,,,3,,0,1899,18000000,2020-12-28,2004-12-22,1960000,818.37,22.2976161,114.1755056
30,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Manley House,Manley House,1978-01-05,M,,,10,B,0,339,5000000,2020-12-24,,0,0.0,22.298859999999998,114.16875999999999
31,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,2,,5,A2,0,511,11899800,2020-12-24,,0,0.0,22.30418,114.172562
32,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,8,B3,0,256,6251850,2020-12-23,,0,0.0,22.30418,114.172562
33,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,,,9,B3,0,256,6055830,2020-12-23,,0,0.0,22.30418,114.172562
34,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,2,,9,A5,0,511,12128490,2020-12-23,,0,0.0,22.30418,114.172562
35,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Wing Fat Mansion,Wing Fat Mansion,1980-11-17,L,,,2,C,507,410,7300000,2020-12-23,2012-10-15,4000000,82.5,22.314176,114.16806
36,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,1,,7,A6,0,350,8118000,2020-12-23,,0,0.0,22.30418,114.172562
37,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,2,,6,A2,0,511,12109000,2020-12-23,,0,0.0,22.30418,114.172562
38,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,1,,9,B1,0,335,8254620,2020-12-23,,0,0.0,22.30418,114.172562
39,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,3,B3,0,256,5747940,2020-12-23,,0,0.0,22.30418,114.172562
40,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Carnarvon Mansion,Carnarvon Mansion,1959-11-14,H,,,8,A1,0,809,6800000,2020-12-23,2009-10-27,2000000,240.0,22.298212,114.17331
41,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,2,,17,A3,0,511,12538350,2020-12-23,,0,0.0,22.30418,114.172562
42,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,1,,10,A6,0,350,8292240,2020-12-23,,0,0.0,22.30418,114.172562
43,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,2,,11,A5,0,511,11872080,2020-12-23,,0,0.0,22.30418,114.172562
44,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,1,,8,B1,0,335,8196210,2020-12-23,,0,0.0,22.30418,114.172562
45,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,The Victoria Towers,Block 2,2002-09-23,M,2,,47,D,769,535,11000000,2020-12-23,2002-06-25,3848000,185.86,22.3024435,114.168507
46,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,5,A5,0,511,11242440,2020-12-22,,0,0.0,22.30418,114.172562
47,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,3,B2,0,378,8383000,2020-12-22,,0,0.0,22.30418,114.172562
48,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,6,A5,0,511,11368170,2020-12-22,,0,0.0,22.30418,114.172562
49,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,8,A3,0,256,6675570,2020-12-22,,0,0.0,22.30418,114.172562
50,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,M,,,15,B1,0,233,6467670,2020-12-22,,0,0.0,22.30418,114.172562
51,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,The Metropolis Residence,Tower 1,2002-11-05,L,1,,15,16,626,473,8600000,2020-12-22,2016-11-04,6880000,25.0,22.30256,114.183557
52,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,The Victoria Towers,Block 2,2002-09-23,H,3,,67,F,1216,885,25980000,2020-12-22,2010-08-04,16100000,61.370000000000005,22.3024435,114.168507
53,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,3,A5,0,511,11116710,2020-12-22,,0,0.0,22.30418,114.172562
54,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,7,A5,0,511,11611000,2020-12-22,,0,0.0,22.30418,114.172562
55,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,8,A5,0,511,11578050,2020-12-22,,0,0.0,22.30418,114.172562
56,Kowloon,Yau Tsim Mong,Tsim Sha Tsui,Arbour,Arbour,,L,,,3,A1,0,350,8314000,2020-12-22,,0,0.0,22.30418,114.172562
