,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Fu Keung Court,Block B,1993-01-28,L,3,,7,2,739,577,8380000,2021-01-06,2015-05-26,5030000,66.6,22.340222999999998,114.183959
1,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block C (Chun Fei House),1986-06-24,M,1,,21,8,479,351,4500000,2021-01-06,2019-05-30,4800000,-6.25,22.343300000000003,114.18645599999999
2,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 9,1989-09-21,,2,,29,A,480,431,5080000,2021-01-04,2014-04-04,3050000,66.56,22.346802999999998,114.186684
3,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 7,1991-07-09,,2,,22,F,480,431,5350000,2020-12-29,2011-05-03,2450000,118.37,22.346087,114.18654
4,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 14,1991-07-09,L,3,,3,H,659,591,6350000,2020-12-28,2006-09-19,1180000,438.14,22.346087999999998,114.18928
5,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Wang Court,Block C,1992-12-03,H,3,,15,10,720,554,7500000,2020-12-28,2002-03-08,1700000,341.18,22.344019,114.186685
6,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Wang Court,Block C,1992-12-03,M,3,,12,10,720,554,7300000,2020-12-24,,0,0.0,22.344019,114.186685
7,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block D (Chun On House),1986-11-21,L,1,,4,13,462,338,4320000,2020-12-24,2012-01-31,1838000,135.04,22.343515999999997,114.187557
8,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Chuk Yuen North Estate,Tung Yuen House  ( Tuyu  ),1987-12-01,L,,,2,11,0,441,2660000,2020-12-24,,0,0.0,22.345705,114.19454
9,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block E (Chun Hong House),1986-11-21,L,,,2,9,495,363,4400000,2020-12-23,2014-08-29,2930000,50.17,22.343159,114.187956
10,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block E (Chun Hong House),1986-11-21,H,1,,30,12,462,338,4800000,2020-12-23,2003-05-15,330000,1354.55,22.343159,114.187956
11,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Fu Keung Court,Block F,1995-02-13,H,,,22,2,825,645,10000000,2020-12-22,,0,0.0,22.339693,114.185104
12,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block B (Chun Wai House),1986-06-24,M,,,24,1,495,363,5000000,2020-12-22,2017-12-15,4000000,25.0,22.3435521,114.1859154
13,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 9,1989-09-21,,,,23,G,661,592,6500000,2020-12-18,2010-10-07,2480000,162.1,22.346802999999998,114.186684
14,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Chuk Yuen North Estate,Chung Yuen House  ( Chun  ),1989-03-01,L,,,8,8,0,485,4880000,2020-12-11,,0,0.0,22.345928,114.19169
15,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 4,1989-09-21,H,2,,17,A,480,431,4880000,2020-12-08,,0,0.0,22.345947,114.18714299999999
16,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Pang Ching Court,Block A,1991-11-20,M,,,18,18,583,443,5600000,2020-12-03,,0,0.0,22.345772999999998,114.190553
17,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block E (Chun Hong House),1986-11-21,L,,,10,12,462,338,4330000,2020-12-02,,0,0.0,22.343159,114.187956
18,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 3,1989-09-21,,,,24,E,540,484,3670000,2020-11-27,2000-05-24,1050000,249.52,22.34685,114.18847
19,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Pang Ching Court,Block A,1991-11-20,M,,,14,22,583,443,4900000,2020-11-27,,0,0.0,22.345772999999998,114.190553
20,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Chuk Yuen North Estate,Toa Yuen House  ( Toyu  ),1989-09-01,L,,,7,4,0,489,2720000,2020-11-26,,0,0.0,22.347085999999997,114.19476
21,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block E (Chun Hong House),1986-11-21,M,,,18,4,462,338,4650000,2020-11-24,,0,0.0,22.343159,114.187956
22,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 6,1989-09-21,H,,,21,A,480,431,4930000,2020-11-23,,0,0.0,22.345526,114.1862946
23,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block A (Chun Sing House),1986-06-24,M,,,16,7,567,415,5460000,2020-11-23,2009-09-03,1765000,209.35,22.343177999999998,114.185509
24,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Chuk Yuen North Estate,Wai Yuen House  ( Wayu ),1989-02-01,H,,,32,18,0,443,2750000,2020-11-18,2013-10-03,1980000,38.89,22.345762,114.193016
25,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Lower Wong Tai Sin (1) Estate,Lung Tat House (Block 1),1990-02-01,H,,,28,18,0,397,2475000,2020-11-17,,0,0.0,22.340054,114.19538
26,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 14,1991-07-09,M,,,9,A,480,431,4800000,2020-11-16,2009-03-13,1290000,272.09000000000003,22.346087999999998,114.18928
27,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block A (Chun Sing House),1986-06-24,M,,,23,12,462,338,4810000,2020-11-12,2016-11-10,3660000,31.42,22.343177999999998,114.185509
28,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Lower Wong Tai Sin (1) Estate,Lung Tat House (Block 1),1990-02-01,H,,,28,7,0,544,4680000,2020-11-09,,0,0.0,22.340054,114.19538
29,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 6,1989-09-21,M,,,14,A,480,431,4850000,2020-11-04,2011-11-10,2060000,135.44,22.345526,114.1862946
30,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Chuk Yuen North Estate,Mui Yuen House  ( Muyu  ),1987-12-01,L,,,9,4,0,489,2800000,2020-11-03,,0,0.0,22.345807999999998,114.1954
31,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block D (Chun On House),1986-11-21,H,,,26,4,495,363,5000000,2020-11-03,1998-05-13,1760000,184.09,22.343515999999997,114.187557
32,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Kai Tak Garden,Block 2,1998-12-01,L,2,,6,G,0,495,4800000,2020-11-03,1997-06-02,1570000,205.73000000000002,22.337593,114.195022
33,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 10,1989-09-21,L,,,6,E,540,484,5588000,2020-11-02,2015-01-28,3848000,45.22,22.346646,114.187168
34,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Ka Keung Court,Block B,2000-12-11,M,,,13,8,503,407,4900000,2020-11-02,,0,0.0,22.341552999999998,114.18467
35,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Fu Keung Court,Block C,1993-01-28,H,,,19,3,515,401,6800000,2020-11-02,,0,0.0,22.340419999999998,114.184366
36,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block C (Chun Fei House),1986-06-24,H,,,27,1,495,363,5100000,2020-10-30,2015-12-22,4000000,27.5,22.343300000000003,114.18645599999999
37,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tin Ma Court,Block A (Chun Sing House),1986-06-24,M,,,17,4,462,338,4200000,2020-10-28,,0,0.0,22.343177999999998,114.185509
38,Kowloon,Wong Tai Sin,Wong Tai Sin / Lok Fu,Tsui Chuk Garden,Block 3,1989-09-21,L,,,1,B,550,493,5068000,2020-10-28,2013-08-02,3000000,68.93,22.34685,114.18847
