,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 4,1995-11-02,M,3,,14,G,844,700,10000000,2020-12-24,2016-12-02,7900000,26.580000000000002,22.310823,114.168358
1,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,M,2,,23,D,626,476,8560000,2020-12-24,2010-09-13,4100000,108.78,22.312492,114.169702
2,Kowloon,Yau Tsim Mong,Yau Ma Tei,Yen Chun Building,Yen Chun Building,1977-04-12,L,,,6,A,0,446,4500000,2020-12-17,2013-07-25,2880000,56.25,22.312314999999998,114.170364
3,Kowloon,Yau Tsim Mong,Yau Ma Tei,Yue King Building,Yue King Building,1978-04-04,M,,,9,A,0,318,4350000,2020-12-16,2012-10-05,2400000,81.25,22.310871,114.16969
4,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,M,2,,29,C,626,476,8950000,2020-12-09,2013-07-08,6030000,48.42,22.312492,114.169702
5,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,H,2,,41,B,586,441,8970000,2020-12-08,2017-05-05,7888800,13.71,22.312433,114.170014
6,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,L,3,,16,G,763,581,11600000,2020-12-04,2008-07-04,4400000,163.64000000000001,22.312492,114.169702
7,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 3,1995-11-02,L,2,,5,D,586,478,6500000,2020-12-04,,0,0.0,22.310783999999998,114.167937
8,Kowloon,Yau Tsim Mong,Yau Ma Tei,Yee Fat Building,Yee Fat Building,1979-11-20,M,,,14,A,0,332,4450000,2020-12-03,2010-05-20,1650000,169.70000000000002,,
9,Kowloon,Yau Tsim Mong,Yau Ma Tei,Shui Fung Building,Shui Fung Building,1982-02-15,M,2,,8,B,343,237,3500000,2020-12-03,,0,0.0,22.311567,114.17003
10,Kowloon,Yau Tsim Mong,Yau Ma Tei,Wing Sheung Building,Wing Sheung Building,1970-09-01,M,,,6,B,0,418,4380000,2020-11-20,2002-08-15,800000,447.5,,
11,Kowloon,Yau Tsim Mong,Yau Ma Tei,Hang Wan House,Hang Wan House,1987-09-17,H,,,23,B,0,200,1900000,2020-11-18,2016-10-19,2880000,-34.03,22.310129999999997,114.16927
12,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 1,1991-08-22,L,3,,3,G,835,700,10000000,2020-11-12,1996-05-31,3380000,195.86,22.310008,114.168117
13,Kowloon,Yau Tsim Mong,Yau Ma Tei,153 Reclamation Street,153 Reclamation Street,1957-04-05,,,,1,,0,615,4750000,2020-11-11,,0,0.0,,
14,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,H,2,,45,A,573,432,9380000,2020-11-10,2007-11-26,3150000,197.78,22.312433,114.170014
15,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,L,2,,7,A,610,462,7880000,2020-11-03,2016-12-07,6400000,23.13,22.312492,114.169702
16,Kowloon,Yau Tsim Mong,Yau Ma Tei,17 Temple Street,17 Temple Street,1959-04-09,M,,,3,,0,626,3800000,2020-10-29,2014-07-10,3468000,9.57,,
17,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,M,2,,20,F,556,417,7830000,2020-10-27,2016-08-02,5638000,38.88,22.312433,114.170014
18,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 4,1995-11-02,L,3,,6,G,844,700,9700000,2020-10-16,2010-11-11,4500000,115.56,22.310823,114.168358
19,Kowloon,Yau Tsim Mong,Yau Ma Tei,Chee Sun Building,Chee Sun Building,1994-09-08,H,2,,22,B,492,287,4568000,2020-10-15,2005-02-22,1130000,304.25,22.31057,114.16920999999999
20,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,L,2,,10,F,598,464,8400000,2020-10-07,2014-03-26,5450000,54.13,22.312492,114.169702
21,Kowloon,Yau Tsim Mong,Yau Ma Tei,Yen Chun Building,Yen Chun Building,1977-04-12,M,,,11,A,0,446,4800000,2020-09-29,2017-04-07,4000000,20.0,22.312314999999998,114.170364
22,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,L,2,,12,C,584,441,7600000,2020-09-29,2010-10-14,3500000,117.14,22.312433,114.170014
23,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 1,1991-08-22,H,3,,26,G,835,700,12280000,2020-09-21,2009-12-03,4280000,186.92000000000002,22.310008,114.168117
24,Kowloon,Yau Tsim Mong,Yau Ma Tei,Jolly Garden,Jolly Garden,2002-06-10,H,2,,22,B,612,391,6600000,2020-09-15,2003-11-12,1469300,349.19,22.310268999999998,114.169226
25,Kowloon,Yau Tsim Mong,Yau Ma Tei,150-160 Reclamation Street,150-160 Reclamation Street,1962-02-21,H,,,6,,0,467,3050000,2020-09-09,,0,0.0,,
26,Kowloon,Yau Tsim Mong,Yau Ma Tei,142-148 Reclamation Street,142-148 Reclamation Street,1960-09-20,L,,,2,,0,498,3600000,2020-09-07,,0,0.0,,
27,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 4,1995-11-02,H,2,,22,D,586,478,7880000,2020-09-02,,0,0.0,22.310823,114.168358
28,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 3,1995-11-02,H,3,,29,A,742,606,10830000,2020-08-31,2011-01-11,5180000,109.07000000000001,22.310783999999998,114.167937
29,Kowloon,Yau Tsim Mong,Yau Ma Tei,Shui Fung Building,Shui Fung Building,1982-02-15,M,2,,15,A,343,237,3450000,2020-08-28,2001-01-17,375000,820.0,22.311567,114.17003
30,Kowloon,Yau Tsim Mong,Yau Ma Tei,Nathan Road Court,Nathan Road Court,1967-12-12,M,,,10,,0,322,2000000,2020-08-28,2019-06-05,2000000,0.0,22.312195,114.17106
31,Kowloon,Yau Tsim Mong,Yau Ma Tei,Cheong Mow Building,Cheong Mow Building,1982-03-30,L,2,,8,A,536,356,5070000,2020-08-18,,0,0.0,22.310586999999998,114.17
32,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 4,1995-11-02,L,2,,4,D,586,478,7600000,2020-08-17,2013-06-13,4988000,52.370000000000005,22.310823,114.168358
33,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,L,2,,18,A,573,432,7850000,2020-08-12,2016-02-15,7000000,12.14,22.312433,114.170014
34,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,M,2,,20,B,586,441,8100000,2020-07-31,2012-03-19,4530000,78.81,22.312433,114.170014
35,Kowloon,Yau Tsim Mong,Yau Ma Tei,Independent Building,Independent Building,1964-06-10,M,,,8,,0,619,5700000,2020-07-30,2013-01-30,4500000,26.67,22.312126,114.17057
36,Kowloon,Yau Tsim Mong,Yau Ma Tei,Wing Sheung Building,Wing Sheung Building,1970-09-01,M,,,5,B,0,418,4460000,2020-07-28,2010-01-13,1500000,197.33,,
37,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,L,2,,7,F,598,464,8000000,2020-07-28,2010-03-23,3400000,135.29,22.312492,114.169702
38,Kowloon,Yau Tsim Mong,Yau Ma Tei,Cheng Hong Building,Cheng Hong Building,1974-11-12,M,,,7,2,0,378,4200000,2020-07-24,2014-01-10,3050000,37.7,22.310489999999998,114.17020000000001
39,Kowloon,Yau Tsim Mong,Yau Ma Tei,Yee Fat Building,Yee Fat Building,1979-11-20,H,,,21,A,0,332,4550000,2020-07-22,2018-05-29,4950000,-8.08,,
40,Kowloon,Yau Tsim Mong,Yau Ma Tei,Wing Sheung Building,Wing Sheung Building,1970-08-31,M,,,5,C,0,274,3400000,2020-07-21,2010-09-01,1390000,144.6,,
41,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,M,2,,20,F,598,464,8600000,2020-07-15,2013-01-02,5820000,47.77,22.312492,114.169702
42,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,M,2,,23,G,541,411,7430000,2020-07-15,2012-07-16,4580000,62.230000000000004,22.312433,114.170014
43,Kowloon,Yau Tsim Mong,Yau Ma Tei,Yen Chun Building,Yen Chun Building,1977-04-12,L,,,8,B,0,446,5000000,2020-07-15,,0,0.0,22.312314999999998,114.170364
44,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,L,2,,7,H,583,437,7700000,2020-07-14,2014-06-18,5350000,43.93,22.312492,114.169702
45,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,L,2,,13,F,598,464,8380000,2020-07-08,2004-03-25,2863900,192.61,22.312492,114.169702
46,Kowloon,Yau Tsim Mong,Yau Ma Tei,42-44 Temple Street,42-44 Temple Street,1964-12-03,,,,3,,0,519,3580000,2020-07-07,,0,0.0,,
47,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,M,2,,23,F,598,464,8400000,2020-06-26,2013-02-27,5930000,41.65,22.312492,114.169702
48,Kowloon,Yau Tsim Mong,Yau Ma Tei,Yee Fat Building,Yee Fat Building,1979-11-20,H,,,16,B,0,332,4600000,2020-06-23,2015-02-11,4000000,15.0,,
49,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,H,3,,42,E,755,561,14000000,2020-06-23,2011-04-01,7380000,89.7,22.312433,114.170014
50,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,M,3,,30,G,763,581,11450000,2020-06-12,2015-05-29,8750000,30.86,22.312492,114.169702
51,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 1,1991-08-21,M,3,,19,H,729,606,9400000,2020-06-09,1999-03-18,2600000,261.54,22.310008,114.168117
52,Kowloon,Yau Tsim Mong,Yau Ma Tei,Prosperous Garden,Block 2,1991-08-21,H,2,,26,D,573,478,7960000,2020-06-07,2017-06-14,3000000,165.33,22.310411,114.16804
53,Kowloon,Yau Tsim Mong,Yau Ma Tei,Arts Mansion,Arts Mansion,1986-03-06,L,2,,6,B,401,290,4230000,2020-05-28,2017-04-05,3480000,21.55,22.311522999999998,114.17055500000001
54,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,M,2,,25,C,584,441,7950000,2020-05-26,2006-08-12,2520000,215.48000000000002,22.312433,114.170014
55,Kowloon,Yau Tsim Mong,Yau Ma Tei,Fu Cheong Building,Fu Cheong Building,1986-07-13,L,1,,7,A,492,360,4480000,2020-05-20,2013-03-19,1000000,348.0,,
56,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 1,2004-06-09,L,2,,11,C,626,476,8300000,2020-05-18,2009-05-14,3028000,174.11,22.312492,114.169702
57,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,M,2,,19,G,541,411,7320000,2020-05-13,2005-05-28,2350000,211.49,22.312433,114.170014
58,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,M,2,,25,D,592,446,7680000,2020-05-12,2004-05-15,2139400,258.98,22.312433,114.170014
59,Kowloon,Yau Tsim Mong,Yau Ma Tei,8 Waterloo Road,Block 2,2004-06-09,M,2,,22,F,556,417,7870000,2020-05-11,2004-03-30,2617000,200.73000000000002,22.312433,114.170014
60,Kowloon,Yau Tsim Mong,Yau Ma Tei,Kam Fai Building,Kam Fai Building,1978-07-11,L,,,4,D,0,302,3900000,2020-05-11,,0,0.0,22.312711999999998,114.1699
