,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,Kowloon,Sham Shui Po,Yau Yat Chuen,Parc Oasis,Block 16,1992-10-16,M,3,2,7,D,725,584,11820000,2021-01-05,1998-05-07,5500000,114.91,22.335013,114.175126
1,Kowloon,Sham Shui Po,Yau Yat Chuen,Village Gardens,30 Fa Po Street(Block B14),1987-06-29,L,3,2,3,B,915,759,14128000,2021-01-04,2010-03-05,7900000,78.84,22.331872999999998,114.176445
2,Kowloon,Sham Shui Po,Yau Yat Chuen,Parc Oasis,Block 8,1992-10-16,M,2,2,6,D,560,450,9280000,2020-12-31,2016-11-21,7780000,19.28,22.3332434,114.1744405
3,Kowloon,Sham Shui Po,Yau Yat Chuen,Village Gardens,45 Fa Po Street(Block B6),1986-12-01,L,3,2,1,B,1759,1498,33100000,2020-12-29,2000-05-26,8900000,271.91,22.333403,114.17574
4,Kowloon,Sham Shui Po,Yau Yat Chuen,Kam Yuck Building,Kam Yuck Building,1981-04-09,L,1,,3,F,250,233,3250000,2020-12-28,2013-05-16,1639000,98.29,22.334637,114.16696
5,Kowloon,Sham Shui Po,Yau Yat Chuen,Dynasty Heights,Tropicana 6 (Block 21),1998-11-16,M,,,,C,602,468,8380000,2020-12-24,1998-12-05,3951000,112.10000000000001,22.3436275,114.1637705
6,Kowloon,Sham Shui Po,Yau Yat Chuen,Beacon Heights,Block 6,1987-06-26,,3,2,14,C,1022,844,12500000,2020-12-22,1996-07-11,6000000,108.33,22.342533,114.167206
7,Kowloon,Sham Shui Po,Yau Yat Chuen,Dynasty Heights,Tropicana 3 (Block 23),1998-11-16,L,,,,D,0,693,10000000,2020-12-18,,0,0.0,22.3430946,114.1639735
8,Kowloon,Sham Shui Po,Yau Yat Chuen,Village Gardens,Carpark (Phase A & B),,,,,,325,1759,2996,33100000,2020-12-18,2007-12-20,15200000,117.76,22.333118,114.17615
9,Kowloon,Sham Shui Po,Yau Yat Chuen,Parc Oasis,Block 28,1995-03-14,M,3,2,4,F,706,560,10000000,2020-12-14,,0,0.0,22.333524,114.173311
10,Kowloon,Sham Shui Po,Yau Yat Chuen,Tat Chee Court,Tat Chee Court,1985-11-22,,3,2,3,A,816,718,13830000,2020-12-14,2005-08-27,5570000,148.29,22.330868,114.17497
11,Kowloon,Sham Shui Po,Yau Yat Chuen,Dynasty Heights,Tropicana 6 (Block 21),1998-11-16,L,,,1,F,762,588,11950000,2020-12-11,2009-09-04,5800000,106.03,22.3436275,114.1637705
12,Kowloon,Sham Shui Po,Yau Yat Chuen,Marigold Gardens,Marigold Gardens,1988-10-15,,3,2,3,E,1450,1344,11800000,2020-12-10,,0,0.0,22.32849,114.17382
13,Kowloon,Sham Shui Po,Yau Yat Chuen,Ample Building,Ample Building,1980-04-24,M,2,,6,H,0,396,4650000,2020-12-09,1997-11-07,2000000,132.5,22.331348,114.1701
14,Kowloon,Sham Shui Po,Yau Yat Chuen,Parc Oasis,Block 6,1992-10-16,M,3,2,4,E,815,657,13500000,2020-12-09,2002-06-21,3708000,264.08,22.332949,114.1749395
15,Kowloon,Sham Shui Po,Yau Yat Chuen,Parc Oasis,Block 15,1992-10-16,M,3,2,5,B,842,681,14200000,2020-12-04,2000-09-01,4860000,192.18,22.334813,114.174847
16,Kowloon,Sham Shui Po,Yau Yat Chuen,Farming Villa,Farming Villa,1970-06-30,,,,1,C,0,718,9680000,2020-12-02,,0,0.0,22.331533,114.17601
17,Kowloon,Sham Shui Po,Yau Yat Chuen,Beacon Heights,Block 6,1987-06-26,,3,2,11,A,1002,845,13800000,2020-11-30,2002-04-17,3900000,253.85,22.342533,114.167206
18,Kowloon,Sham Shui Po,Yau Yat Chuen,22-24 Fa Po Street,Nos.22 & 24 Fa Po Street,1965-10-04,,,,2,B1,0,854,13400000,2020-11-27,2011-12-09,8000000,67.5,22.3312699,114.1761904
19,Kowloon,Sham Shui Po,Yau Yat Chuen,Mont Rouge,Tower 1,2018-07-31,M,,,6,B,0,1699,87000000,2020-11-20,,0,0.0,22.343842,114.17126999999999
20,Kowloon,Sham Shui Po,Yau Yat Chuen,Dynasty Heights,Skylodge 1 (Block 1),1999-01-18,M,2,,10,C,833,619,12000000,2020-11-19,2012-11-13,7860000,52.67,22.3450376,114.1634641
21,Kowloon,Sham Shui Po,Yau Yat Chuen,Nam Cheong Commercial Building,Nam Cheong Commercial Building,1974-12-12,L,,,5,11,0,439,4180000,2020-11-18,,0,0.0,22.334004999999998,114.16743
22,Kowloon,Sham Shui Po,Yau Yat Chuen,Tat Chee Court,Carpark,,,,,,CPP1,816,718,13830000,2020-11-15,,0,0.0,22.330868,114.17492
23,Kowloon,Sham Shui Po,Yau Yat Chuen,Parc Oasis,Block 11,1992-10-16,H,2,2,8,G,547,439,9230000,2020-11-13,1997-11-04,6550000,40.92,22.3340924,114.1745176
24,Kowloon,Sham Shui Po,Yau Yat Chuen,Nam Cheong Commercial Building,Nam Cheong Commercial Building,1974-12-12,L,,,5,9,0,445,4100000,2020-11-12,,0,0.0,22.334004999999998,114.16743
25,Kowloon,Sham Shui Po,Yau Yat Chuen,Super Tower,Super Tower,1978-03-30,,,,2,A,0,811,15380000,2020-11-11,2009-05-14,6580000,133.74,22.33006,114.17300399999999
26,Kowloon,Sham Shui Po,Yau Yat Chuen,Dynasty Heights,Skylodge 5 (Block 5),1999-01-18,M,3,,8,B,1556,1202,29680000,2020-11-02,1999-04-09,11750000,152.6,22.344656,114.164168
27,Kowloon,Sham Shui Po,Yau Yat Chuen,Kam Yuck Building,Kam Yuck Building,1981-04-09,M,1,,6,E,250,233,3300000,2020-11-02,2012-09-11,1500000,120.0,22.334637,114.16696
28,Kowloon,Sham Shui Po,Yau Yat Chuen,Tat Chee Court,Tat Chee Court,1985-11-22,,3,2,3,B,790,698,13430000,2020-10-30,2006-08-24,4800000,179.79,22.330868,114.17497
29,Kowloon,Sham Shui Po,Yau Yat Chuen,Parc Oasis,Block 21,1994-04-14,L,3,2,2,C,703,559,9900000,2020-10-29,2000-01-07,4050000,144.44,22.3332446,114.1740215
