,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Islands,Discovery Bay,Discovery Bay,Block 5,2019-04-16,H,1,,16,C,0,556,8332000,2021-01-06,,0.0,0.0,22.30756,114.01529
1,New Territories,Islands,Discovery Bay,Discovery Bay,Block L48,2002-01-15,,3,,1,A,1300,1020,12880000,2021-01-04,2004-03-17,4720000.0,172.88,22.305678,114.013451
2,New Territories,Islands,Discovery Bay,Discovery Bay,Block 5,2019-04-16,M,1,,11,C,0,556,8088000,2020-12-31,,0.0,0.0,22.30756,114.01529
3,New Territories,Islands,Discovery Bay,Discovery Bay,27 Headland Drive,1982-09-22,,3,,,,0,1889,26000000,2020-12-31,,0.0,0.0,22.302225,114.01256
4,New Territories,Islands,Discovery Bay,Discovery Bay,Amalfi One,2011-02-02,L,4,,2,SA,2083,1533,15300000,2020-12-29,2014-02-18,13953000.0,9.65,22.307036999999998,114.014293
5,New Territories,Islands,Discovery Bay,Discovery Bay,Block 2 (Barion),2006-04-24,H,3,,22,F,2132,1675,20000000,2020-12-29,2008-02-05,17880000.0,11.86,22.307644999999997,114.012918
6,New Territories,Islands,Discovery Bay,Discovery Bay,Block 5 (Lustre),2006-04-24,H,3,,17,E,1265,977,10830000,2020-12-29,2007-08-16,6900000.0,56.96,22.307326,114.013562
7,New Territories,Islands,Discovery Bay,Discovery Bay,11 Vista Avenue,1994-09-09,,3,,1,B,1026,924,11380000,2020-12-24,2011-04-01,7800000.0,45.9,22.293484,114.018234
8,New Territories,Islands,Discovery Bay,Discovery Bay,Glamour Court,1988-04-30,L,2,2,2,C,699,591,5600000,2020-12-24,2014-09-01,4500000.0,24.44,22.294334,114.015333
9,New Territories,Islands,Discovery Bay,Discovery Bay,Onda Court,1995-05-17,L,2,2,6,D,760,628,7700000,2020-12-24,2012-08-21,5430000.0,41.800000000000004,22.295434999999998,114.020238
10,New Territories,Islands,Discovery Bay,Discovery Bay,11 Seabee Lane,1983-01-13,,3,,1,E,0,962,10000000,2020-12-24,,0.0,0.0,22.30069,114.01350000000001
