,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Royal Palms,Marin Avenue House 6 ( Mari ),1995-10-19,,3,,,,2355,1713,16880000,2021-01-05,2009-09-29,9920000,70.16,22.4880764,114.0561149
1,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Royal Palms,Melrose Avenue House 19 (Melr),1996-02-07,,3,,,,1958,1389,14220000,2020-12-31,2011-03-03,7280000,95.33,22.4828686,114.0563463
2,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,6Th Street (House),1980-11-18,,4,,,,0,950,11000000,2020-12-31,,0,0.0,22.483333,114.042633
3,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,69 2Nd Street,1979-02-22,,3,,,,850,848,10750000,2020-12-30,2007-09-21,3150000,241.27,22.4776434,114.0480479
4,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,5Th Street (House),1980-02-06,,3,,,,0,1035,12730000,2020-12-30,,0,0.0,22.480003,114.048163
5,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,8 1St Street,1987-06-10,,3,,,,1138,846,10000000,2020-12-30,2012-05-11,5828000,71.59,22.473813999999997,114.04493
6,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Royal Palms,San Francisco Avenue House 19 (Safr),1996-02-07,,3,,,,2044,1495,16880000,2020-12-29,2008-03-19,9380000,79.96000000000001,22.485426999999998,114.05632299999999
7,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,13 6Th Street,1986-10-17,,3,,,,1138,846,10000000,2020-12-28,2010-04-21,3998000,150.13,22.474391,114.043212
8,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Royal Palms,Victoriana Avenue (House),1995-10-19,,3,,,,0,1347,16000000,2020-12-28,,0,0.0,22.487472,114.056894
9,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,2 Lychee Road West,1981-10-14,,4,,,,1100,1100,13680000,2020-12-24,,0,0.0,22.486137,114.0442696
10,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,43 1St Street,1979-04-20,,3,,,,1050,1035,12800000,2020-12-24,2010-02-17,4850000,163.92000000000002,22.476532,114.04853299999999
11,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,5 4Th Street,1981-02-24,,,,,,950,950,11800000,2020-12-23,2012-02-16,6380000,84.95,22.482865,114.043234
12,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,33 1St Street,1981-02-03,,,,,,850,848,10500000,2020-12-22,,0,0.0,22.478914,114.045097
13,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,56 1St Street,1986-01-30,,,,,,1050,1035,12280000,2020-12-22,,0,0.0,22.482253,114.044314
14,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,40 3Rd Street,1980-07-23,,,,,,850,848,10760000,2020-12-21,2014-07-28,7330000,46.79,22.480985999999998,114.045635
15,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,62 Lychee Road North,1981-12-01,,,,,,1500,1245,15340000,2020-12-18,2010-07-19,6200000,147.42000000000002,22.481935,114.04974899999999
16,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,64 Lychee Road North,1981-12-01,,,,,,1500,1245,15340000,2020-12-18,2010-07-14,6300000,143.49,22.481935,114.04974899999999
17,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,5 River North 1St Street,1981-10-14,,,,,,1100,1100,11600000,2020-12-18,,0,0.0,22.485785,114.044512
18,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,34 Pinery Road South,1987-08-19,,,,,,1138,840,10700000,2020-12-17,2013-02-18,6800000,57.35,22.473387,114.043452
19,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,32 5Th Street,1988-03-15,,,,,,1300,915,11000000,2020-12-17,,0,0.0,22.473648,114.047543
20,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,37 3Rd Street,1979-10-18,,,,,,850,848,10750000,2020-12-16,2015-01-13,8000000,34.38,22.479651,114.047498
21,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,54 Lychee Road North,1981-12-03,,,,,,850,848,10950000,2020-12-16,2007-08-24,3400000,222.06,22.481935,114.04974899999999
22,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,3 River North 10Th Street,1982-01-06,,,,,,950,950,11100000,2020-12-10,2009-08-25,4000000,177.5,22.481405,114.049678
23,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,24 3Rd Street,1981-04-21,,,,,,1100,1100,14488000,2020-12-09,,0,0.0,22.482699,114.04358500000001
24,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,2 River North Lane,1989-05-25,,,,,,0,891,10760000,2020-12-07,2014-11-05,6800000,58.24,22.481666,114.04865699999999
25,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,5Th Street (House),1981-09-15,,3,,,,1050,1035,12450000,2020-12-07,,0,0.0,22.478998999999998,114.043359
26,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,99 4Th Street,1980-11-18,,,,,,850,848,10000000,2020-12-07,2012-03-14,5480000,82.48,22.48144,114.045509
27,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,141 Lychee Road North,1982-09-01,,,,,,1700,1395,19500000,2020-12-07,2014-01-10,12800000,52.34,22.48305,114.046482
28,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,3Rd Street (House),1982-09-22,,4,,,,850,950,10750000,2020-12-07,2009-08-13,4100000,162.20000000000002,22.479722,114.042219
29,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,44 4Th Street,1979-10-18,,,,,,850,848,10980000,2020-12-03,,0,0.0,22.479822,114.04784599999999
30,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Palm Springs,Ficus Path House 2 ( Ficu ),1994-08-22,,,,,,2021,1377,15000000,2020-12-03,,0,0.0,22.487966,114.048767
31,New Territories,Yuen Long,Fairview / Palm Springs / The Vineyard,Fairview Park,5Th Street (House),1986-11-17,,3,,,,850,840,11380000,2020-12-01,,0,0.0,22.4741137,114.0434914
