,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Yuen Long,Hung Shui Kiu,The Parkhill,Block 7,2015-12-30,,2,,1,C,0,569,5268000,2021-01-06,2015-11-11,4927000,6.92,22.43172,114.01003
1,New Territories,Yuen Long,Hung Shui Kiu,Uptown,Block 5,2011-05-31,H,3,,23,B,997,761,7720000,2021-01-05,2017-11-14,6480000,19.14,22.434473999999998,114.00097099999999
2,New Territories,Yuen Long,Hung Shui Kiu,65-89 Tan Kwai Tsuen Road,Domus,2015-11-10,,0,,3,27,0,244,3850000,2021-01-05,2015-06-30,3119400,23.42,22.42852,113.99916
3,New Territories,Yuen Long,Hung Shui Kiu,Curio Court,Block 2,1995-05-03,,3,,5,B,677,611,5500000,2021-01-04,2011-03-28,2180000,152.29,22.439266,114.01205
4,New Territories,Yuen Long,Hung Shui Kiu,Osmanthus Garden,Block 9,1990-10-30,,3,,3,A,661,593,4740000,2021-01-04,2017-03-23,3880000,22.16,22.4280076,113.9965786
5,New Territories,Yuen Long,Hung Shui Kiu,Uptown,Block 3,2011-05-31,M,3,,,C,999,764,7000000,2020-12-29,2011-05-16,4750000,47.37,22.434808,114.00091499999999
6,New Territories,Yuen Long,Hung Shui Kiu,The Parkhill,Block 6,2015-12-30,,2,,G,F,0,479,5550000,2020-12-24,2015-11-11,4731000,17.31,22.432266,114.00983
7,New Territories,Yuen Long,Hung Shui Kiu,Hung Fook Building,Hung Fook Building,1977-09-30,,,,1,C,0,355,2750000,2020-12-23,2015-10-27,2000000,37.5,22.432968,113.99741
8,New Territories,Yuen Long,Hung Shui Kiu,Greenville Residence,Block 6,2002-12-09,,,,,C,774,619,8800000,2020-12-21,2016-08-04,5350000,64.49,22.432917,114.01132
9,New Territories,Yuen Long,Hung Shui Kiu,Uptown,Block 5,2011-05-31,L,3,,8,C,992,757,6580000,2020-12-18,2011-05-25,4737000,38.910000000000004,22.434473999999998,114.00097099999999
10,New Territories,Yuen Long,Hung Shui Kiu,Jasper Court,Block 10,1996-07-17,,3,,3,D,888,820,6800000,2020-12-18,2011-12-28,2900000,134.48,22.438488,114.01263
11,New Territories,Yuen Long,Hung Shui Kiu,Lai Hung Garden,Block 1,1994-01-06,M,2,,7,F,430,339,4000000,2020-12-18,2017-09-26,3500000,14.290000000000001,22.432812,113.997284
12,New Territories,Yuen Long,Hung Shui Kiu,Fiori,Block 6,2005-12-23,,,,5,A,1340,1016,11300000,2020-12-17,,0,0.0,22.444437,114.01517
13,New Territories,Yuen Long,Hung Shui Kiu,The Verdancy,Block 2,2005-03-23,,1,,3,B,452,349,4150000,2020-12-15,2013-10-31,2000000,107.5,22.430446,113.997109
14,New Territories,Yuen Long,Hung Shui Kiu,Greenville Residence,Block 6,2002-12-09,,,,3,D,0,527,4880000,2020-12-15,2015-07-14,4000000,22.0,22.432917,114.01132
15,New Territories,Yuen Long,Hung Shui Kiu,Beauty Court,Block 1,1993-12-17,M,,,6,F,630,548,5250000,2020-12-11,2012-03-28,2160000,143.06,22.433502,113.996666
16,New Territories,Yuen Long,Hung Shui Kiu,Dor Fook Building,Dor Fook Building,1981-03-10,,,,5,A,0,338,2380000,2020-12-10,2017-01-04,1700000,40.0,22.432776999999998,113.997592
17,New Territories,Yuen Long,Hung Shui Kiu,Symphony Garden,Block 1,1996-01-10,,,,10,E,718,566,5820000,2020-12-09,1996-10-15,2147487,171.01,22.432987999999998,113.998598
18,New Territories,Yuen Long,Hung Shui Kiu,Tak Cheung Building,Tak Cheung Building,1979-07-11,,,,4,R,0,360,2380000,2020-12-09,2016-08-01,1820000,30.77,22.43275,113.99584
19,New Territories,Yuen Long,Hung Shui Kiu,Coronet Court,Coronet Court,1995-07-27,L,3,,1,A,716,633,5700000,2020-12-08,2012-12-04,2770000,105.78,22.43393,113.99728999999999
20,New Territories,Yuen Long,Hung Shui Kiu,La Mansion,House 28,2015-12-24,,4,,-,-,0,1576,22800000,2020-12-07,2017-05-17,24230000,-5.9,22.441328,114.00531
21,New Territories,Yuen Long,Hung Shui Kiu,Imperial Villas,Block 11,2003-11-17,,,,2,D,752,580,6150000,2020-12-07,2013-10-11,3750000,64.0,22.44106,114.00742
22,New Territories,Yuen Long,Hung Shui Kiu,Meadowlands,Block 27,1995-09-11,,2,,2,A,623,537,5450000,2020-12-04,2011-03-14,2000000,172.5,22.429858,113.996384
23,New Territories,Yuen Long,Hung Shui Kiu,Casa De Oro,Block 7,1999-11-22,,,,G,D,0,835,8780000,2020-12-03,2010-07-29,3380000,159.76,22.433308,113.99433
24,New Territories,Yuen Long,Hung Shui Kiu,Recours La Serre,Block 6,2002-04-25,,,,UG,B,0,859,9090000,2020-12-03,2014-09-08,5750000,58.09,22.432454999999997,114.00823
25,New Territories,Yuen Long,Hung Shui Kiu,Treasure Court,Block 11,1988-12-22,H,2,,5,B,520,414,4100000,2020-11-26,2015-08-06,2880000,42.36,22.432848999999997,113.99815100000001
26,New Territories,Yuen Long,Hung Shui Kiu,The Woodsville,Tower 11,2013-12-31,,3,,2,C,0,790,9000000,2020-11-20,2013-08-20,5263000,71.01,22.432719,114.000226
27,New Territories,Yuen Long,Hung Shui Kiu,Uptown,Block 8,2011-05-31,L,3,,9,B,994,759,6500000,2020-11-20,2015-04-23,5270000,23.34,22.434689,114.000692
28,New Territories,Yuen Long,Hung Shui Kiu,Treasure Court,Block 3,1988-12-22,,2,,5,A,527,452,3920000,2020-11-18,2012-02-22,1450000,170.34,22.433073999999998,113.997705
29,New Territories,Yuen Long,Hung Shui Kiu,The Verdancy,Block 9,2005-03-23,,2,,G,D,696,510,5300000,2020-11-18,2017-03-21,4500000,17.78,22.431185,113.996991
30,New Territories,Yuen Long,Hung Shui Kiu,Imperial Villas,Block 5,2003-10-28,,,,1,E,0,625,6650000,2020-11-17,2012-05-08,3230000,105.88,22.440448999999997,114.00707
31,New Territories,Yuen Long,Hung Shui Kiu,Casa De Oro,Block 5,1999-11-22,,,,G,D,0,835,8000000,2020-11-16,2016-04-20,2000000,300.0,22.433377999999998,113.9949
32,New Territories,Yuen Long,Hung Shui Kiu,Lai Hung Garden,Block 2,1994-01-06,L,2,,2,F,430,339,4200000,2020-11-16,2015-07-28,3280000,28.05,22.432678,113.997406
33,New Territories,Yuen Long,Hung Shui Kiu,Windsor Villa,Block 5,1996-06-19,,3,,3,A,0,793,6000000,2020-11-09,1996-12-20,3000000,100.0,22.432665,114.01195
34,New Territories,Yuen Long,Hung Shui Kiu,65-89 Tan Kwai Tsuen Road,Domus,2015-11-10,,0,,3,20,0,243,3650000,2020-11-06,2016-07-25,3110300,17.35,22.42852,113.99916
35,New Territories,Yuen Long,Hung Shui Kiu,Aster Court,Block 1,1992-02-26,H,3,,9,D,692,574,5430000,2020-11-06,2013-09-24,3300000,64.55,22.434538,113.99631
36,New Territories,Yuen Long,Hung Shui Kiu,Uptown,Block 8,2011-05-31,M,3,,12,B,994,759,6000000,2020-11-06,2011-05-09,4646000,29.14,22.434689,114.000692
37,New Territories,Yuen Long,Hung Shui Kiu,Beauty Court,Block 1,1993-12-17,L,,,5,A,499,431,4000000,2020-11-05,,0,0.0,22.433502,113.996666
38,New Territories,Yuen Long,Hung Shui Kiu,Greenville Residence,Block 1,2002-12-09,,3,2,5,A,0,577,6020000,2020-11-05,2006-06-21,1625000,270.46,22.432959999999998,114.011055
39,New Territories,Yuen Long,Hung Shui Kiu,Beauty Court,Block 2,1993-12-17,M,,,7,A,499,431,4800000,2020-11-04,2013-08-07,2500000,92.0,22.433659,113.996901
