,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Sha Tin,Kau To Shan / Fotan,The Palazzo,Tower 1,2008-12-12,H,3,,,B,888,680,13300000,2021-01-06,2010-09-10,1500000,786.6700000000001,22.3942285,114.1989205
1,New Territories,Sha Tin,Kau To Shan / Fotan,Royal Ascot,Block 6,1995-09-13,M,3,,25,B,1128,958,13400000,2021-01-05,2000-02-22,5430000,146.78,22.3998061,114.202128
2,New Territories,Sha Tin,Kau To Shan / Fotan,Mount Regalia,Tower 3,2018-08-27,L,4,,1,B,0,0,41594400,2020-12-31,,0,0.0,22.411963,114.20032
3,New Territories,Sha Tin,Kau To Shan / Fotan,Royal Ascot,Block 5,1995-09-13,M,3,,23,A,822,676,10000000,2020-12-31,2015-02-13,8180000,22.25,22.400409,114.202526
4,New Territories,Sha Tin,Kau To Shan / Fotan,Royal Ascot,Block 3,1995-09-13,H,3,,40,F,1620,1370,20800000,2020-12-30,1998-05-28,13600000,52.94,22.4007665,114.2027535
5,New Territories,Sha Tin,Kau To Shan / Fotan,Sui Wo Court,Wing Cheung House,1980-11-12,H,3,2,28,11,703,617,5450000,2020-12-30,2009-05-08,2000000,172.5,22.392712,114.19378
6,New Territories,Sha Tin,Kau To Shan / Fotan,The Palazzo,Tower 2,2008-12-12,H,3,,37,C,892,699,11700000,2020-12-29,2012-08-31,7200000,62.5,22.3943906,114.19904700000001
7,New Territories,Sha Tin,Kau To Shan / Fotan,Royal Ascot,Block 01,1995-09-13,H,3,,,D,1236,1041,14170000,2020-12-29,2000-07-03,5100000,177.84,22.402196,114.2036654
8,New Territories,Sha Tin,Kau To Shan / Fotan,Shatin Lodge,Shatin Lodge,1981-10-05,L,,,3,C,0,1005,11000000,2020-12-29,2009-10-06,5120000,114.84,22.401719999999997,114.195326
9,New Territories,Sha Tin,Kau To Shan / Fotan,Royal Ascot,Block 2,1995-09-13,M,2,2,26,B,715,594,8700000,2020-12-28,2014-07-11,5270000,65.09,22.4018169,114.2034486
10,New Territories,Sha Tin,Kau To Shan / Fotan,Greenfields,House D,1998-03-06,,4,,,,0,1947,37300000,2020-12-28,1999-01-20,17138000,117.64,22.407904,114.20470399999999
11,New Territories,Sha Tin,Kau To Shan / Fotan,The Palazzo,Tower 10,2008-12-12,M,4,,25,A,1575,1227,21800000,2020-12-28,2008-06-03,15004000,45.29,22.3958056,114.199187
12,New Territories,Sha Tin,Kau To Shan / Fotan,The Grandville,Block C,2006-01-12,M,3,,13,B,1180,922,13980000,2020-12-28,2009-05-20,6150000,127.32000000000001,22.4011044,114.1939205
