,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Kwai Tsing,Kwai Chung,Hang King Garden,Hang King Garden,1996-04-25,M,3,2,26,E,666,511,7850000,2021-01-06,2012-05-15,3890000,101.8,22.360478999999998,114.127846
1,New Territories,Kwai Tsing,Kwai Chung,Yin Lai Court,Block B (Yin Tak House),1991-11-20,H,2,2,31,6,583,469,5950000,2021-01-05,,0,0.0,22.348986999999997,114.126576
2,New Territories,Kwai Tsing,Kwai Chung,Yuet Lai Court,Lai Wah House(Block B),1980-11-28,L,2,2,4,6,491,421,5080000,2021-01-05,2008-05-20,1275000,298.43,22.34791,114.127263
3,New Territories,Kwai Tsing,Kwai Chung,New Kwai Fong Gardens,Block E,1983-07-26,L,2,2,,6,519,408,6000000,2021-01-04,,0,0.0,22.3574275,114.1286875
4,New Territories,Kwai Tsing,Kwai Chung,The Apex,Tower II,2007-07-10,M,2,,35,C,633,441,6070000,2021-01-04,2006-04-08,2627000,131.06,22.366666,114.136751
5,New Territories,Kwai Tsing,Kwai Chung,Highland Park,Block 6,1998-12-31,,3,2,,G,794,625,7200000,2020-12-31,2007-09-06,2350000,206.38,22.350459999999998,114.130071
6,New Territories,Kwai Tsing,Kwai Chung,Edition 178,Edition 178,2018-07-09,M,1,,15,E,0,225,4500000,2020-12-31,2017-09-01,3376000,33.29,22.359928,114.128265
7,New Territories,Kwai Tsing,Kwai Chung,Tak Cheong Building,Tak Cheong Building,1974-03-22,M,,,16,B,0,364,3620000,2020-12-31,2014-12-19,2300000,57.39,22.367271,114.13322
8,New Territories,Kwai Tsing,Kwai Chung,Sun Kwai Hing Gardens,Block B,1983-06-08,L,3,2,11,6,703,570,7700000,2020-12-30,2017-11-09,6380000,20.69,22.363125,114.130752
9,New Territories,Kwai Tsing,Kwai Chung,Horizon Place,Block 2,2002-10-30,M,2,,19,C,599,412,6550000,2020-12-30,2001-11-16,1820000,259.89,22.3614984,114.123807
10,New Territories,Kwai Tsing,Kwai Chung,Yi Fung Court,Block A,1999-11-26,L,2,,6,5,507,407,4210000,2020-12-29,,0,0.0,22.361863,114.138795
11,New Territories,Kwai Tsing,Kwai Chung,New Kwai Fong Gardens,Block A,1983-07-26,M,2,1,14,1,510,418,6398000,2020-12-29,2009-02-02,1670000,283.11,22.3560445,114.1276715
12,New Territories,Kwai Tsing,Kwai Chung,Sun Kwai Hing Gardens,Block C,1983-06-08,L,3,2,8,3,703,570,7600000,2020-12-28,2014-02-18,4600000,65.22,22.362634999999997,114.130844
13,New Territories,Kwai Tsing,Kwai Chung,The Apex,Tower II,2007-07-10,L,3,,18,K,920,663,8950000,2020-12-24,2015-03-03,6500000,37.69,22.366666,114.136751
14,New Territories,Kwai Tsing,Kwai Chung,Kwai Chun Court,Kwai Fung House (Block C),1995-11-07,L,2,2,2,8,515,401,3500000,2020-12-23,1999-10-30,868000,303.23,22.365304,114.132186
15,New Territories,Kwai Tsing,Kwai Chung,Greenknoll Court,Block 2,1992-08-11,M,2,2,,C,555,456,5700000,2020-12-23,,0,0.0,22.360937999999997,114.136381
16,New Territories,Kwai Tsing,Kwai Chung,Kwai Sing Centre,Block A,1981-01-21,L,2,2,3,2,560,460,6280000,2020-12-22,2017-12-06,5300000,18.490000000000002,22.365726,114.135488
17,New Territories,Kwai Tsing,Kwai Chung,Kwai Chung Building,Kwai Chung Building,1974-05-24,H,,,19,O,0,438,4480000,2020-12-22,2015-04-29,3280000,36.59,22.364511,114.1362436
