,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Islands,Lantau / Island,Peng Lai Court,Peng Lai Court,1996-08-14,L,1,,2,16,769,534,4100000,2021-01-05,2017-04-10,3015000,35.99,22.286372999999998,114.03678
1,New Territories,Islands,Lantau / Island,Tin Lee Court,Tin Lee Court,1995-03-31,H,,,10,2,0,485,2713000,2020-12-21,,0,0.0,22.252914,113.86721
2,New Territories,Islands,Lantau / Island,Botanica Bay,House 3,2013-09-30,,,,,,0,4465,100000000,2020-12-16,2016-03-23,107400000,-6.890000000000001,22.235615,113.948395
3,New Territories,Islands,Lantau / Island,Butterfly Crest,House 7,1983-08-23,,,,,,0,1930,20800000,2020-12-04,2012-03-23,11350000,83.26,22.236212,113.94783
4,New Territories,Islands,Lantau / Island,Harbour View Villa,Harbour View Villa,1992-10-20,,,,2,B,0,412,3400000,2020-12-02,,0,0.0,,
5,New Territories,Islands,Lantau / Island,Leyburn Villas,House B11,1981-06-17,,,,,,0,1382,15100000,2020-12-02,2012-02-17,10500000,43.81,,
6,New Territories,Islands,Lantau / Island,Golden Coast,House 11,2006-05-19,,,,,,0,1572,18000000,2020-12-01,,0,0.0,22.2357,113.9616
7,New Territories,Islands,Lantau / Island,Greenery Crest,Block 3,1991-11-22,,3,,2,B,0,633,5480000,2020-11-30,2007-12-17,1430000,283.22,22.203978,114.024376
8,New Territories,Islands,Lantau / Island,Silver Pearl Mansion,Silver Pearl Mansion,1987-10-27,,,,4,A4,0,543,4080000,2020-11-24,2014-04-28,3000000,36.0,22.263683999999998,114.000847
9,New Territories,Islands,Lantau / Island,Greenery Crest,Block 6,1991-11-22,,3,,1,B,0,633,5200000,2020-11-18,,0,0.0,22.203595999999997,114.02399
10,New Territories,Islands,Lantau / Island,Greenery Crest,Block 4,1991-11-22,,2,,G,D,0,451,3960000,2020-11-10,2013-03-28,2300000,72.17,22.203740999999997,114.0244
11,New Territories,Islands,Lantau / Island,Greenery Crest,Block 5,1991-11-22,,2,,2,C,497,451,3000000,2020-11-09,,0,0.0,22.203523999999998,114.02423999999999
12,New Territories,Islands,Lantau / Island,Scenic Crest,Block 1,1996-02-01,,,,2,D,496,354,3800000,2020-10-30,2016-12-29,1600000,137.5,22.263592,114.00176
13,New Territories,Islands,Lantau / Island,Treasure Villa,House C,2002-12-31,,,,1,,0,902,7200000,2020-10-27,,0,0.0,,
14,New Territories,Islands,Lantau / Island,Greenery Crest,Block 4,1991-11-22,,2,,1,C,0,451,3600000,2020-10-21,2014-10-14,2450000,46.94,22.203740999999997,114.0244
15,New Territories,Islands,Lantau / Island,Gallop Court,Gallop Court,1987-08-07,,,,2,B3,0,411,3000000,2020-10-15,1997-08-06,1200000,150.0,22.263939,114.00165
16,New Territories,Islands,Lantau / Island,Greenery Crest,Block 5,1991-11-22,,2,,1,D,497,451,3950000,2020-10-14,2013-07-09,1960000,101.53,22.203523999999998,114.02423999999999
17,New Territories,Islands,Lantau / Island,Peng Lai Court,Peng Lai Court,1996-08-14,M,,,3,3,615,427,3280000,2020-10-06,2013-01-23,1220000,168.85,22.286372999999998,114.03678
18,New Territories,Islands,Lantau / Island,Lung Hin Court,Block C (Cheong Hin House),1999-09-24,L,,,1,4,568,418,2500000,2020-10-05,2013-07-17,970000,157.73,22.253121999999998,113.8631
19,New Territories,Islands,Lantau / Island,Butterfly Crest,House 3,1983-08-23,,,,,,0,1930,19800000,2020-09-30,,0,0.0,22.236338,113.94794999999999
20,New Territories,Islands,Lantau / Island,Grandview Building,Grandview Building,1978-08-02,M,,,4,F,0,316,2180000,2020-09-25,2016-05-17,1980000,10.1,22.264457999999998,114.000694
21,New Territories,Islands,Lantau / Island,Lung Hin Court,Block C (Cheong Hin House),1999-09-24,L,,,2,3,573,421,2000000,2020-09-18,,0,0.0,22.253121999999998,113.8631
22,New Territories,Islands,Lantau / Island,Monterey Villas,Block D,1997-04-07,,,,3,D01,0,302,1500000,2020-09-17,2012-09-06,1020000,47.06,22.285539999999997,114.03746
23,New Territories,Islands,Lantau / Island,Treasure Bay,Block IV (Kam Ho Court),1982-12-09,,,,3,401,0,362,2000000,2020-09-11,,0,0.0,,
24,New Territories,Islands,Lantau / Island,Mui Wo Centre,Mui Wo Centre,1995-12-21,,,,4,C4,516,447,4818800,2020-09-08,2011-06-08,1888000,155.23,22.264274999999998,114.00166
25,New Territories,Islands,Lantau / Island,1-9 Wing Lee Street,8 Wing Lee Street,1975-05-20,,,,1,,0,404,2150000,2020-08-20,,0,0.0,,
26,New Territories,Islands,Lantau / Island,Tin Lee Court,Tin Lee Court,1995-03-31,M,,,8,4,0,478,2770000,2020-08-18,,0,0.0,22.252914,113.86721
27,New Territories,Islands,Lantau / Island,Scenic Garden,House A13 (House 15),1997-12-23,,3,,G,B,0,691,4980000,2020-08-13,2013-09-25,2600000,91.54,,
28,New Territories,Islands,Lantau / Island,Seaview Building,Sea View Building,1986-07-18,,,,1,H,0,392,3980000,2020-08-11,2014-03-25,3180000,25.16,,
29,New Territories,Islands,Lantau / Island,Gallop Court,Gallop Court,1987-08-07,,,,1,C1,0,429,2800000,2020-08-05,1999-03-31,738000,279.40000000000003,22.263939,114.00165
30,New Territories,Islands,Lantau / Island,Scenic Crest,Block 2,1996-02-01,,,,3,C,529,381,4120000,2020-08-05,2008-02-29,850000,384.71000000000004,22.263424,114.0018
31,New Territories,Islands,Lantau / Island,Mui Wo Centre,Mui Wo Centre,1995-12-21,,,,3,A1,683,573,7250000,2020-07-30,2019-03-22,7000000,3.5700000000000003,22.264274999999998,114.00166
32,New Territories,Islands,Lantau / Island,Mui Wo Building,Mui Wo Building,1984-08-09,H,,,5,10,0,257,1900000,2020-07-30,2008-03-10,350000,442.86,22.264159,114.000751
33,New Territories,Islands,Lantau / Island,Butterfly Crest,House 1,1983-08-23,,,,,,1960,1930,23980000,2020-07-28,2012-03-08,11350000,111.28,22.236352999999998,113.94805
34,New Territories,Islands,Lantau / Island,Scenic Garden,House B4 (House 23),1997-12-23,,2,,G,B,0,448,3000000,2020-07-23,2016-04-18,2000000,50.0,,
35,New Territories,Islands,Lantau / Island,Mui Wo Centre,Mui Wo Centre,1995-12-20,,,,1,B1,566,493,6500000,2020-07-21,2016-07-10,5000000,30.0,22.264274999999998,114.00166
36,New Territories,Islands,Lantau / Island,Mui Wo Building,Mui Wo Building,1984-08-09,H,,,5,1,0,203,1100000,2020-07-13,2008-05-29,48000,2191.67,22.264159,114.000751
37,New Territories,Islands,Lantau / Island,Scenic Crest,Block 1,1996-01-31,,,,5,C,529,381,4550000,2020-06-28,2015-08-24,3638000,25.07,22.263592,114.00176
38,New Territories,Islands,Lantau / Island,Harbour View Villa,Harbour View Villa,1992-10-20,,,,4,C,0,377,2500000,2020-06-26,2012-07-12,1600000,56.25,,
39,New Territories,Islands,Lantau / Island,Silver Pearl Mansion,Silver Pearl Mansion,1987-10-26,,,,5,A4,0,543,3800000,2020-06-21,2014-03-24,2800000,35.71,22.263683999999998,114.000847
40,New Territories,Islands,Lantau / Island,Mui Wo Building,Mui Wo Building,1984-08-08,M,,,4,8,0,245,2650000,2020-06-11,2016-11-13,2060000,28.64,22.264159,114.000751
41,New Territories,Islands,Lantau / Island,Harbour View Villa,Harbour View Villa,1992-10-19,,,,2,C,0,377,2750000,2020-06-10,2007-11-12,750000,266.67,,
42,New Territories,Islands,Lantau / Island,Sea Crest Terrace,Block 2,1995-10-02,M,,,3,A,0,638,6280000,2020-06-02,2010-01-17,3000000,109.33,,
43,New Territories,Islands,Lantau / Island,Lung Hin Court,Block D (Wing Hin Hosue),1999-09-24,L,,,2,8,577,424,2470000,2020-06-02,,0,0.0,22.252985,113.86269
44,New Territories,Islands,Lantau / Island,Ngan Wai Court,Ngan Wai Court,2018-08-22,L,,,5,3,0,445,1904500,2020-05-24,,0,0.0,22.265532,113.997894
45,New Territories,Islands,Lantau / Island,Leyburn Villas,House E72,1981-06-17,,,,-,-,0,766,10250000,2020-04-21,,0,0.0,,
46,New Territories,Islands,Lantau / Island,Mui Wo Building,Mui Wo Building,1984-08-09,M,,,3,6,0,209,2480000,2020-04-07,1997-05-10,663000,274.06,22.264159,114.000751
47,New Territories,Islands,Lantau / Island,Lucky Court,Lucky Court,1987-07-15,,,,2,C4,0,340,2800000,2020-03-01,,0,0.0,22.26384,114.00118
48,New Territories,Islands,Lantau / Island,Mui Wo Building,Mui Wo Building,1984-08-08,H,,,5,2,0,141,1680000,2020-02-06,2018-01-03,1000000,68.0,22.264159,114.000751
49,New Territories,Islands,Lantau / Island,Ngan Wai Court,Ngan Wai Court,2018-08-22,L,,,1,12,0,552,3923000,2020-02-04,,0,0.0,22.265532,113.997894
50,New Territories,Islands,Lantau / Island,Treasure Bay,Block IV (Kam Ho Court),1982-12-08,,,,3,403,0,301,2300000,2020-01-23,2016-11-01,2280000,0.88,,
51,New Territories,Islands,Lantau / Island,Scenic Garden,House B3 (House 22),1997-12-22,,2,,2,D,0,436,2500000,2020-01-08,,0,0.0,,
52,New Territories,Islands,Lantau / Island,Greenery Crest,Block 12,1991-11-21,,2,,G,D,0,451,4000000,2020-01-06,2006-05-15,1238000,223.1,22.204742,114.023735
53,New Territories,Islands,Lantau / Island,Greenery Crest,Block 12,1991-11-21,,2,,G,C,0,451,4000000,2020-01-05,,0,0.0,22.204742,114.023735
54,New Territories,Islands,Lantau / Island,Mui Wo Centre,Mui Wo Centre,1995-12-20,,,,1,C4,516,447,6150000,2019-12-23,,0,0.0,22.264274999999998,114.00166
55,New Territories,Islands,Lantau / Island,Grandview Building,Grandview Building,1978-08-01,M,,,3,C,0,438,3750000,2019-12-23,,0,0.0,22.264457999999998,114.000694
56,New Territories,Islands,Lantau / Island,Greenery Crest,Block 8,1991-11-21,,3,,1,B,0,633,4180000,2019-12-04,,0,0.0,22.203892,114.023605
57,New Territories,Islands,Lantau / Island,Mui Wo Building,Mui Wo Building,1984-08-08,H,,,5,6,0,209,2100000,2019-11-14,2016-05-29,2000000,5.0,22.264159,114.000751
58,New Territories,Islands,Lantau / Island,Monterey Villas,Block A,1997-04-06,,,,2,12,0,357,3400000,2019-10-22,2014-06-04,1850000,83.78,22.285315,114.03751
59,New Territories,Islands,Lantau / Island,Lung Hin Court,Block A (Kam Hin House),1999-09-23,M,,,3,7,573,421,2480000,2019-10-16,,0,0.0,22.252731,113.86397
60,New Territories,Islands,Lantau / Island,Sea Crest Villa,Block C,1996-12-17,,2,,G,A,0,425,4280000,2019-10-15,2010-01-28,1350000,217.04,22.288978999999998,114.035614
61,New Territories,Islands,Lantau / Island,Tin Lee Court,Tin Lee Court,1995-03-30,L,,,2,3,0,481,2250000,2019-10-03,,0,0.0,22.252914,113.86721
62,New Territories,Islands,Lantau / Island,Cheung Sha Villas,House A6,1982-12-23,,3,,,,0,1287,17800000,2019-09-27,,0,0.0,22.235713999999998,113.94948
