,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Sha Tin,Ma On Shan,Sunshine City,Block M,1994-12-15,M,2,,22,2,492,363,6280000,2021-01-06,2017-12-28,5350000,17.38,22.4241816,114.2309066
1,New Territories,Sha Tin,Ma On Shan,Kam Hay Court,Kam Wing House(Block C),1989-12-30,M,3,,15,9,712,554,6600000,2021-01-06,2016-06-24,2780000,137.41,22.4207776,114.231431
2,New Territories,Sha Tin,Ma On Shan,Double Cove,Block 19,2014-07-30,L,2,,6,C,0,511,7580000,2021-01-06,2014-02-05,4870320,55.64,22.4307544,114.2436405
3,New Territories,Sha Tin,Ma On Shan,Lake Silver,Block 2,2009-07-17,M,2,,28,E,792,604,9230000,2021-01-06,2009-12-07,3980000,131.91,22.4287679,114.2434311
4,New Territories,Sha Tin,Ma On Shan,Ocean View,Block 6,2003-08-07,L,2,,15,E,606,452,7100000,2021-01-06,2012-09-25,3750000,89.33,22.4137415,114.2230815
5,New Territories,Sha Tin,Ma On Shan,Kam Ying Court,Kam Kai House (Block B),1991-06-05,H,2,,30,8,515,401,4980000,2021-01-06,2013-10-23,2780000,79.14,22.423402,114.2378226
6,New Territories,Sha Tin,Ma On Shan,Kam Fung Court,Block A,1996-11-25,L,2,,,16,891,647,5600000,2021-01-05,,0,0.0,22.424612,114.226216
7,New Territories,Sha Tin,Ma On Shan,Chevalier Garden,Block 9,1987-10-01,L,3,,6,H,665,590,6100000,2021-01-05,2011-04-07,2600000,134.62,22.404884,114.22404399999999
8,New Territories,Sha Tin,Ma On Shan,Kam On Court,Ngan On House,1987-10-26,H,3,,35,1,709,554,6760000,2021-01-05,2014-07-11,4100000,64.88,22.416565,114.226055
9,New Territories,Sha Tin,Ma On Shan,Sunshine City,Block D,1993-02-19,L,2,,2,7,406,321,4880000,2021-01-04,2014-10-07,3650000,33.7,22.4239205,114.2337145
10,New Territories,Sha Tin,Ma On Shan,The Waterside,Block 2,1997-07-24,L,3,,10,C,952,696,9500000,2021-01-04,2009-05-20,3620000,162.43,22.42464,114.228499
11,New Territories,Sha Tin,Ma On Shan,Villa Athena,Block 1,1994-08-23,M,3,,11,C,1068,874,12500000,2021-01-04,,0,0.0,22.426173,114.23462
12,New Territories,Sha Tin,Ma On Shan,Sunshine City,Block C,1993-02-19,H,3,,,1,605,490,7500000,2021-01-04,2010-02-08,2580000,190.70000000000002,22.4236275,114.2334705
13,New Territories,Sha Tin,Ma On Shan,Double Cove,Block 3,2013-04-17,L,2,,7,H,639,496,7920000,2021-01-04,2012-10-08,4674000,69.45,22.4309019,114.2423158
14,New Territories,Sha Tin,Ma On Shan,Kam Tai Court,Block E,2000-10-27,M,3,2,19,6,828,650,6500000,2021-01-04,2010-06-11,1850000,251.35,22.408023,114.220534
15,New Territories,Sha Tin,Ma On Shan,Sunshine City,Block E,1994-12-15,M,2,,17,6,461,338,6000000,2021-01-04,2011-06-02,2600000,130.77,22.4246126,114.2324635
16,New Territories,Sha Tin,Ma On Shan,Kam Hay Court,Kam Yan House(Block B),1990-01-15,M,2,,,3,515,401,5230000,2020-12-31,2004-07-02,988000,429.35,22.42135,114.230671
17,New Territories,Sha Tin,Ma On Shan,Vista Paradiso,Block 9,1998-06-26,M,3,,12,H,807,650,8250000,2020-12-31,2011-01-14,4200000,96.43,22.4189795,114.2242195
18,New Territories,Sha Tin,Ma On Shan,La Costa,Block 1,2004-02-04,M,2,,15,B,736,540,8840000,2020-12-31,2002-12-21,2250000,292.89,22.413294,114.222659
19,New Territories,Sha Tin,Ma On Shan,Oceanaire,Block 5A,2011-03-25,,3,,27,B,1042,797,11860000,2020-12-31,2013-04-08,7680000,54.43,22.4157756,114.2239041
20,New Territories,Sha Tin,Ma On Shan,Kam Ying Court,Kam Dat House (Block E),1991-10-28,H,3,,34,6,712,554,4030000,2020-12-31,,0,0.0,22.422766,114.236574
21,New Territories,Sha Tin,Ma On Shan,Double Cove,Block 20,2014-07-30,L,2,,3,C,0,511,7750000,2020-12-31,2014-02-11,5011370,54.65,22.430604,114.2439689
22,New Territories,Sha Tin,Ma On Shan,Monte Vista,Block 5,2000-02-17,M,3,2,16,D,892,693,8850000,2020-12-31,1999-05-24,3066000,188.65,22.426591,114.2430255
23,New Territories,Sha Tin,Ma On Shan,Bayshore Towers,Block 4,1994-12-24,H,3,,29,A,697,520,8800000,2020-12-29,2009-02-10,2750000,220.0,22.425227,114.23091
24,New Territories,Sha Tin,Ma On Shan,Mountain Shore,Block 4,2000-08-31,L,2,,2,B,609,482,6780000,2020-12-29,2016-10-06,4950000,36.97,22.4108444,114.2223744
25,New Territories,Sha Tin,Ma On Shan,Double Cove,Block 16,2015-10-20,L,2,,9,D,0,497,8150000,2020-12-29,2014-12-31,6560260,24.23,22.431746999999998,114.24283
26,New Territories,Sha Tin,Ma On Shan,Chevalier Garden,Block 16,1988-09-08,M,2,,15,F,484,429,4780000,2020-12-28,2014-09-26,3160000,51.27,22.403264,114.22582
27,New Territories,Sha Tin,Ma On Shan,The Met. Blossom,Tower 1,2017-12-21,L,1,,7,B7,0,296,5280000,2020-12-28,2016-09-14,4107800,28.54,22.424837,114.23450000000001
28,New Territories,Sha Tin,Ma On Shan,Kam Fung Court,Block A,1996-11-25,M,2,,24,16,884,642,6100000,2020-12-28,,0,0.0,22.424612,114.226216
29,New Territories,Sha Tin,Ma On Shan,Double Cove,Block 16,2015-10-20,L,4,,9,A,0,1018,15000000,2020-12-28,2015-12-03,14885550,0.77,22.431746999999998,114.24283
30,New Territories,Sha Tin,Ma On Shan,Lake Silver,Block 6,2009-07-17,M,2,,,F,0,615,9050000,2020-12-28,2014-02-06,6200000,45.97,22.4289792,114.2447514
31,New Territories,Sha Tin,Ma On Shan,Mountain Shore,Block 4,2000-08-31,L,2,,5,G,609,482,6760000,2020-12-28,2014-06-19,4350000,55.4,22.4108444,114.2223744
32,New Territories,Sha Tin,Ma On Shan,Sunshine City,Block D,1993-02-19,M,3,,20,4,606,490,7700000,2020-12-28,2012-08-20,3738000,105.99000000000001,22.4239205,114.2337145
33,New Territories,Sha Tin,Ma On Shan,Monte Vista,Block 10,2000-02-17,M,3,2,25,B,985,765,9300000,2020-12-28,2007-02-07,3350000,177.61,22.4273634,114.2437778
34,New Territories,Sha Tin,Ma On Shan,Double Cove,Block 7,2016-03-21,H,2,,23,F,0,513,4250000,2020-12-28,2016-08-23,7935200,-46.44,22.431675,114.241159
35,New Territories,Sha Tin,Ma On Shan,Sunshine City,Block J,1994-12-15,M,2,,22,3,465,338,6128000,2020-12-24,2005-11-02,1680000,264.76,22.4236375,114.2308755
36,New Territories,Sha Tin,Ma On Shan,Yiu On Estate,Yiu Ping House (Block 2),1988-06-01,M,,,21,11,0,376,4350000,2020-12-24,2012-10-19,1895000,129.55,22.418847,114.230221
37,New Territories,Sha Tin,Ma On Shan,The Entrance,Tower 2,2019-12-30,L,3,,5,B,0,922,17420000,2020-12-24,,0,0.0,22.429534999999998,114.24803
38,New Territories,Sha Tin,Ma On Shan,Double Cove,Block 5,2013-04-17,L,3,,11,D,1038,799,11980000,2020-12-23,2014-04-01,8344800,43.56,22.4312032,114.2420203
39,New Territories,Sha Tin,Ma On Shan,Lake Silver,Block 6,2009-07-17,L,4,,7,A,2052,1564,22200000,2020-12-23,2016-10-07,17700000,25.42,22.4289792,114.2447514
