,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,5,B,0,452,5330400,2020-12-29,,0,0.0,22.54391,114.22531
1,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,1,K,0,330,3162700,2020-11-10,,0,0.0,22.54391,114.22531
2,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,5,N,0,319,3731600,2020-10-27,,0,0.0,22.54391,114.22531
3,New Territories,North,North,Marin Point,Tower 1,2018-08-23,,2,,3,C,0,517,5871900,2020-10-21,,0,0.0,,
4,New Territories,North,North,Marin Point,Tower 1,2018-08-23,,1,,2,L,0,467,4641600,2020-10-16,,0,0.0,,
5,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,2,,2,C,0,538,6049800,2020-09-24,,0,0.0,,
6,New Territories,North,North,Marin Point,Tower 1,2018-08-23,,1,,1,J,0,392,3947600,2020-09-04,,0,0.0,,
7,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,2,,3,C,0,538,6170900,2020-09-03,,0,0.0,,
8,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,1,,1,F,0,400,3880000,2020-09-01,,0,0.0,,
9,New Territories,North,North,Marin Point,Tower 2,2018-08-23,,1,,1,N,0,367,3261900,2020-09-01,,0,0.0,,
10,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,3,B,0,452,5108700,2020-08-12,,0,0.0,22.54391,114.22531
11,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,2,,1,C,0,517,5699700,2020-07-30,,0,0.0,,
12,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,1,N,0,319,3471100,2020-07-28,,0,0.0,22.54391,114.22531
13,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,1,,5,G,0,347,3436200,2020-07-20,,0,0.0,,
14,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,1,,6,A,0,391,4473500,2020-07-15,,0,0.0,,
15,New Territories,North,North,Marin Point,Tower 2,2018-08-23,,1,,2,E,0,431,4204200,2020-07-08,,0,0.0,,
16,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,1,F,0,332,3260000,2020-06-18,,0,0.0,22.54391,114.22531
17,New Territories,North,North,Marin Point,Tower 2,2018-08-23,,1,,3,E,0,429,4246200,2020-06-17,,0,0.0,,
18,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,5,G,0,325,3208900,2020-06-05,,0,0.0,22.54391,114.22531
19,New Territories,North,North,Marin Point,Tower 5,2018-08-23,,1,,1,D,0,392,3810000,2020-05-27,,0,0.0,22.54391,114.22531
20,New Territories,North,North,Marin Point,Tower 2,2018-08-23,,1,,1,H,0,328,3265000,2020-04-24,,0,0.0,,
21,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,2,,6,C,0,577,9200000,2020-04-16,,0,0.0,,
22,New Territories,North,North,Marin Point,Tower 3,2018-08-23,,2,,6,D,0,593,9300000,2020-04-16,,0,0.0,,
23,New Territories,North,North,Far East Consortium Sha Tau Kok Building,Far East Consortium Sha Tau Kok Building,1977-06-13,,,,5,I,0,471,3000000,2020-03-19,,0,0.0,,
24,New Territories,North,North,Marin Point,Tower 1,2018-08-23,,1,,5,K,0,376,3730100,2020-02-27,,0,0.0,,
