,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Villa Royale,Block 29,2003-10-03,,3,2,-,-,1800,1234,13800000,2021-01-05,,0,0.0,22.352459,114.249084
1,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Colour By The River,House 2,2008-05-05,,3,,,,0,2140,33800000,2021-01-05,2009-09-11,29000000,16.55,22.350503999999997,114.25491
2,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Lotus Villas,House 5,1994-03-31,,,,,,0,1518,26800000,2020-12-28,2007-07-20,12000000,123.33,22.39133,114.274574
3,New Territories,Sai Kung,Sai Kung / Clear Water Bay,The Mediterranean,Block 3,2017-10-20,M,1,,3,G,0,525,7250000,2020-12-24,2016-09-12,6351200,14.15,22.385783999999997,114.272865
4,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 10,1998-07-13,M,3,,5,B,1180,1031,10000000,2020-12-23,2017-12-22,11000000,-9.09,22.431237,114.2521276
5,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Lakeside Garden,Block 10,1997-06-18,L,,,2,G,0,432,3400000,2020-12-22,1997-05-31,1113000,205.48000000000002,22.378693,114.2698
6,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 8,1998-07-13,L,3,,1,D,1317,1151,12500000,2020-12-21,1998-04-09,7364200,69.74,22.4312276,114.25121
7,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Clear Water Bay Knoll,House 12,2003-12-15,,,,-,-,1680,1234,15880000,2020-12-16,2012-05-07,13000000,22.150000000000002,22.3374255,114.242484
8,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 6,1998-12-07,L,3,,3,C,1427,1140,13900000,2020-12-15,1998-03-11,7755800,79.22,22.4292415,114.2507734
9,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Mount Pavilia,Block B,2016-09-15,,4,,LG&G,G5,0,3128,80605000,2020-12-11,,0,0.0,22.335524,114.261055
10,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Casa Bella,Block 12,1993-09-16,,3,,G,A,867,685,11380000,2020-12-10,,0,0.0,22.3254215,114.270888
11,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Marina Cove,House E6,1988-01-15,,,,,,0,1561,37000000,2020-12-08,,0,0.0,22.358898,114.25406
12,New Territories,Sai Kung,Sai Kung / Clear Water Bay,133 Portofino,Tower 2,2020-05-19,,,,1,B,0,1021,21347000,2020-12-03,,0,0.0,,
13,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Marina Cove,House D Of Block 3,1985-06-25,,,,,,0,1051,30500000,2020-12-02,,0,0.0,22.357156999999997,114.255714
14,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Burlingame Garden,House 5,1996-12-13,,,,,,0,1227,17680000,2020-12-01,2011-03-25,13700000,29.05,22.388903,114.274086
15,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 01,1998-12-07,,3,,,A,1367,1086,11680000,2020-12-01,2000-01-28,5500000,112.36,22.4284206,114.2505446
16,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Little Palm Villa,House A,1976-04-30,,,,,,0,1720,35000000,2020-11-27,2008-01-03,21980000,59.24,22.317247,114.283446
17,New Territories,Sai Kung,Sai Kung / Clear Water Bay,133 Portofino,Tower 1,2020-05-19,,,,3,B,0,1164,25460000,2020-11-24,,0,0.0,,
18,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Ko Shing Building,Ko Shing Building,1980-07-30,,,,5,B4,0,302,3600000,2020-11-24,1997-11-11,400000,800.0,22.381919999999997,114.27303
19,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Lakeside Garden,Block 10,1997-06-18,M,,,5,F,0,432,3350000,2020-11-23,1997-05-31,1128000,196.99,22.378693,114.2698
20,New Territories,Sai Kung,Sai Kung / Clear Water Bay,133 Portofino,Tower 2,2020-05-19,,,,3,B,0,1076,23280000,2020-11-19,,0,0.0,,
21,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 5,1998-12-07,H,3,,11,A,1379,1096,12790000,2020-11-19,2003-06-17,3620000,253.31,22.4308695,114.2496325
22,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Hillview Court,Block 2,1999-01-15,,3,,5,A,1216,1080,14700000,2020-11-18,,0,0.0,22.337014999999997,114.239136
23,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Mount Pavilia,Block B,2016-09-15,,4,,,GD3,0,3189,71251000,2020-11-13,,0,0.0,22.335524,114.261055
24,New Territories,Sai Kung,Sai Kung / Clear Water Bay,102-104 Man Nin Street,102-104 Man Nin Street,1975-01-01,,,,3,,0,691,6500000,2020-11-11,,0,0.0,,
25,New Territories,Sai Kung,Sai Kung / Clear Water Bay,133 Portofino,Tower 1,2020-05-19,,,,5,A,0,1239,39687000,2020-11-11,,0,0.0,,
26,New Territories,Sai Kung,Sai Kung / Clear Water Bay,The Mediterranean,Block 2,2017-10-20,M,,,6,L,0,532,7000000,2020-11-10,2016-07-29,6688800,4.65,22.38593,114.27262
27,New Territories,Sai Kung,Sai Kung / Clear Water Bay,The Mediterranean,Block 1,2017-10-20,,2,,G,K,0,695,12000000,2020-11-06,,0,0.0,22.386419999999998,114.271996
28,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Lakeside Garden,Block 9,1997-06-18,L,,,3,G,0,432,5100000,2020-11-05,1997-05-30,1118000,356.17,22.378632,114.26945
29,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Mount Pavilia,Block B,2016-09-15,,4,,,5,0,2956,81451000,2020-11-05,,0,0.0,22.335524,114.261055
30,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Sai Kung Garden,Block 1,1991-12-31,H,3,,11,E,776,570,6500000,2020-11-04,2012-05-30,4460000,45.74,22.382434999999997,114.271255
31,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 10,1998-12-07,L,3,,5,C,1510,1208,14388000,2020-11-04,,0,0.0,22.428981,114.2518425
32,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Mount Pavilia,Tower 9,2016-09-15,M,3,,5,E,0,968,15800000,2020-11-03,2017-10-18,16500000,-4.24,22.335839999999997,114.261154
33,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Lakeside Garden,Block 3,1997-06-18,M,,,5,G,0,432,5080000,2020-11-03,2010-07-13,1970000,157.87,22.379385,114.26950000000001
34,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Lakeside Garden,Block 9,1997-06-18,L,,,3,A,0,570,6800000,2020-11-03,2003-04-26,1230000,452.85,22.378632,114.26945
35,New Territories,Sai Kung,Sai Kung / Clear Water Bay,The Mediterranean,Block 1,2017-10-20,M,2,,6,B,0,668,9000000,2020-11-02,2016-08-18,8814500,2.1,22.386419999999998,114.271996
36,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Mount Pavilia,Tower 16,2016-09-15,M,3,,3,E,0,968,16500000,2020-11-02,2018-06-19,16801000,-1.79,22.335537,114.26089
37,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Burlingame Garden,House 10,1996-12-13,,,,,,0,1227,20400000,2020-10-30,2008-02-29,12180000,67.49,22.388935,114.27446
38,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Ko Shing Building,Ko Shing Building,1980-07-30,,,,3,B3,0,302,3500000,2020-10-30,,0,0.0,22.381919999999997,114.27303
39,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 3,1998-07-13,M,3,,5,A,1267,1108,12000000,2020-10-30,2006-08-31,5130000,133.92000000000002,22.4306366,114.2492954
40,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Mount Pavilia,Block A,2016-09-15,,4,,,PT5,0,2955,102276000,2020-10-30,,0,0.0,22.335762,114.26123
41,New Territories,Sai Kung,Sai Kung / Clear Water Bay,Symphony Bay,Block 5,1998-07-13,H,3,,7,A,1267,1108,14488000,2020-10-29,,0,0.0,22.4308695,114.2496325
