,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Tsuen Wan,Sham Tseng,Bellagio,Block 3,2005-05-31,L,3,,12,B,1028,935,11688000,2021-01-05,2010-10-07,5930000,97.10000000000001,22.3662836,114.0618361
1,New Territories,Tsuen Wan,Sham Tseng,Hongkong Garden,Block 3,1986-06-30,L,,,2,D,823,561,6000000,2021-01-05,2014-10-07,4020000,49.25,22.361912,114.04435
2,New Territories,Tsuen Wan,Sham Tseng,Hongkong Garden,Block 5,1986-06-30,H,,,18,H,525,358,3999000,2021-01-05,2014-11-12,2930000,36.480000000000004,22.362544999999997,114.044624
3,New Territories,Tsuen Wan,Sham Tseng,Bellagio,Block 8,2002-08-22,M,2,,49,H,690,517,6450000,2021-01-05,2002-12-10,1688000,282.11,22.3667777,114.0605864
4,New Territories,Tsuen Wan,Sham Tseng,Bellagio,Block 6,2002-05-30,L,2,,26,E,690,517,6380000,2021-01-04,2002-10-29,1426000,347.41,22.3669046,114.0611866
5,New Territories,Tsuen Wan,Sham Tseng,Hongkong Garden,Block 24 (Savoy Heights),1990-03-28,H,3,,17,A,1883,1381,13000000,2021-01-04,2013-02-14,6500000,100.0,22.360751999999998,114.041336
6,New Territories,Tsuen Wan,Sham Tseng,Bellagio,Block 2,2005-05-31,M,3,,46,A,1051,808,10750000,2021-01-04,2014-09-29,7730000,39.07,22.3659426,114.0618799
7,New Territories,Tsuen Wan,Sham Tseng,Rhine Garden,Block 2,1992-12-28,M,3,2,23,F,832,681,6450000,2020-12-31,2013-07-02,4130000,56.17,22.368558,114.061297
8,New Territories,Tsuen Wan,Sham Tseng,Bellagio,Block 8,2002-08-22,M,2,,38,E,690,517,6638000,2020-12-31,2015-05-26,5400000,22.93,22.3667777,114.0605864
9,New Territories,Tsuen Wan,Sham Tseng,Rhine Terrace,Rhine Terrace,1992-07-21,H,,,22,D,904,746,7950000,2020-12-31,1997-06-19,6200000,28.23,22.366889999999998,114.06386
10,New Territories,Tsuen Wan,Sham Tseng,Hongkong Garden,Block 10 (Fontana Heights),1988-01-05,M,,,14,C,1023,715,6560000,2020-12-31,2010-02-08,2330000,181.55,22.363498999999997,114.042435
11,New Territories,Tsuen Wan,Sham Tseng,Hongkong Garden,Block 16,1990-01-31,H,3,,,B,0,792,7600000,2020-12-31,,0,0.0,22.362527999999998,114.041954
12,New Territories,Tsuen Wan,Sham Tseng,Hongkong Garden,Block 5,1986-06-30,M,,,14,H,525,358,4000000,2020-12-30,2010-08-09,1350000,196.3,22.362544999999997,114.044624
13,New Territories,Tsuen Wan,Sham Tseng,Ocean Pointe,Block 3,2000-12-30,M,3,2,37,D,968,753,9500000,2020-12-30,2001-03-22,4249000,123.58,22.365824999999997,114.062979
14,New Territories,Tsuen Wan,Sham Tseng,Sea Crest Villa,Block 13,1994-02-14,H,2,,27,F,586,460,5580000,2020-12-29,2016-05-10,3680000,51.63,22.3627014,114.0498504
15,New Territories,Tsuen Wan,Sham Tseng,Bellagio,Block 8,2002-08-22,L,3,,15,C,1177,891,10000000,2020-12-29,2015-04-21,9000000,11.11,22.3667777,114.0605864
16,New Territories,Tsuen Wan,Sham Tseng,Rhine Garden,Block 2,1992-12-28,H,3,2,,F,832,681,6600000,2020-12-29,2010-07-29,2438000,170.71,22.368558,114.061297
17,New Territories,Tsuen Wan,Sham Tseng,Sea Crest Villa,Block 3,1992-11-02,L,2,,10,C,612,484,5100000,2020-12-29,2017-10-11,4600000,10.870000000000001,22.366578999999998,114.057079
18,New Territories,Tsuen Wan,Sham Tseng,Bellagio,Block 5,2005-05-31,H,2,,,E,747,576,7660000,2020-12-28,2012-10-30,4780000,60.25,22.3666032,114.061768
19,New Territories,Tsuen Wan,Sham Tseng,LQuatique,Block 2,2020-02-28,L,1,,3,E,0,300,4772000,2020-12-24,2019-04-09,4500000,6.04,22.36,114.040276
20,New Territories,Tsuen Wan,Sham Tseng,Hongkong Garden,Block 25 (Triumphant Heights),1989-01-20,L,3,,6,B,1893,1382,11100000,2020-12-24,2011-06-15,7000000,58.57,22.361051999999997,114.041115
