,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,North,Sheung Shui / Fanling,San Fung Building,San Fung Building,1993-10-05,H,,,,B,536,392,4680000,2021-01-06,1997-02-05,1850000,152.97,22.505581,114.127104
1,New Territories,North,Sheung Shui / Fanling,Choi Po Court,Block D (Choi Ngan House),1985-06-29,H,1,1,24,1,484,363,3800000,2021-01-06,2010-04-29,1410000,169.5,22.501102500000002,114.12429
2,New Territories,North,Sheung Shui / Fanling,Choi Po Court,Block A (Choi Ying House),1984-11-30,L,2,2,5,15,584,438,4633000,2021-01-06,2006-02-25,1000000,363.3,22.5024984,114.1241115
3,New Territories,North,Sheung Shui / Fanling,Flora Plaza,Block 8,1995-11-21,L,2,,7,E,510,370,4910000,2021-01-06,2012-04-16,2230000,120.18,22.485663,114.141508
4,New Territories,North,Sheung Shui / Fanling,The Royal Oaks,House 10 Type C,2004-12-01,,,,,10,4230,3003,37800000,2021-01-05,2012-05-30,37980000,-0.47000000000000003,22.49793,114.110565
5,New Territories,North,Sheung Shui / Fanling,Belair Monte,Block 5,1998-12-14,H,3,2,28,C,878,629,7350000,2021-01-05,1999-05-05,2410000,204.98000000000002,22.5015125,114.144637
6,New Territories,North,Sheung Shui / Fanling,The Royal Oaks,House 16 Type C,2004-12-01,,,,,16,4230,3003,46000000,2021-01-05,2007-12-03,28020000,64.17,22.499008,114.11098
7,New Territories,North,Sheung Shui / Fanling,Fanling Town Center,Block 6 (Forum Court),1993-05-28,M,3,,9,C,608,454,5500000,2021-01-05,2015-01-09,4238000,29.78,22.492986,114.139055
8,New Territories,North,Sheung Shui / Fanling,Woodland Crest,Block 5,1996-04-03,L,3,,,G,986,865,9600000,2021-01-04,,0,0.0,22.507566999999998,114.133121
9,New Territories,North,Sheung Shui / Fanling,Flora Plaza,Block 02,1995-11-21,H,3,,,G,710,526,6780000,2021-01-01,1996-11-21,2526000,168.41,22.485404,114.140946
10,New Territories,North,Sheung Shui / Fanling,Flora Plaza,Block 10,1995-11-21,M,2,,15,D,517,370,5028000,2020-12-31,2017-04-12,4250000,18.31,22.486138,114.140941
11,New Territories,North,Sheung Shui / Fanling,Grand Regentville,Block 7,2002-10-31,L,2,,11,B,659,460,6050000,2020-12-31,2014-06-06,3760000,60.9,22.499909,114.14491
12,New Territories,North,Sheung Shui / Fanling,Commune Modern,Block 2,2018-07-10,L,1,,,E,0,294,4680000,2020-12-31,,0,0.0,22.498703,114.14286
13,New Territories,North,Sheung Shui / Fanling,Royal Green,Block 3,2006-08-14,L,2,,16,H,508,376,5148000,2020-12-31,2011-01-20,2160000,138.33,22.4947245,114.126253
14,New Territories,North,Sheung Shui / Fanling,Noble Hill,Tower 3,2006-01-27,M,2,,,B,658,505,6700000,2020-12-31,2005-02-23,2934600,128.31,22.503992999999998,114.1350045
15,New Territories,North,Sheung Shui / Fanling,Green Code,Tower 3,2014-06-10,M,2,,22,B,679,510,6718000,2020-12-31,2013-04-09,4577800,46.75,22.500935,114.145966
16,New Territories,North,Sheung Shui / Fanling,Fanling Garden,Block 15,1987-09-21,,2,1,3,A,540,467,5350000,2020-12-29,,0,0.0,22.498272,114.140033
17,New Territories,North,Sheung Shui / Fanling,Grand Regentville,Block 8,2002-10-31,M,2,,28,E,605,423,5800000,2020-12-29,2001-11-02,1492000,288.74,22.4995356,114.1445864
18,New Territories,North,Sheung Shui / Fanling,Avon Park,Block 3,1994-03-28,M,2,,17,G,518,400,5006000,2020-12-29,1996-10-01,1970000,154.11,22.487897,114.142829
19,New Territories,North,Sheung Shui / Fanling,Fanling Town Center,Block 3 (Canary Court),1993-05-28,L,2,,9,H,502,376,4600000,2020-12-29,,0,0.0,22.4923105,114.1398634
20,New Territories,North,Sheung Shui / Fanling,Belair Monte,Block 5,1998-12-14,H,2,2,21,D,635,445,5560000,2020-12-29,1999-05-06,1762000,215.55,22.5015125,114.144637
21,New Territories,North,Sheung Shui / Fanling,Dawning Views,Block 5,1999-06-15,H,3,2,25,C,782,570,7350000,2020-12-29,2009-04-27,2380000,208.82,22.486842,114.144518
22,New Territories,North,Sheung Shui / Fanling,Royal Green,Block 1,2005-05-23,H,2,,38,B,558,417,5350000,2020-12-29,2010-02-26,1953800,173.83,22.495091,114.127207
23,New Territories,North,Sheung Shui / Fanling,Lung Fung Garden,Block A,1991-07-08,L,3,2,5,2,654,502,5700000,2020-12-29,1998-04-01,2500000,128.0,22.503111,114.129807
24,New Territories,North,Sheung Shui / Fanling,Woodland Crest,Block 6,1996-04-03,L,3,2,1,A,1179,1022,9398000,2020-12-29,,0,0.0,22.506176999999997,114.132359
25,New Territories,North,Sheung Shui / Fanling,Flora Plaza,Block 5,1995-11-21,M,2,,16,A,547,392,5250000,2020-12-29,2011-02-18,2168000,142.16,22.484796,114.141742
26,New Territories,North,Sheung Shui / Fanling,Tin Ping Estate,Tin Mei House (Block 5),1989-01-01,L,,,4,18,0,443,3500000,2020-12-29,,0,0.0,22.50158,114.13391
27,New Territories,North,Sheung Shui / Fanling,Noble Hill,Tower 2,2006-01-27,M,2,,10,H,573,442,6028000,2020-12-24,2015-05-15,4520000,33.36,22.503778999999998,114.1347916
28,New Territories,North,Sheung Shui / Fanling,Metropolis Plaza,Block 2,1991-03-13,L,2,2,8,D,595,490,6000000,2020-12-24,1997-03-20,3000000,100.0,22.501939,114.129569
