,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Tai Po,Tai Po,Mont Vert,Block 5,2014-03-10,H,4,,21,B,0,934,11000000,2021-01-06,2015-05-18,9066000,21.330000000000002,22.4647362,114.1795572
1,New Territories,Tai Po,Tai Po,The Regent,Tower 2,2020-08-11,M,3,,10,D,0,875,12959000,2021-01-06,,0,0.0,22.438757,114.166954
2,New Territories,Tai Po,Tai Po,Serenity Park,Block 17,1994-12-28,L,2,2,8,C,610,464,6498000,2021-01-05,2015-08-18,5170000,25.69,22.454379,114.159739
3,New Territories,Tai Po,Tai Po,Solaria,Tower 6,2019-10-18,M,2,,8,B,0,519,9055000,2021-01-05,2018-07-03,9444000,-4.12,22.42994,114.20496
4,New Territories,Tai Po,Tai Po,Parc Versailles,Block 22,1996-04-03,L,3,2,2,B,1168,989,10000000,2021-01-05,2014-06-18,7100000,40.85,22.452803,114.155606
5,New Territories,Tai Po,Tai Po,Treasure Garden,Block C,1986-10-15,L,3,2,3,7,644,518,5900000,2021-01-05,2000-01-26,1600000,268.75,22.45317,114.16707
6,New Territories,Tai Po,Tai Po,Fuller Gardens,Block 2,1997-02-28,L,2,2,9,C,670,496,7020000,2021-01-05,2003-07-17,1350000,420.0,22.453646,114.164604
7,New Territories,Tai Po,Tai Po,Tai Po Centre,Block 2,1985-05-07,H,2,1,33,F,483,361,5310000,2021-01-05,,0,0.0,22.4523353,114.1693819
8,New Territories,Tai Po,Tai Po,St Martin,Tower 2,2019-10-31,,3,,,A1,0,851,11860000,2021-01-05,,0,0.0,22.430315,114.203865
9,New Territories,Tai Po,Tai Po,Casa Marina,House 16,2000-05-10,,4,,,,0,1953,25980000,2021-01-05,2003-10-25,11500000,125.91,22.465709999999998,114.19248
10,New Territories,Tai Po,Tai Po,Centra Horizon,Tower 9,2020-04-09,H,3,,16,E,0,1019,15315000,2021-01-05,,0,0.0,22.428777999999998,114.20561000000001
11,New Territories,Tai Po,Tai Po,Mont Vert,Block 6,2014-03-10,M,3,,16,D,0,752,7200000,2021-01-05,2014-08-21,5910000,21.830000000000002,22.4651203,114.1797402
12,New Territories,Tai Po,Tai Po,Ting Nga Court,Block B,1981-05-29,H,2,1,,3,674,563,6500000,2021-01-05,2006-09-20,1270000,411.81,22.454981,114.166927
13,New Territories,Tai Po,Tai Po,Jade Plaza,Block B,1986-02-06,M,2,1,8,7,362,262,4200000,2021-01-04,2008-07-02,880000,377.27,22.453111,114.168161
14,New Territories,Tai Po,Tai Po,Tai Wo Centre,Block 2,1987-05-25,M,2,1,13,C,390,294,4200000,2021-01-04,2015-06-22,3600000,16.67,22.452087,114.164491
15,New Territories,Tai Po,Tai Po,Centra Horizon,Tower 10,2020-04-09,M,3,,9,A,0,727,10652000,2021-01-04,,0,0.0,22.428728,114.205505
16,New Territories,Tai Po,Tai Po,Full Scene Garden,Block 1,1990-03-23,H,2,2,25,E,493,365,5000000,2021-01-04,2015-05-20,3850000,29.87,22.452811999999998,114.164961
17,New Territories,Tai Po,Tai Po,Fortune Plaza,Block 4 (Wah Cheong Court),1988-09-16,L,2,1,,A,454,342,5080000,2021-01-02,2005-01-06,1110000,357.66,22.452246,114.1683694
18,New Territories,Tai Po,Tai Po,Centra Horizon,Tower 3,2020-04-09,L,2,,1,B,0,616,8737000,2020-12-31,,0,0.0,22.428798999999998,114.20608
19,New Territories,Tai Po,Tai Po,Centra Horizon,Tower 10,2020-04-09,M,3,,12,B,0,721,10817000,2020-12-31,,0,0.0,22.428728,114.205505
20,New Territories,Tai Po,Tai Po,Parc Versailles,Block 4,1996-04-03,H,2,2,5,C,1193,1012,12000000,2020-12-31,,0,0.0,22.452907,114.154342
21,New Territories,Tai Po,Tai Po,Centra Horizon,Tower 3,2020-04-09,M,2,,9,B,0,615,9393000,2020-12-31,,0,0.0,22.428798999999998,114.20608
22,New Territories,Tai Po,Tai Po,Po Nga Court,Block A (Yat Wo House),1989-12-20,H,,1,31,12,643,489,5800000,2020-12-30,,0,0.0,22.451269999999997,114.1597
23,New Territories,Tai Po,Tai Po,The Regent,Tower 6,2020-08-11,L,3,,6,A,0,892,12671000,2020-12-30,,0,0.0,22.439165,114.16798
24,New Territories,Tai Po,Tai Po,St Martin,Tower 8,2019-10-31,,2,,G,A5,0,452,8588000,2020-12-30,,0,0.0,22.430256,114.20416
25,New Territories,Tai Po,Tai Po,Tai Po Plaza,Block 5 (Yee Sing Court),1984-12-31,H,2,2,30,F,464,394,5000000,2020-12-30,,0,0.0,22.452206999999998,114.17020099999999
26,New Territories,Tai Po,Tai Po,Mont Vert,Block 1,2015-05-29,H,2,,20,D,0,502,6968000,2020-12-29,2014-11-12,4711000,47.910000000000004,22.46395,114.179948
27,New Territories,Tai Po,Tai Po,The Regent,Tower 5,2020-08-11,,3,,G,A,0,1186,19897000,2020-12-29,,0,0.0,22.439183999999997,114.16763
