,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 5,1995-06-07,L,3,,10,H,708,544,5500000,2021-01-06,1997-04-25,3217000.0,70.97,22.461256,114.005912
1,New Territories,Yuen Long,Tin Shui Wai,Tin Fu Court,Block L (Wai Fu House),2001-05-18,H,3,,33,2,854,650,4750000,2021-01-06,,0.0,0.0,22.465013,113.999739
2,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 1,1991-12-19,L,2,,12,E,586,448,5100000,2021-01-06,2007-05-07,945000.0,439.68,22.451012,114.001492
3,New Territories,Yuen Long,Tin Shui Wai,Central Park Towers,Tower 1,2007-11-08,M,2,,35,C,653,489,6100000,2021-01-06,2007-09-27,2011000.0,203.33,22.45881,114.001107
4,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 5,1996-02-07,L,2,,8,F,576,442,4800000,2021-01-06,2010-01-06,1288000.0,272.67,22.460403,114.004242
5,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 8,1995-09-08,H,3,,38,E,0,1002,9750000,2021-01-06,,0.0,0.0,22.458061,114.00735
6,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 1,1994-12-12,M,3,,19,H,709,547,5630000,2021-01-05,2009-01-29,1180000.0,377.12,22.460791,114.007554
7,New Territories,Yuen Long,Tin Shui Wai,Central Park Towers,Tower 7,2010-07-08,M,2,,26,B,673,510,5775000,2021-01-05,2009-05-12,1490000.0,287.58,22.459930999999997,114.001263
8,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 2,1995-06-07,H,3,,26,D,714,540,6100000,2021-01-04,2013-01-31,3230000.0,88.85000000000001,22.461356,114.004671
9,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 07,1991-12-19,L,3,,,D,714,551,5620000,2021-01-04,2001-12-12,1043000.0,438.83,22.45111,113.999456
10,New Territories,Yuen Long,Tin Shui Wai,Central Park Towers,Tower 1,2007-11-08,H,3,,41,A,797,597,7120000,2021-01-04,2008-09-04,2380000.0,199.16,22.45881,114.001107
11,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 06,1994-12-12,H,3,,,D,709,544,5830000,2021-01-04,2010-09-21,1988000.0,193.26,22.458976999999997,114.007724
12,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 4,1993-03-08,H,3,,35,C,708,551,5800000,2020-12-31,2018-01-09,5130000.0,13.06,22.453774,114.002033
13,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 4,1995-06-07,L,3,,5,C,710,544,5550000,2020-12-31,2009-07-24,1638000.0,238.83,22.461223,114.005498
14,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 11,1995-09-08,L,3,,,A,815,638,6030000,2020-12-31,,0.0,0.0,22.45837,114.006318
15,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 4,1993-09-01,L,2,,2,F,573,449,4800000,2020-12-31,2012-06-04,2030000.0,136.45,22.458246,113.999829
16,New Territories,Yuen Long,Tin Shui Wai,Central Park Towers,Tower 2,2007-11-08,H,,,59,D,656,498,6000000,2020-12-31,2016-05-25,4600000.0,30.43,22.459054,114.000993
17,New Territories,Yuen Long,Tin Shui Wai,Central Park Towers,Tower 3,2007-11-08,M,2,,,F,658,493,6090000,2020-12-31,2007-09-25,1732000.0,251.62,22.459267,114.000877
18,New Territories,Yuen Long,Tin Shui Wai,Kingswood Villas,Block 12,1995-09-08,L,3,,4,B,811,630,6030000,2020-12-30,2017-12-29,5200000.0,15.96,22.458340999999997,114.005937
19,New Territories,Yuen Long,Tin Shui Wai,Tin Shing Court,Shing Yin House(Block D),2000-02-24,L,1,,13,14,580,433,5250000,2020-12-30,2015-02-18,3280000.0,60.06,22.447948,114.001417
