,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Kwai Tsing,Tsing Yi,Cheung Fat Estate,Block 1 (King Fat House),1989-09-01,H,,,,21,629,485,3950000,2021-01-07,,0,0.0,22.361853,114.10399
1,New Territories,Kwai Tsing,Tsing Yi,Serene Garden,Block 3,1991-12-06,H,2,,21,G,581,484,6400000,2021-01-06,,0,0.0,22.354053,114.10822
2,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 4,1989-11-07,L,2,1,2,C,475,365,4550000,2021-01-06,2011-11-10,2220000,104.95,22.3520195,114.1078774
3,New Territories,Kwai Tsing,Tsing Yi,Grand Horizon,Block 3,2000-01-22,L,2,,10,C,688,511,7730000,2021-01-06,2002-01-12,1175000,557.87,22.352895999999998,114.10963
4,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 3,1998-01-27,M,3,2,16,E,808,658,10300000,2021-01-05,2005-05-18,3500000,194.29,22.3626625,114.105803
5,New Territories,Kwai Tsing,Tsing Yi,Rambler Crest,Tower 3,2003-12-08,M,2,,28,G,680,485,6200000,2021-01-05,2013-05-30,4100000,51.22,22.3429179,114.1099312
6,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 1,1989-11-07,L,2,1,13,G,478,368,5490000,2021-01-05,2016-09-26,3980000,37.94,22.3514254,114.1083764
7,New Territories,Kwai Tsing,Tsing Yi,Tierra Verde,Block 7,1999-12-02,L,2,2,8,A,649,518,8050000,2021-01-05,2005-07-20,2538000,217.18,22.358313,114.10606
8,New Territories,Kwai Tsing,Tsing Yi,Mayfair Gardens,Block 6,1982-03-01,L,3,2,6,D,699,564,6730000,2021-01-05,2007-07-12,1580000,325.95,22.3435735,114.106993
9,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 7,1990-01-23,L,2,1,2,B,475,366,4600000,2021-01-05,2007-11-29,1000000,360.0,22.352845,114.108226
10,New Territories,Kwai Tsing,Tsing Yi,Tsing Yi Garden,Block 1,1986-11-18,H,3,2,21,G,670,547,7780000,2021-01-04,2014-10-30,5338000,45.75,22.353849,114.10442
11,New Territories,Kwai Tsing,Tsing Yi,Tsing Yi Garden,Block 4,1986-11-18,H,2,1,,A,432,343,5380000,2020-12-31,,0,0.0,22.353464,114.105227
12,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 11,1990-04-20,M,2,1,27,G,482,368,6000000,2020-12-31,1997-05-13,3000000,100.0,22.3531184,114.1095474
13,New Territories,Kwai Tsing,Tsing Yi,Mayfair Gardens,Block 5,1984-12-20,H,2,1,28,F,468,360,5200000,2020-12-31,2013-06-10,2980000,74.5,22.3443085,114.107744
14,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 5,1989-11-07,H,2,2,30,H,569,443,6000000,2020-12-30,1996-03-09,1810000,231.49,22.3523626,114.1078344
15,New Territories,Kwai Tsing,Tsing Yi,Tierra Verde,Block 10,1999-12-02,H,3,2,50,G,838,666,10480000,2020-12-30,1999-09-30,3850000,172.21,22.357568,114.106663
16,New Territories,Kwai Tsing,Tsing Yi,Greenview Villa,Tower 1,2015-04-10,L,1,,15,D,0,449,5328000,2020-12-30,,0,0.0,22.35293,114.10359
17,New Territories,Kwai Tsing,Tsing Yi,Grand Horizon,Block 3,2000-01-22,L,2,,,A,729,544,7490000,2020-12-30,2004-06-26,1750000,328.0,22.352895999999998,114.10963
18,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 4,1989-11-07,H,2,1,30,G,485,368,5500000,2020-12-30,2013-06-10,1700000,223.53,22.3520195,114.1078774
19,New Territories,Kwai Tsing,Tsing Yi,Greenview Villa,Tower 1,2015-04-10,L,2,,14,I,0,539,6338000,2020-12-30,,0,0.0,22.35293,114.10359
20,New Territories,Kwai Tsing,Tsing Yi,Tsing Yi Garden,Block 3,1986-11-18,H,2,1,26,B,432,343,5770000,2020-12-29,2010-01-29,1550000,272.26,22.353422,114.104884
21,New Territories,Kwai Tsing,Tsing Yi,Rambler Crest,Tower 3,2003-12-08,H,2,,,B,683,485,6670000,2020-12-29,2004-01-31,2165000,208.08,22.3429179,114.1099312
22,New Territories,Kwai Tsing,Tsing Yi,Mayfair Gardens,Block 12,1982-03-01,H,2,2,20,B,532,420,5200000,2020-12-29,,0,0.0,22.3443795,114.106749
23,New Territories,Kwai Tsing,Tsing Yi,Ching Wah Court,Wah Suen House(Block B),1986-03-01,H,1,1,24,13,474,351,4080000,2020-12-29,2008-04-02,1058000,285.63,22.348952999999998,114.098562
24,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 6,1999-03-12,L,3,2,3,H,1068,863,13500000,2020-12-29,2000-06-29,4280000,215.42000000000002,22.3626545,114.1066044
25,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 8,1990-01-23,H,3,2,28,E,640,495,6833800,2020-12-29,2009-07-10,2250000,203.72,22.3528795,114.1085155
26,New Territories,Kwai Tsing,Tsing Yi,Ching Wah Court,Wah Woon House(Block A),1986-03-01,H,1,1,31,5,456,338,4168000,2020-12-28,,0,0.0,22.349009,114.09796
27,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 8,1990-01-23,M,3,2,21,H,636,495,7000000,2020-12-28,2019-12-20,7450000,-6.04,22.3528795,114.1085155
28,New Territories,Kwai Tsing,Tsing Yi,Mayfair Gardens,Block 6,1982-03-01,H,2,2,24,A,532,432,5120000,2020-12-28,,0,0.0,22.3435735,114.106993
29,New Territories,Kwai Tsing,Tsing Yi,Tierra Verde,Block 01,1999-12-02,M,3,2,,E,849,676,12600000,2020-12-28,2007-03-30,3920000,221.43,22.358470999999998,114.10844399999999
30,New Territories,Kwai Tsing,Tsing Yi,Mount Haven,Block 3,1999-07-19,M,2,2,13,G,674,546,7200000,2020-12-28,2016-07-20,5338000,34.88,22.353431999999998,114.096003
31,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 10,1990-04-20,L,2,1,,G,474,368,5650000,2020-12-28,2012-11-09,3200000,76.56,22.3533765,114.1094386
32,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 11,2001-03-30,H,3,2,40,F,755,703,11100000,2020-12-28,2002-02-06,3509700,216.27,22.3610745,114.1072944
33,New Territories,Kwai Tsing,Tsing Yi,Tierra Verde,Block 3A,1999-01-08,L,2,2,9,H,649,518,9000000,2020-12-24,2008-04-14,3350000,168.66,22.358656,114.107261
34,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 3,1998-01-27,H,3,2,32,B,1003,826,13880000,2020-12-24,2014-04-08,8650000,60.46,22.3626625,114.105803
35,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 1,1989-11-07,H,3,2,30,A,643,501,7230000,2020-12-24,2010-12-10,2980000,142.62,22.3514254,114.1083764
36,New Territories,Kwai Tsing,Tsing Yi,Mayfair Gardens,Block 12,1982-03-01,H,2,2,27,H,567,445,5000000,2020-12-23,,0,0.0,22.3443795,114.106749
37,New Territories,Kwai Tsing,Tsing Yi,Tsing Yi Estate,Yee Yat House (Block 4),1989-10-01,H,,,33,20,0,485,3130000,2020-12-23,,0,0.0,22.356030999999998,114.102684
38,New Territories,Kwai Tsing,Tsing Yi,Tierra Verde,Block 6,1999-01-08,L,2,2,9,H,655,518,9070000,2020-12-23,2012-03-26,4550000,99.34,22.358853,114.106512
39,New Territories,Kwai Tsing,Tsing Yi,Cheung Fat Estate,Block 1 (King Fat House),1989-09-01,,,,,05,0,482,3420000,2020-12-23,,0,0.0,22.361853,114.10399
40,New Territories,Kwai Tsing,Tsing Yi,Serene Garden,Block 1,1991-12-06,M,,,11,C,708,590,7380000,2020-12-23,2015-06-05,5500000,34.18,22.3535811,114.1075112
41,New Territories,Kwai Tsing,Tsing Yi,Rambler Crest,Tower 6,2003-12-08,H,2,,48,A,638,451,6900000,2020-12-22,2016-08-09,4880000,41.39,22.3438185,114.1103786
42,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 11,2001-03-30,L,2,2,2,E,687,499,7500000,2020-12-22,2016-10-24,6380000,17.55,22.3610745,114.1072944
43,New Territories,Kwai Tsing,Tsing Yi,Tsing Yi Estate,Yee Wai House (Block 3),1989-07-01,M,,,17,1,0,443,3380000,2020-12-22,,0,0.0,22.355461,114.10346
44,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 10,1990-04-20,H,3,2,33,H,636,495,7500000,2020-12-22,2004-12-04,1750000,328.57,22.3533765,114.1094386
45,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 1,1989-11-07,M,2,2,20,H,569,443,6200000,2020-12-22,2011-11-25,2560000,142.19,22.3514254,114.1083764
46,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 8,2001-03-30,H,2,2,42,F,687,498,8780000,2020-12-22,2008-04-16,3280000,167.68,22.3621425,114.1071246
47,New Territories,Kwai Tsing,Tsing Yi,Rambler Crest,Tower 5,2003-12-08,L,2,,6,C,683,488,5750000,2020-12-22,2017-01-25,4520000,27.21,22.343569,114.110215
48,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 2,1998-01-27,M,2,2,15,B,644,519,7700000,2020-12-22,1998-12-19,2900000,165.52,22.362303,114.105795
49,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 2,1998-01-27,H,3,2,36,G,1003,826,13050000,2020-12-21,2017-12-08,10000000,30.5,22.362303,114.105795
50,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 01,1998-01-27,M,3,2,,A,814,666,10000000,2020-12-21,,0,0.0,22.361727,114.105796
51,New Territories,Kwai Tsing,Tsing Yi,Grand Horizon,Block 2,2000-01-22,H,2,,31,A,676,503,7300000,2020-12-21,1998-11-21,2247000,224.88,22.352617,114.1092385
52,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 10,1990-04-20,H,2,1,37,G,482,368,6268000,2020-12-21,,0,0.0,22.3533765,114.1094386
53,New Territories,Kwai Tsing,Tsing Yi,Cheung On Estate,Block 8 (On Mei House),1988-11-01,H,,,25,23,0,443,2800000,2020-12-21,,0,0.0,22.36068,114.10523
54,New Territories,Kwai Tsing,Tsing Yi,Ching Shing Court,Block A,1985-04-15,H,,,,2,540,381,4418000,2020-12-18,1997-10-20,2090000,111.39,22.349739,114.1025534
55,New Territories,Kwai Tsing,Tsing Yi,Ching Wah Court,Wah Fung House(Block D),1987-05-27,M,2,2,14,8,515,401,2200000,2020-12-18,2012-11-27,2450000,-10.200000000000001,22.348788,114.100634
56,New Territories,Kwai Tsing,Tsing Yi,Tierra Verde,Block 12,1999-12-02,H,3,2,45,G,838,667,12880000,2020-12-18,2014-06-26,7680000,67.71000000000001,22.358072999999997,114.107423
57,New Territories,Kwai Tsing,Tsing Yi,Mount Haven,Block 3,1999-07-19,H,2,2,19,G,674,546,7150000,2020-12-18,1998-06-19,2843100,151.49,22.353431999999998,114.096003
58,New Territories,Kwai Tsing,Tsing Yi,Greenfield Garden,Block 5,1989-11-07,M,2,1,25,B,482,365,5650000,2020-12-18,2014-03-10,3500000,61.43,22.3523626,114.1078344
59,New Territories,Kwai Tsing,Tsing Yi,Grand Horizon,Block 1,2000-01-22,H,2,,37,F,643,491,6000000,2020-12-18,2010-07-12,2660000,125.56,22.352158,114.10946
60,New Territories,Kwai Tsing,Tsing Yi,Ching Tai Court,Block D (Tung Tai House),1988-09-13,M,2,2,20,5,517,401,5368000,2020-12-17,2009-02-02,1358000,295.29,22.3633169,114.1004681
61,New Territories,Kwai Tsing,Tsing Yi,Villa Esplanada,Block 02,1998-01-27,L,3,2,,D,806,658,10000000,2020-12-17,2001-03-09,3038000,229.16,22.362303,114.105795
62,New Territories,Kwai Tsing,Tsing Yi,Rambler Crest,Tower 6,2003-12-08,M,2,,36,A,638,451,6200000,2020-12-16,2009-03-16,1860000,233.33,22.3438185,114.1103786
63,New Territories,Kwai Tsing,Tsing Yi,Rambler Crest,Tower 6,2003-12-08,M,2,,26,F,683,488,6580000,2020-12-16,2010-01-25,2310000,184.85,22.3438185,114.1103786
