,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Tsuen Wan,Tsuen Wan,Discovery Park,Block 11,1998-03-27,L,3,2,,A,822,658,8850000,2021-01-07,1997-10-25,6193715,42.89,22.3755834,114.1125078
1,New Territories,Tsuen Wan,Tsuen Wan,Chelsea Court,Tower South (A2),2005-06-10,M,1,,35,D,625,460,7280000,2021-01-06,2011-04-27,3700000,96.76,22.366875,114.1166115
2,New Territories,Tsuen Wan,Tsuen Wan,Vision City,Block 6,2007-03-16,L,3,,8,D,797,593,10880000,2021-01-06,2011-12-16,5885000,84.88,22.370722,114.11447
3,New Territories,Tsuen Wan,Tsuen Wan,Ocean Pride,Tower 10,2018-07-17,L,1,,,C,0,391,7950000,2021-01-06,,0,0.0,22.368371999999997,114.10924
4,New Territories,Tsuen Wan,Tsuen Wan,Discovery Park,Block 3,1997-04-11,M,3,2,23,A,848,682,9100000,2021-01-06,1996-10-18,4150900,119.23,22.3764298,114.1110477
5,New Territories,Tsuen Wan,Tsuen Wan,Ocean Pride,Tower 5B,2018-11-02,L,2,,12,C,0,534,9850000,2021-01-06,2017-09-11,8556000,15.120000000000001,22.367834,114.11045
6,New Territories,Tsuen Wan,Tsuen Wan,Ocean Pride,Tower 2A,2018-11-02,H,4,,50,B,0,1161,25800000,2021-01-06,2017-11-13,22738000,13.47,22.368081999999998,114.11017
7,New Territories,Tsuen Wan,Tsuen Wan,The Pavilia Bay,Tower 2B,2018-04-16,L,1,,5,F,0,392,6990000,2021-01-06,2017-02-24,5811000,20.29,22.365527999999998,114.112526
8,New Territories,Tsuen Wan,Tsuen Wan,Tsuen Wan Building,Tsuen Wan Building,1970-07-23,,,,5,B,0,511,4200000,2021-01-06,2016-09-01,3780000,11.11,22.370624,114.117147
9,New Territories,Tsuen Wan,Tsuen Wan,Summit Terrace,Block 5,2003-05-17,M,2,,25,A,609,446,7000000,2021-01-06,2008-02-27,2320000,201.72,22.3754435,114.1049435
10,New Territories,Tsuen Wan,Tsuen Wan,Tsuen King Garden,Block 3,1986-12-15,L,2,2,10,F,493,406,5360000,2021-01-06,2008-02-29,1468000,265.12,22.3777166,114.10917
