,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Tuen Mun,Tuen Mun,Chelsea Heights,Block 5,14/9/2000,H,2,,26,A,678,522,6196500,4/12/2020,22/9/2020,6196500,0,22.400776,113.974413
1,New Territories,Tuen Mun,Tuen Mun,Century Gateway,Block 7,30/4/2014,H,3,,40,D,0,663,11000000,31/8/2020,25/8/2020,11000000,0,22.396343,113.974176
2,New Territories,Tuen Mun,Tuen Mun,The Royale,Tower 3,,H,,,16,15,0,207,3173400,27/8/2020,24/8/2020,3154600,0.6,22.37448,113.991394
3,New Territories,Tuen Mun,Tuen Mun,Regency Bay,Tower 2,,M,,,12,J,0,450,7796800,21/9/2020,13/8/2020,5186610,50.33,22.381409,113.97067
4,New Territories,Tuen Mun,Tuen Mun,The Bloomsway,Block 5 (The Laguna),19/7/2017,L,2,,7,F,0,590,7028000,7/12/2020,28/7/2020,7028000,0,22.377249,113.98854
5,New Territories,Tuen Mun,Tuen Mun,Tuen Mun Town Plaza,Block 1,9/12/1988,H,2,,24,C,448,327,4888000,24/11/2020,24/7/2020,5100000,-4.16,22.394131,113.97616
6,New Territories,Tuen Mun,Tuen Mun,Siu Hei Court,Nga Hei House,1/3/1986,H,2,2,27,11,567,415,4350000,11/11/2020,17/7/2020,2000000,117.5,22.374134,113.966553
7,New Territories,Tuen Mun,Tuen Mun,Lai Bo Building,Lai Bo Building,21/10/1982,L,1,1,3,D,333,238,3050000,22/10/2020,17/7/2020,3050000,0,22.387995,113.97898
8,New Territories,Tuen Mun,Tuen Mun,Emerald Bay,Tower 1,,H,,,22,H,0,223,3970000,2/12/2020,13/7/2020,4198000,-5.43,22.372538,114.00036
9,New Territories,Tuen Mun,Tuen Mun,Lakeshore Building,Lakeshore Building,29/5/1980,M,2,1,9,F,450,364,3300000,10/9/2020,3/7/2020,3300000,0,22.403842,113.978209
10,New Territories,Tuen Mun,Tuen Mun,Lai Bo Building,Lai Bo Building,21/10/1982,L,1,1,6,D,333,238,2900000,15/10/2020,12/6/2020,3080000,-5.84,22.387995,113.97898
11,New Territories,Tuen Mun,Tuen Mun,Emerald Bay,Tower 5,,L,,,5,B,0,310,5111000,13/11/2020,5/6/2020,5054000,1.13,22.372023,114.001076
12,New Territories,Tuen Mun,Tuen Mun,Emerald Bay,Tower 5A,,L,,,6,E,0,307,4974000,12/11/2020,20/5/2020,5031000,-1.13,22.371725,114.00142
