,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Islands,Tung Chung,Seaview Crescent,Block 2,2002-03-25,L,2,,16,H,766,562,7300000,2021-01-06,2007-07-03,2030000.0,259.61,22.2923555,113.941887
1,New Territories,Islands,Tung Chung,Century Link,Block 3A,2016-05-05,L,3,,7,1,0,645,7200000,2021-01-06,2015-01-29,6839600.0,5.2700000000000005,22.296011,113.94965
2,New Territories,Islands,Tung Chung,Coastal Skyline,Block 7 (La Rossa A),2006-10-27,H,3,2,63,B,1183,883,10280000,2021-01-06,2007-01-09,4907000.0,109.5,22.2912175,113.9449826
3,New Territories,Islands,Tung Chung,Coastal Skyline,Block 6,2002-09-12,M,2,,33,E,648,492,6820000,2021-01-06,2014-12-04,5150000.0,32.43,22.2911781,113.945329
4,New Territories,Islands,Tung Chung,Caribbean Coast,Block 6,2004-09-30,H,3,,48,A,1192,894,9480000,2021-01-06,2004-02-19,2557000.0,270.75,22.292558,113.9504896
5,New Territories,Islands,Tung Chung,Caribbean Coast,Block 9,2005-07-05,L,3,,20,H,1228,927,9500000,2021-01-05,2004-09-09,3765000.0,152.32,22.291957,113.949551
6,New Territories,Islands,Tung Chung,Coastal Skyline,Block 2,2002-09-12,L,2,,7,G,696,485,6500000,2021-01-05,2004-10-15,2190000.0,196.8,22.291112,113.946373
7,New Territories,Islands,Tung Chung,Coastal Skyline,Block 6,2002-09-12,L,2,,19,E,648,492,6650000,2021-01-05,2007-03-26,1630000.0,307.98,22.2911781,113.945329
8,New Territories,Islands,Tung Chung,Caribbean Coast,Block 2,2002-12-19,M,3,,29,H,1258,957,9680000,2021-01-05,2015-03-25,7500000.0,29.07,22.2938099,113.951611
9,New Territories,Islands,Tung Chung,Seaview Crescent,Block 3,2002-03-25,L,2,,5,F,722,531,6490000,2021-01-05,2003-05-27,1264000.0,413.45,22.292144999999998,113.94223099999999
10,New Territories,Islands,Tung Chung,Century Link,Block 3A,2016-05-05,M,3,,15,9,0,572,7150000,2021-01-05,2015-02-12,6362300.0,12.38,22.296011,113.94965
11,New Territories,Islands,Tung Chung,The Visionary,Tower 9,2015-09-15,L,2,,8,D,0,671,8000000,2021-01-05,2013-12-18,4973760.0,60.84,22.295294,113.950274
12,New Territories,Islands,Tung Chung,Caribbean Coast,Block 8,2004-09-30,M,3,,32,H,1201,899,9500000,2021-01-05,2012-05-11,6350000.0,49.61,22.2921365,113.9498736
13,New Territories,Islands,Tung Chung,Coastal Skyline,Block 1,2002-09-12,L,3,,9,D,1050,804,8650000,2021-01-05,2003-01-16,2293600.0,277.14,22.2911315,113.946786
14,New Territories,Islands,Tung Chung,Caribbean Coast,Block 5,2002-12-19,L,2,,18,C,680,495,6280000,2021-01-05,2008-07-02,1990000.0,215.58,22.2932169,113.9511766
15,New Territories,Islands,Tung Chung,Caribbean Coast,Block 1,2002-12-19,L,3,,22,H,1258,956,8870000,2021-01-05,2016-11-10,7700000.0,15.19,22.2941,113.9518266
16,New Territories,Islands,Tung Chung,Century Link,Block 3A,2016-05-05,H,3,,27,9,0,572,7350000,2021-01-04,2015-02-06,6353200.0,15.69,22.296011,113.94965
17,New Territories,Islands,Tung Chung,Seaview Crescent,Block 1,2002-03-25,M,2,,22,C,738,531,7250000,2021-01-04,2010-05-27,2830000.0,156.18,22.2925641,113.94155
18,New Territories,Islands,Tung Chung,Century Link,Block 2B,2016-05-05,M,,,16,06,0,414,5750000,2021-01-04,2015-09-24,5120500.0,12.290000000000001,22.29635,113.95045
19,New Territories,Islands,Tung Chung,Coastal Skyline,Block 7 (La Rossa A),2006-10-27,L,3,2,21,D,1000,777,9150000,2021-01-04,2011-02-18,4900000.0,86.73,22.2912175,113.9449826
20,New Territories,Islands,Tung Chung,Century Link,Block 1A,2016-05-05,H,3,,,1,0,643,8000000,2021-01-04,,0.0,0.0,22.296644,113.95062
21,New Territories,Islands,Tung Chung,Coastal Skyline,Block 7 (La Rossa A),2006-10-27,M,2,2,37,F,735,539,7700000,2021-01-04,2007-07-24,2436390.0,216.04,22.2912175,113.9449826
22,New Territories,Islands,Tung Chung,Coastal Skyline,Block 1,2002-09-12,M,1,,,G,550,399,5800000,2021-01-04,2010-05-20,2160000.0,168.52,22.2911315,113.946786
23,New Territories,Islands,Tung Chung,Coastal Skyline,Block 2,2002-09-12,H,3,,,A,1053,806,9950000,2020-12-31,2005-06-08,4114000.0,141.86,22.291112,113.946373
24,New Territories,Islands,Tung Chung,Yu Tung Court,Block A (Heung Tung House),1997-07-10,H,2,,31,8,846,634,4980000,2020-12-31,,0.0,0.0,22.285843999999997,113.9426965
25,New Territories,Islands,Tung Chung,Coastal Skyline,Block 5,2002-09-12,H,3,,46,D,1028,771,9000000,2020-12-31,2011-08-15,5720000.0,57.34,22.291148999999997,113.9456645
26,New Territories,Islands,Tung Chung,Caribbean Coast,Block 1,2002-12-19,M,3,,25,H,1258,957,9600000,2020-12-30,2007-11-02,3300000.0,190.91,22.2941,113.9518266
27,New Territories,Islands,Tung Chung,The Visionary,Tower 8,2015-09-15,L,2,,11,D,0,671,8330000,2020-12-30,2013-12-31,4989600.0,66.95,22.295232,113.950483
28,New Territories,Islands,Tung Chung,Tung Chung Crescent,Block 8,1999-08-10,L,3,,16,G,1090,813,8943000,2020-12-30,2007-11-22,2850000.0,213.79,22.288670999999997,113.93895
29,New Territories,Islands,Tung Chung,Seaview Crescent,Block 3,2002-03-25,H,2,,42,E,689,516,6800000,2020-12-30,2016-07-26,5000000.0,36.0,22.292144999999998,113.94223099999999
30,New Territories,Islands,Tung Chung,Coastal Skyline,Block (Low-Rise) 2 Of Le Bleu Deux,2007-12-24,L,2,,5,G,681,518,7500000,2020-12-29,2011-09-08,4350000.0,72.41,22.291148999999997,113.94638
31,New Territories,Islands,Tung Chung,Century Link,Block 1A,2016-05-05,L,2,,6,3,0,453,6200000,2020-12-29,2015-10-12,5077500.0,22.11,22.296644,113.95062
32,New Territories,Islands,Tung Chung,Caribbean Coast,Block 1,2002-12-19,M,3,,25,G,1050,784,8120000,2020-12-29,2011-05-09,4388000.0,85.05,22.2941,113.9518266
33,New Territories,Islands,Tung Chung,The Visionary,Tower 2,2015-09-15,H,4,,36,B,0,1443,17200000,2020-12-29,2015-03-18,15246000.0,12.82,22.295795,113.951653
