,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
0,New Territories,Yuen Long,Yuen Long,Grand Del Sol,Block 01,5/12/1997,H,3,,,E,883,740,7830000,7/1/2021,6/8/1997,4953900,58.06,22.4402961,114.034537
1,New Territories,Yuen Long,Yuen Long,Yoho Town,Block M3,15/6/2010,L,2,,11,D,653,507,8130000,6/1/2021,24/3/2010,3184500,155.3,22.4440464,114.036409
2,New Territories,Yuen Long,Yuen Long,Greenfields,Block 2,20/11/1998,M,2,,20,E,669,488,6088000,6/1/2021,2/4/2015,4538000,34.16,22.441563,114.033128
3,New Territories,Yuen Long,Yuen Long,Twin Regency,Tower 1,10/3/2017,M,0,,11,B,0,304,4570000,6/1/2021,15/4/2016,3560000,28.37,22.452374,114.02943
4,New Territories,Yuen Long,Yuen Long,Scenic Gardens,Block 2,31/12/1997,H,2,,16,B,643,505,6300000,6/1/2021,9/8/2010,1980000,218.18,22.44083,114.01677
5,New Territories,Yuen Long,Yuen Long,Grand Yoho,Tower 3,27/3/2017,L,3,,16,B,0,634,11247900,6/1/2021,,0,0,22.445656,114.03672
6,New Territories,Yuen Long,Yuen Long,Yoho Town,Block 8,8/4/2004,M,2,,13,H,544,422,6700000,6/1/2021,2/11/2017,5750000,16.52,22.442144,114.0363474
7,New Territories,Yuen Long,Yuen Long,Yuccie Square,Block 1,30/12/2016,H,2,,,H,0,428,6680000,6/1/2021,,0,0,22.446836,114.02787
8,New Territories,Yuen Long,Yuen Long,Sereno Verde,Block 17,17/12/2002,H,3,,16,C,1023,778,8200000,6/1/2021,11/11/2014,6180000,32.69,22.436939,114.031166
9,New Territories,Yuen Long,Yuen Long,Park Signature,Block 5,30/6/2014,M,1,,,F,0,468,5680000,6/1/2021,,0,0,22.436564,114.023244
10,New Territories,Yuen Long,Yuen Long,Greenfields,Block 1,20/11/1998,M,2,,31,F,605,446,5960000,6/1/2021,16/2/2015,4530000,31.57,22.441623,114.032516
11,New Territories,Yuen Long,Yuen Long,Emerald Green,Block 5,5/2/2010,M,3,,12,B,1071,822,8580000,5/1/2021,8/4/2014,5430000,58.01,22.439209,114.02077
12,New Territories,Yuen Long,Yuen Long,Sereno Verde,Block 13,29/11/2002,H,3,,12,E,809,616,6398000,5/1/2021,10/6/2011,3238000,97.59,22.437257,114.031467
13,New Territories,Yuen Long,Yuen Long,La Grove,Block 2,13/5/2009,H,2,,19,E,586,450,5788000,5/1/2021,11/2/2015,4460000,29.78,22.4373115,114.0246904
14,New Territories,Yuen Long,Yuen Long,Park Royale,Block 6,21/7/1999,L,3,,1,C,875,651,6750000,5/1/2021,1/12/2017,5990000,12.69,22.4426125,114.017276
15,New Territories,Yuen Long,Yuen Long,Casa Paradizo,Block E10,30/9/1997,,,,,,0,1037,12800000,5/1/2021,1/2/2007,3300000,287.88,22.482733,114.0596
